state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.1050	1.1809	0.1555	3.9017E-2	4.3543	0.1653	0.3033	0.2746	0.1979	0.2919	0.2357	4.4759E-4	1.6996E-4	4.3754E-4	0.3713	-3.3478E-2	0.201	18.399	2135.683
2000000	0.1371	1.1650	0.1410	4.5248E-2	4.3426	0.1691	0.2826	0.2720	0.2051	0.2903	0.2326	4.3837E-4	1.7767E-4	4.2803E-4	0.3981	-4.5315E-3	0.161	18.675	2166.087
3000000	0.1221	1.2868	0.1477	3.3371E-2	4.2484	0.1616	0.2858	0.2695	0.2096	0.2840	0.2369	4.4909E-4	1.6489E-4	4.4564E-4	0.3585	-1.209E-2	0.415	18.634	2152.218
4000000	0.1233	1.2183	0.1523	3.8252E-2	4.3084	0.1594	0.2900	0.2719	0.2117	0.2864	0.2300	4.6644E-4	1.6198E-4	4.4861E-4	0.3551	2.0186E-2	0.192	18.307	2145.602
5000000	0.1225	1.2109	0.1399	3.7815E-2	4.3359	0.1530	0.2808	0.2717	0.2054	0.2861	0.2367	4.2572E-4	1.4576E-4	4.2581E-4	0.3330	-3.4077E-2	0.167	18.535	2205.504
6000000	0.1117	1.2144	0.1667	3.2055E-2	4.3036	0.1715	0.2858	0.2728	0.2048	0.2942	0.2282	4.294E-4	1.5434E-4	4.2416E-4	0.3600	1.4662E-3	0.369	19.031	2275.681
7000000	0.1232	1.2793	0.1392	2.9603E-2	4.2609	0.1679	0.2801	0.2755	0.2047	0.2851	0.2347	4.2335E-4	1.3234E-4	4.0899E-4	0.3224	-1.7753E-2	0.104	18.627	2278.334
8000000	0.1071	1.2459	0.1467	3.6958E-2	4.3017	0.1616	0.2829	0.2705	0.2081	0.2864	0.2351	4.4841E-4	1.5151E-4	4.3523E-4	0.3490	-8.8735E-3	0.158	18.273	2209.898
9000000	0.1165	1.2182	0.1751	4.4703E-2	4.3024	0.1432	0.2828	0.2665	0.2084	0.2915	0.2336	4.1483E-4	1.3226E-4	4.1234E-4	0.3180	5.1851E-2	0.189	18.430	2265.011
10000000	0.1317	1.2301	0.1517	3.5683E-2	4.2870	0.1638	0.2910	0.2734	0.2041	0.2862	0.2363	4.1932E-4	1.4024E-4	4.2226E-4	0.3368	-5.2996E-2	0.281	18.333	2297.043
