state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.1269	1.2641	0.1442	4.0943E-2	4.2652	0.1586	0.2783	0.2670	0.2115	0.2835	0.2380	4.4824E-4	1.6209E-4	4.3911E-4	0.3496	-8.6787E-3	0.183	18.886	2191.945
2000000	0.1132	1.2812	0.1484	3.4347E-2	4.2560	0.1670	0.3009	0.2664	0.2100	0.2891	0.2345	4.6238E-4	1.5485E-4	4.5127E-4	0.3343	-2.2345E-2	0.394	18.685	2210.503
3000000	0.1165	1.2626	0.1453	3.1422E-2	4.2904	0.1537	0.2907	0.2708	0.2067	0.2859	0.2366	4.3793E-4	1.4277E-4	4.3609E-4	0.3185	2.692E-2	0.191	18.468	2239.453
4000000	0.1230	1.2255	0.1510	3.3111E-2	4.2965	0.1709	0.2896	0.2718	0.2060	0.2854	0.2368	4.4389E-4	1.5914E-4	4.2934E-4	0.3549	1.3414E-2	0.106	18.365	2240.449
5000000	0.1246	1.2219	0.1642	3.1089E-2	4.2994	0.1589	0.2954	0.2735	0.2037	0.2930	0.2298	4.1962E-4	1.4068E-4	4.1513E-4	0.3371	-1.6988E-2	0.211	18.354	2288.318
6000000	0.1222	1.1847	0.1570	3.7797E-2	4.3440	0.1543	0.2958	0.2781	0.2043	0.2831	0.2344	4.2263E-4	1.6356E-4	4.1372E-4	0.3870	-1.5741E-2	0.260	18.683	2278.741
7000000	0.1214	1.2150	0.1319	3.2854E-2	4.3207	0.1781	0.2699	0.2778	0.2063	0.2838	0.2321	4.1723E-4	1.5151E-4	4.0379E-4	0.3645	7.9368E-3	0.131	18.236	2264.766
8000000	0.1147	1.2977	0.1670	3.057E-2	4.2253	0.1647	0.2800	0.2698	0.2138	0.2823	0.2341	4.2856E-4	1.4807E-4	4.2116E-4	0.3452	-3.6779E-2	0.617	18.534	2258.278
9000000	0.1196	1.2496	0.1548	4.1349E-2	4.2577	0.1769	0.2864	0.2699	0.2117	0.2778	0.2406	4.5328E-4	1.4647E-4	4.4574E-4	0.3390	-4.8866E-3	0.296	18.487	2192.906
10000000	0.1076	1.2663	0.1702	3.7708E-2	4.2583	0.1599	0.2896	0.2740	0.2048	0.2836	0.2375	4.7693E-4	1.8689E-4	4.5097E-4	0.3938	1.71E-2	0.199	18.452	2150.324
11000000	0.1108	1.1994	0.1340	3.4825E-2	4.3447	0.1763	0.2811	0.2709	0.2055	0.2925	0.2311	4.3415E-4	1.4609E-4	4.2912E-4	0.3374	-2.0496E-2	0.262	18.406	2194.882
12000000	0.1339	1.2026	0.1537	3.025E-2	4.2954	0.1841	0.2844	0.2693	0.2081	0.2911	0.2315	4.4474E-4	1.597E-4	4.3321E-4	0.3600	-1.144E-2	0.207	18.364	2217.784
13000000	0.1231	1.2150	0.1324	3.2136E-2	4.3262	0.1712	0.2878	0.2806	0.2123	0.2793	0.2278	4.4515E-4	1.5377E-4	4.4106E-4	0.3494	-1.1226E-2	0.135	18.291	2172.928
14000000	0.1278	1.2342	0.1588	3.9115E-2	4.2858	0.1543	0.2826	0.2688	0.2090	0.2949	0.2273	4.6349E-4	1.6011E-4	4.5613E-4	0.3405	-1.6243E-2	0.217	18.349	2139.195
15000000	0.1271	1.1742	0.1447	3.8878E-2	4.3722	0.1429	0.2834	0.2691	0.2058	0.2968	0.2283	4.5937E-4	1.5477E-4	4.4735E-4	0.3404	-2.1334E-3	0.166	18.384	2136.359
16000000	0.1167	1.2395	0.1500	3.2684E-2	4.3005	0.1607	0.2933	0.2731	0.2024	0.2919	0.2325	4.7555E-4	1.8015E-4	4.5457E-4	0.3742	-2.0978E-2	0.247	18.461	2088.302
17000000	0.1205	1.1818	0.1347	3.5893E-2	4.3657	0.1614	0.2846	0.2783	0.2078	0.2844	0.2295	4.4901E-4	1.7405E-4	4.4972E-4	0.3700	-1.8511E-2	0.239	18.279	2147.006
18000000	0.1276	1.2085	0.1533	4.0661E-2	4.3180	0.1519	0.2879	0.2762	0.2033	0.2844	0.2361	4.5549E-4	1.4934E-4	4.4751E-4	0.3265	-7.3774E-3	0.335	18.083	2093.981
19000000	0.1195	1.2368	0.1478	3.2732E-2	4.2999	0.1633	0.2914	0.2599	0.2061	0.2954	0.2387	4.7604E-4	1.8192E-4	4.5463E-4	0.3783	-2.6654E-2	0.071	18.228	2122.069
20000000	0.1299	1.2546	0.1623	3.9351E-2	4.2655	0.1484	0.2933	0.2716	0.2057	0.2866	0.2361	4.7882E-4	1.7767E-4	4.6699E-4	0.3644	-2.2131E-2	0.515	19.221	2101.120
