state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.1347	1.2230	0.1463	3.6282E-2	4.2917	0.1679	0.2777	0.2728	0.2077	0.2868	0.2328	4.2371E-4	1.2956E-4	4.155E-4	0.3091	-3.5289E-2	0.243	19.481	2275.660
2000000	0.1155	1.2736	0.1440	3.5186E-2	4.2779	0.1538	0.2951	0.2769	0.2039	0.2783	0.2409	4.253E-4	1.4751E-4	4.1861E-4	0.3511	1.7692E-2	0.327	18.303	2281.908
3000000	0.1211	1.2289	0.1600	2.9158E-2	4.3155	0.1453	0.2788	0.2690	0.2103	0.2918	0.2289	4.1942E-4	1.3865E-4	4.1975E-4	0.3337	-4.8988E-2	0.305	18.680	2313.623
4000000	0.1134	1.2800	0.1443	5.5278E-2	4.2509	0.1560	0.2944	0.2606	0.2127	0.2846	0.2421	4.2188E-4	1.4022E-4	4.0909E-4	0.3415	9.5407E-3	0.395	18.577	2364.650
5000000	0.1195	1.2554	0.1512	3.1711E-2	4.2783	0.1640	0.2783	0.2723	0.2063	0.2824	0.2390	4.0592E-4	1.2853E-4	3.9752E-4	0.3167	-2.6043E-2	0.204	19.146	2304.713
6000000	0.1135	1.1635	0.1429	3.3338E-2	4.3904	0.1564	0.2983	0.2692	0.2116	0.2910	0.2283	4.4777E-4	1.3624E-4	4.3536E-4	0.3058	4.501E-2	0.184	18.250	2293.166
7000000	0.1187	1.2179	0.1568	4.0028E-2	4.3039	0.1626	0.3042	0.2717	0.2040	0.2889	0.2354	4.3763E-4	1.3699E-4	4.3331E-4	0.3138	-3.9521E-2	0.495	18.477	2222.916
8000000	0.1209	1.2045	0.1548	3.2442E-2	4.3111	0.1762	0.3033	0.2678	0.2102	0.2840	0.2380	4.3881E-4	1.4519E-4	4.2291E-4	0.3331	1.1966E-2	0.261	18.899	2353.331
9000000	0.1388	1.2141	0.1430	3.375E-2	4.3032	0.1672	0.3026	0.2674	0.2028	0.2951	0.2347	4.2141E-4	1.2761E-4	4.1936E-4	0.3008	-3.7196E-2	0.199	18.319	2321.751
10000000	0.1131	1.2415	0.1570	3.5214E-2	4.3070	0.1462	0.2906	0.2745	0.2093	0.2855	0.2308	4.371E-4	1.5914E-4	4.342E-4	0.3634	1.0365E-2	0.148	18.533	2248.954
11000000	0.1333	1.2896	0.1520	3.938E-2	4.2316	0.1541	0.2851	0.2644	0.2124	0.2891	0.2342	4.2698E-4	1.3421E-4	4.2327E-4	0.3129	8.2164E-3	0.341	18.625	2253.990
12000000	0.1278	1.2666	0.1467	4.1723E-2	4.2408	0.1764	0.2784	0.2675	0.2114	0.2849	0.2362	4.3212E-4	1.312E-4	4.2359E-4	0.2888	-3.2539E-2	0.313	18.523	2242.879
13000000	0.1199	1.1657	0.1410	3.4939E-2	4.3670	0.1715	0.2879	0.2707	0.2066	0.2891	0.2336	4.4831E-4	1.599E-4	4.3347E-4	0.3615	9.5141E-3	0.497	18.348	2221.255
14000000	0.1322	1.2565	0.1607	3.3475E-2	4.2422	0.1749	0.2899	0.2684	0.2093	0.2870	0.2353	4.3388E-4	1.5234E-4	4.254E-4	0.3561	-4.8321E-2	0.224	18.640	2264.837
15000000	0.1477	1.2345	0.1392	3.531E-2	4.2670	0.1764	0.2969	0.2710	0.2080	0.2872	0.2338	4.482E-4	1.62E-4	4.2612E-4	0.3672	1.4631E-2	0.230	18.254	2237.951
16000000	0.1294	1.2275	0.1312	3.2792E-2	4.2973	0.1818	0.2741	0.2720	0.2018	0.2883	0.2379	4.2E-4	1.4879E-4	4.1426E-4	0.3375	-6.1893E-2	0.265	19.018	2242.790
17000000	0.1235	1.2630	0.1441	3.0719E-2	4.2739	0.1649	0.2937	0.2658	0.2094	0.2915	0.2333	4.521E-4	1.5632E-4	4.4165E-4	0.3484	-1.3507E-2	0.187	18.624	2238.506
18000000	0.1285	1.2075	0.1651	4.3417E-2	4.2989	0.1565	0.2836	0.2705	0.2063	0.2943	0.2290	4.1807E-4	1.3322E-4	4.1001E-4	0.3208	2.5328E-2	0.258	18.726	2343.402
19000000	0.1299	1.1976	0.1482	3.0935E-2	4.3293	0.1640	0.2905	0.2680	0.2073	0.2928	0.2318	4.1819E-4	1.4336E-4	4.1159E-4	0.3325	3.7938E-2	0.255	18.457	2314.416
20000000	0.1264	1.1601	0.1587	3.1995E-2	4.3752	0.1476	0.3022	0.2714	0.2091	0.2855	0.2341	4.3055E-4	1.6157E-4	4.2422E-4	0.3716	-3.8325E-2	0.256	18.616	2309.260
21000000	0.1254	1.1794	0.1392	3.5894E-2	4.3536	0.1664	0.2826	0.2709	0.2086	0.2844	0.2361	4.1086E-4	1.2938E-4	4.1203E-4	0.3259	1.6187E-2	0.086	18.633	2361.580
22000000	0.1276	1.2877	0.1566	4.1687E-2	4.2206	0.1658	0.2882	0.2661	0.2107	0.2889	0.2344	4.0552E-4	1.4117E-4	4.0592E-4	0.3349	-4.7605E-2	0.325	19.085	2372.619
23000000	0.1075	1.1855	0.1632	3.1487E-2	4.3533	0.1590	0.2930	0.2731	0.2069	0.2885	0.2315	4.3551E-4	1.4802E-4	4.2546E-4	0.3391	1.0451E-2	0.621	18.770	2301.824
24000000	0.1112	1.2381	0.1538	3.5446E-2	4.2901	0.1713	0.2822	0.2702	0.2128	0.2842	0.2328	4.1565E-4	1.5958E-4	4.0727E-4	0.3847	-9.9801E-4	0.389	18.627	2297.950
25000000	0.1138	1.2250	0.1449	3.653E-2	4.3229	0.1569	0.2835	0.2769	0.2032	0.2855	0.2344	4.1913E-4	1.3909E-4	4.141E-4	0.3308	-3.3223E-2	0.358	18.378	2328.621
26000000	0.1141	1.1894	0.1526	3.7189E-2	4.3675	0.1390	0.2888	0.2748	0.2095	0.2854	0.2302	4.1191E-4	1.4926E-4	4.0791E-4	0.3513	-3.439E-2	0.359	18.690	2344.597
27000000	0.1237	1.2468	0.1467	4.083E-2	4.2681	0.1739	0.2981	0.2668	0.2118	0.2859	0.2355	4.2142E-4	1.3269E-4	4.1527E-4	0.3114	-4.888E-3	0.218	18.633	2332.455
28000000	0.1201	1.2831	0.1519	4.1822E-2	4.2641	0.1390	0.2893	0.2754	0.2035	0.2779	0.2432	4.0739E-4	1.3028E-4	4.0034E-4	0.3203	-1.078E-2	0.369	18.617	2376.707
29000000	0.1272	1.2266	0.1512	3.6768E-2	4.3111	0.1472	0.2952	0.2672	0.2057	0.2927	0.2343	4.321E-4	1.5984E-4	4.2697E-4	0.3636	-1.0532E-2	0.510	18.743	2300.381
30000000	0.1278	1.2090	0.1422	3.4498E-2	4.3130	0.1735	0.2938	0.2710	0.2048	0.2857	0.2386	4.0726E-4	1.3306E-4	4.0673E-4	0.3291	-4.4382E-2	0.161	18.435	2312.531
31000000	0.1396	1.2527	0.1657	2.7501E-2	4.2615	0.1529	0.2855	0.2700	0.2088	0.2884	0.2328	4.3069E-4	1.6535E-4	4.2716E-4	0.3769	-3.2116E-2	0.196	18.256	2263.881
32000000	0.1266	1.2812	0.1463	3.0835E-2	4.2543	0.1607	0.2946	0.2624	0.2125	0.2850	0.2401	4.3401E-4	1.3496E-4	4.24E-4	0.3178	1.968E-2	0.314	19.040	2308.957
33000000	0.1165	1.2969	0.1544	3.5197E-2	4.2428	0.1541	0.3005	0.2687	0.2089	0.2849	0.2375	4.2632E-4	1.3641E-4	4.1758E-4	0.3147	1.4658E-2	0.314	18.907	2256.146
34000000	0.1214	1.2250	0.1593	3.797E-2	4.2864	0.1699	0.2906	0.2700	0.2095	0.2863	0.2342	4.3488E-4	1.3781E-4	4.2335E-4	0.3250	2.6205E-2	0.448	18.891	2267.436
35000000	0.1241	1.2716	0.1603	3.7862E-2	4.2586	0.1476	0.2881	0.2776	0.2015	0.2862	0.2347	4.3116E-4	1.4783E-4	4.2254E-4	0.3454	2.8482E-2	0.358	18.435	2269.738
36000000	0.1214	1.2484	0.1608	3.1742E-2	4.2774	0.1602	0.2958	0.2700	0.2119	0.2869	0.2311	4.5841E-4	1.6544E-4	4.4429E-4	0.3709	1.8186E-2	0.133	20.374	2244.022
37000000	0.1204	1.3000	0.1553	4.1815E-2	4.2147	0.1678	0.2901	0.2634	0.2085	0.2879	0.2402	4.264E-4	1.4095E-4	4.2176E-4	0.3382	-7.5618E-2	0.233	18.552	2301.829
