state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.1250	1.2784	0.1486	3.8412E-2	4.2598	0.1498	0.2923	0.2739	0.2067	0.2818	0.2376	4.5841E-4	1.5645E-4	4.5114E-4	0.3399	-1.3865E-2	0.161	18.625	2130.431
2000000	0.1178	1.2208	0.1465	3.7514E-2	4.2916	0.1858	0.2883	0.2784	0.2076	0.2819	0.2321	4.5353E-4	1.678E-4	4.5864E-4	0.3671	-2.2849E-2	0.126	18.365	2108.629
3000000	0.1087	1.2352	0.1398	3.4446E-2	4.3252	0.1567	0.2740	0.2638	0.2078	0.2942	0.2341	4.3395E-4	1.5908E-4	4.3035E-4	0.3564	3.4117E-2	0.327	18.527	2166.054
4000000	0.1293	1.2608	0.1519	3.0771E-2	4.2357	0.1916	0.2767	0.2753	0.2111	0.2838	0.2298	4.4603E-4	1.5269E-4	4.4306E-4	0.3385	1.3711E-3	0.272	18.465	2165.115
5000000	0.1188	1.2206	0.1572	4.1194E-2	4.2996	0.1626	0.3080	0.2702	0.2083	0.2908	0.2308	4.6073E-4	1.5951E-4	4.4251E-4	0.3463	2.3404E-2	0.316	18.381	2166.894
6000000	0.1117	1.2852	0.1645	3.3536E-2	4.2483	0.1567	0.2912	0.2710	0.2153	0.2842	0.2295	4.7162E-4	1.5374E-4	4.5754E-4	0.3213	1.2593E-2	0.101	18.445	2126.741
7000000	0.1195	1.2112	0.1633	3.9668E-2	4.3196	0.1467	0.2841	0.2720	0.2049	0.2902	0.2329	4.4389E-4	1.6445E-4	4.3088E-4	0.3598	3.1174E-2	0.084	18.231	2142.829
8000000	0.1130	1.3016	0.1450	3.7805E-2	4.2349	0.1678	0.2950	0.2696	0.2117	0.2793	0.2393	4.5738E-4	1.6223E-4	4.5365E-4	0.3519	-1.4405E-2	0.439	18.401	2147.215
9000000	0.1303	1.2551	0.1596	3.6233E-2	4.2332	0.1855	0.2925	0.2683	0.2115	0.2862	0.2340	4.505E-4	1.5443E-4	4.4416E-4	0.3338	-1.8192E-2	0.152	18.402	2152.894
10000000	0.1317	1.2479	0.1301	3.7519E-2	4.2919	0.1608	0.2721	0.2735	0.2036	0.2884	0.2346	4.3594E-4	1.4704E-4	4.3479E-4	0.3552	-8.6616E-3	0.152	18.275	2172.854
11000000	0.1341	1.2695	0.1529	3.5289E-2	4.2419	0.1663	0.2797	0.2739	0.2069	0.2862	0.2330	4.686E-4	1.7458E-4	4.516E-4	0.3575	-6.416E-2	0.268	18.521	2154.794
12000000	0.1310	1.2415	0.1493	3.8748E-2	4.2624	0.1771	0.2838	0.2762	0.2040	0.2851	0.2346	4.697E-4	1.7164E-4	4.5318E-4	0.3626	2.2747E-2	0.269	18.342	2165.299
13000000	0.1194	1.2099	0.1644	3.2224E-2	4.3110	0.1631	0.2866	0.2743	0.2085	0.2895	0.2277	4.5677E-4	1.5748E-4	4.431E-4	0.3377	4.5961E-2	0.074	18.335	2135.329
