pers0.025	pers0.05	pers0.1	pers0.2
run01	-52357.351	-52369.392	-52357.668	-52371.633
run02	-52367.191	-52358.176	-52371.363	-52360.188
run03	-52357.123	-52374.662	-52373.705	-52365.526
run04	-52353.509	-52364.005	-52362.991	-52361.888
run05	-52358.639	-52386.039	-52353.88	-52375.749
