taxon	date
A/AKITA/69/2002	2002-02-12
A/ALASKA/14/2001	2001-12-02
A/ALASKA/21/2001	2001-11-23
A/ALASKA/7/2001	2001-10-16
A/ALASKA/8/2001	2001-10-25
A/ARGENTINA/10/2001	2001-06-25
A/ARGENTINA/13/2001	2001-06-22
A/ARGENTINA/25/2001	2001-06-29
A/ARGENTINA/302/2001	2001-08-09
A/ARGENTINA/311/2001	2001-08-10
A/ARGENTINA/3758/2001	2001-08-30
A/ARGENTINA/3759/2001	2001-08-29
A/ARGENTINA/44/2001	2001-06-29
A/ARGENTINA/5/2001	2001-06-06
A/ARGENTINA/5995/2000	2000-10-04
A/ARGENTINA/mc5/2001	2001-06-14
A/ARIZONA/9/2001	2001-09-25
A/ARKANSAS/2/2000	2000-01-04
A/Acre/15093/2010	2010-03-03
A/Acre/26954/2010	2010-04-04
A/Aichi/101/2008	2008-05-12
A/Aichi/103/2008	2008-05-21
A/Aichi/106/2008	2008-05-21
A/Aichi/107/2008	2008-06-12
A/Aichi/114/2008	2008-05-25
A/Aichi/145/2005	2005-04-13
A/Aichi/164/2005	2005-04-22
A/Aichi/26/2007	2007-02-07
A/Aichi/3/2007	2007-01-06
A/Aichi/32/2008	2008-01-12
A/Aichi/49/2007	2007-03-17
A/Aichi/64/2007	2007-04-07
A/Aichi/66/2007	2007-03-25
A/Aichi/67/2007	2007-03-29
A/Aichi/68/2007	2007-04-11
A/Aichi/69/2007	2007-04-27
A/Aichi/70/2007	2007-05-03
A/Aichi/72/2007	2007-05-04
A/Aichi/73/2008	2008-02-29
A/Aichi/75/2008	2008-02-18
A/Aichi/77/2008	2008-02-28
A/Aichi/78/2007	2007-05-14
A/Aichi/8/2007	2007-01-15
A/Aichi/80/2007	2007-09-13
A/Aichi/91/2008	2008-03-12
A/Aichi/97/2008	2008-04-17
A/Alabama/05/2010	2010-07-13
A/Alabama/10/2010	2010-11-07
A/Alabama/13/2010	2010-12-16
A/Alabama/UR06_0482/2007	2007-03-01
A/Alaska/29/2009	2009-04-15
A/Alaska/AF2790/2012	2012-01-29
A/Albania/250/2009	2009-02-26
A/Alexandroupolis/118/2005	2005-03-08
A/Alexandroupolis/134/2006	2006-04-06
A/Alexandroupolis/16/2005	2005-01-27
A/Alexandroupolis/99/2007	2007-02-15
A/Andaman/071559/021107	2007-11-02
A/Anhui/122/2005	2005
A/Anhui/1229/2005	2005-08-19
A/Anhui/123/2005	2005
A/Anhui/125/2005	2005
A/Anhui/318/2003	2003-08-01
A/Anhui/330/2003	2003-08
A/Anhui/504/2005	2005
A/Anhui/538/2003	2003-11-02
A/Anhui/550/2002	2002-10-01
A/Anhui/70/2005	2005
A/Anhui/77/2003	2003-01-22
A/Anhui/789/2004	2004-03-16
A/Anhui_Baohe/10/2005	2005-10-12
A/Anhui_Baohe/1884/2006	2006-12-07
A/Anhui_Luyang/1113/2006	2006-11-09
A/Aragon/RR-3438/2008	2008-12-30
A/Aragon/RR-3442/2009	2009-01-16
A/Arequipa/FLU7200/2007	2007
A/Argentina/01/2010	2010-12-27
A/Argentina/02/2010	2010-12-27
A/Argentina/117/2007	2007-06-04
A/Argentina/146/2007	2007-06-06
A/Argentina/15/2009	2009
A/Argentina/27724/2010	2010-08-23
A/Argentina/27826/2010	2010-09-06
A/Argentina/27891/2010	2010-09-15
A/Argentina/27893/2010	2010-09-08
A/Argentina/27894/2010	2010-09-17
A/Argentina/27895/2010	2010-09-17
A/Argentina/28302/2010	2010-11-02
A/Argentina/28306/2010	2010-10-30
A/Argentina/28342/2010	2010-11-23
A/Argentina/28367/2010	2010-11-23
A/Argentina/28370/2010	2010-11-23
A/Argentina/28372/2010	2010-11-24
A/Argentina/28378/2010	2010-11-30
A/Argentina/28379/2010	2010-11-30
A/Argentina/305/2007	2007-06-19
A/Argentina/334/2007	2007-06-14
A/Argentina/335/2007	2007-06-15
A/Argentina/3689/2007	2007-03-21
A/Argentina/3726/2007	2007-05-01
