taxon	date
1974|Avian|A/duck/Memphis/546/1974|USA|H11N9	1974-01-01
1974|Equine|A/equine/Cornell/16/74|USA|H7N7	1974-01-01
1974|Human|A/Albany/20/1974|USA|H3N2	1974-01-01
1974|Human|A/HaNoi/2017/2001|Viet_Nam|H1N1*	1974-01-01
1975|Avian|A/Canada_goose/Wisconsin/902/1975|USA|H5N2	1975-01-01
1975|Avian|A/arctic_tern/Alaska/300/1975|USA|H5N3	1975-01-01
1975|Avian|A/chicken/Alabama/1975|USA|H4N8	1975-01-01
1975|Avian|A/duck/Hong_Kong/7/1975|Hong_Kong|H3N2	1975-01-01
1975|Avian|A/mallard/WI/169/1975|USA|H5N3	1975-01-01
1975|Avian|A/mallard/Wisconsin/34/1975|USA|H5N6	1975-01-01
1975|Avian|A/mallard/Wisconsin/428/1975|USA|H5N1	1975-01-01
1975|Equine|A/equine/Kentucky/1a/1975|USA|H7N7	1975-01-01
1975|Equine|A/equine/New_York/1/1975|USA|H3N8	1975-01-01
1975|Human|A/Bilthoven/4273/1975|Netherlands|H3N2	1975-01-01
1975|Human|A/HaNoi/2546/2002|Viet_Nam|H1N1*	1975-01-01
1975|Swine|A/swine/Minnesota/24/1975|USA|H1N1	1975-01-01
1976|Avian|A/duck/Hong_Kong/d73/1976|Hong_Kong|H6N1	1976-01-01
1976|Avian|A/goose/HK/10/1976|Hong_Kong|H3N2	1976-01-01
1976|Equine|A/equine/Sao_Paulo/4/1976|Brazil|H7N7	1976-01-01
1976|Human|A/Bilthoven/628/1976|Netherlands|H3N2	1976-01-01
1976|Swine|A/swine/Tennessee/15/1976|USA|H1N1	1976-01-01
1977|Avian|A/chicken/Hong_Kong/17/1977|Hong_Kong|H6N1	1977-01-01
1977|Avian|A/gadwall_duck/Alberta/291/1977|Canada|H7N3	1977-01-01
1977|Avian|A/gull/Maryland/704/1977|USA|H13N6	1977-01-01
1977|Avian|A/mallard/Alberta/294/1977|Canada|H11N9	1977-01-01
