posterior	prior	likelihood	skygrid
rep1	316.030992813764	292.354597736181	466.681593392745	292.454699696779
rep2	421.597414066038	405.20129398466	366.604534757872	404.814777072087
rep3	339.361680221128	328.201815144851	628.646080975764	327.882036453338
rep4	335.113601616154	314.785217289505	628.745867446325	314.490595557406
rep5	337.651930982072	320.073925547587	594.764476775905	319.886099013399
rep6	94.0354720169995	84.7917200211758	112.072901112832	84.7005168334845
rep7	109.021361605627	107.360017077336	99.9265046466302	107.2521075689
rep8	89.116293355149	86.5201258020347	164.324324196473	86.4389573206806
rep9	77.8018712078002	70.7683633079529	149.729599380598	70.6695194209745
rep10	96.1900191565564	88.3381566472827	173.096788591593	88.2609979076767
rep1trunc	76.1266497830497	74.2276567503135	244.849094951547	74.2090459457063
rep2trunc	110.965501940261	105.758049901599	150.59362586998	105.697011838487
rep3trunc	86.7130095576332	83.7514404770874	250.382169471138	83.6626170693718
rep4trunc	125.697237694314	113.219247837419	209.606969901671	113.035717202987
rep5trunc	62.900368379544	64.3800703319606	173.877390233344	64.2254063018784
