posterior	prior	likelihood	skygrid
rep1	30.65047998799	143.082408620456	12.2421485579737	142.944303508912
rep2	202.607006978602	203.96787096916	19.6519238684281	203.732029263178
rep3	159.485110817131	134.266031514554	115.676661487026	134.144673392604
rep4	208.897959579836	84.5822310098709	59.5656694511223	84.4276157413005
rep5	237.208881561677	238.899233253044	71.6246898433249	238.723955270156
rep6	66.91444804542	67.2491279875032	28.2019262336024	67.2106651224261
rep7	63.7170335958518	77.9474089434122	15.8785154401615	77.9213819542559
rep8	73.9899160565685	71.0891739277967	16.3749969930256	71.0338795664669
rep9	92.155507392179	54.4662907852048	8.40741808958241	54.4650978090049
rep10	28.4034983164973	33.5998160811492	18.8425663984231	33.5725806469187
rep1trunc	56.7367617163062	39.8501435004103	33.1504423337038	39.8292341109527
rep2trunc	53.6467793662179	43.5097799227883	46.6346036171713	43.4538843846471
rep3trunc	74.7993352310751	76.5299649470938	27.6637187627306	76.4426295983337
rep4trunc	25.7519879547989	13.8935120628298	99.7487582416573	13.8623873122733
rep5trunc	55.3631719459618	62.6790716606838	33.5477629061332	62.6313170571724
