gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
coda_point_long	4.02870092956352	10.3685175564713	5.00723514549426	3.75586092333359	10.8428050131956	3.75824644588715	4.66837158309328	7.37031527844162	2.32086400670285	4.18743637938211	13.6041738744103	5.43828879017663	3.98354859733952	5.58858242383658	1.16823721956765	1.00024683819481	1.0029006790867	1.07236728924044	1.20682493467451
coda_upper_long	8.27092299489571	22.6075506698921	8.61541265493114	6.49564508364691	20.553151615154	6.11812259112657	8.00324537597844	12.5089615238516	3.58991756426047	10.8267012669052	23.1337684230775	9.04822177884341	6.62682140593219	9.29826586335857	1.40116714458692	1.00076293862565	1.00745296117991	1.1825708174063	1.49595070647169
coda_point_short	5.66072422477281	13.5592409582501	5.30387937183366	3.78881579035356	13.8389047417165	4.13046441486327	5.28943613246477	8.15105860318512	2.49496538314779	6.10970569007142	13.0454777906592	5.77192130162761	4.09838931167885	5.96144334201344	1.19578551656019	1.00043568708704	1.00290732485885	1.05050618516704	1.10296625890537
coda_upper_short	9.3436153608076	22.7116286102338	8.76653787219276	6.19125207654014	23.6932986238245	6.74923223378848	8.74772690241051	13.552950888337	3.8991674096173	10.0785847861662	21.9525037915812	10.055073147827	6.95539580031998	10.3911693944441	1.45998746513663	1.00156425121238	1.00815554327295	1.1305380265163	1.25041497585538
coda_point_trunc	4.63323781722899	12.0711692530453	4.97830622202236	3.65808861292076	12.0956804682114	3.40375219887976	4.27215647301441	6.89884509001087	2.31369501954237	6.10387629385203	11.6842534634944	4.73690270691694	3.52662444236917	4.8813537044693	1.20622909661175	1.00035958626065	1.00224832873101	1.06065427230379	1.1491057262355
coda_upper_trunc	6.68155285882399	17.7255860913177	7.17814526402091	5.24390802513647	17.7350386331061	4.8335951705494	6.17082708032169	9.98204723557595	3.1761565301243	8.93878803343968	17.1029013061208	7.02978974071286	5.10638103064298	7.25264996772607	1.39296132342023	1.00099687861517	1.00483916217776	1.12328659075311	1.29698770138882
rstan_long	1.78549985807936	1.80296659264573	1.77571448468218	1.76527315756574	1.79263900752178	1.72365961850844	1.77192209025019	1.7860290409074	1.66021353068307	1.8480684698365	1.75532952111553	1.70682085480714	1.71245145132019	1.70832857307768	1.12456804199259	1.00022204745428	1.00189053371838	1.05338107856737	1.14563935619034
rstan_short	1.71259293982857	1.75000815599606	1.72284048379623	1.6983087192428	1.75727114530969	1.71171316375496	1.70866841347052	1.85898186615523	1.69393008172748	1.91049703789311	1.77223204538443	1.77327121626689	1.77924887445983	1.7742747320972	1.13097324572541	1.00069737486478	1.00295791773112	1.04931001744616	1.09065077300255
rstan_trunc	1.92430148291128	2.19196643420615	2.05252047974422	1.96146822884015	2.16057853332937	1.81495570477384	1.87037094295804	2.11304307168588	1.75564131173214	2.20508972227869	1.85215687838485	1.91935190695393	1.85122354837811	1.92807707164499	1.17111103016648	1.0004396854309	1.00280366104265	1.0752009860466	1.17266212749768
