gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
rep1	6210.78910860305	6354.40808344532	8000	7900.60283608233	6369.29721116983	8000	8000	6672.3567228343	6831.20784089741	7264.26587740375	7243.2356417077	853.111873931895	2821.67160183049	1116.15721191971	4639.21985834653	7776.76584603867	6071.73430150209	2131.83782691171	1084.45239058156
rep2	8000	6590.47676619859	8000	7871.80334589043	6670.72349299329	7430.39905366922	7814.1454940728	6853.98095038875	7373.06973730604	7361.75325395413	6790.6703581992	658.129329035818	1377.31891067712	628.072793276192	3007.24683288327	7348.72999249842	4985.01049274624	1313.25873779594	622.358587398795
rep3	6489.1096703474	6502.53954060218	7843.1088020635	7801.05419014883	6424.84161826909	8000	7783.51199617526	6757.18422076425	7116.46678099576	7066.04080470353	6666.91932541363	1036.85734374114	2283.97835979735	1033.3512893679	3879.66164758018	8000	6842.88045070415	2078.86831763916	995.8275148291
rep4	6373.92250672625	5871.74978387173	7490.74099028523	7880.44806332514	5925.2470509806	7500.65324033467	7951.71144169355	6347.69536326968	6903.26017599295	6989.28480286347	5866.47254622274	698.670956535239	5.79538580162693	693.398645230145	5.36781318253386	7545.26499125761	5567.08814181123	1443.48444998061	678.881562542679
rep5	7496.23182606006	6822.47968168683	6807.6557275256	8000	6828.65957476419	7620.0543090421	8000	7245.40270044033	6522.85767666632	7211.7061219737	7132.55642819864	794.752752156781	1347.72194037609	799.640769413617	3041.55783727735	7557.86338375964	4897.41268488846	1574.38993600969	804.422223215655
rep6	1903.2643234723	1524.83366801375	2000	2000	1532.3680807898	1909.70830650206	2000	1674.82255171132	1639.08621204565	1734.56657686121	1540.39605856528	123.569988624146	19.0145093851726	175.107346476038	17.4311122224854	1834.36256724614	1482.58845763533	397.465553073536	169.245891076614
rep7	2000	1221.50460978666	1603.40956646495	2000	1210.85271957758	2000	2000	1927.31335152557	1824.2219622699	1838.60049047284	1706.83425702015	105.687127526004	231.50932032118	110.41318375675	839.329905810546	2000	1500.28777018223	309.551163260331	109.219165766297
rep8	1925.09772602588	1676.19296395126	1768.26261520625	1818.00379941282	1662.79108045975	2000	2000	1741.43415835049	1729.42905793276	1748.71726977848	1719.94146678199	188.062475982299	524.65169442501	172.588636343894	961.815883273721	2000	1825.56998641329	379.848312641213	160.634037765559
rep9	2000	1650.6833023432	1864.30928031518	2000	1664.73589505753	1820.99739488008	2000	1709.62518234665	1799.3356880968	1652.6762112778	1633.52405306546	252.891665537925	383.561685869404	263.370586346716	657.25124132128	1647.22877006407	1706.12590203181	453.521865388519	258.398859291453
rep10	2000	1917.30186172173	2000	2000	1896.14138239963	2000	2000	1879.83694804494	1761.54191843353	2000	1979.56799146724	274.482460905381	16.8962682605003	285.467571697621	14.6066448065923	1745.81113830522	1694.36321268486	581.122984311326	291.292093143791
rep1trunc	2000	1889.39599010457	2000	2000	1711.74033927896	2000	2000	1821.49355952769	1881.07010051406	2000	2000	289.299237812701	744.640328470903	276.185164116679	1298.81127294534	2000	2000	490.065640511839	268.701796955267
rep2trunc	2000	1680.89302611344	2000	2000	1723.55512816466	1894.04357072585	1932.36453962356	1778.23629479106	1970.5889076285	2000	1745.96664689165	199.179049650333	417.528718671664	168.648565186897	797.304607058974	1556.48033384855	1235.60075603011	326.536624983973	165.175799791218
rep3trunc	2000	1329.28733286471	1969.78635846427	2000	1294.44366504543	1980.18199374697	2000	1681.86644246763	1573.91755420042	1582.74457463491	1407.57436747563	222.727262678051	609.719111177848	219.885077308953	1082.56477000673	2000	1746.82625020158	444.913799054373	208.923141422564
rep4trunc	1781.40537638066	1339.17319189563	1897.04504034791	1931.03405390744	1312.69301692986	1954.01798684862	1920.61012530886	1679.03550369875	1680.67158353221	1755.72438735492	1671.67069302098	162.779754419085	326.247293491207	155.6257935851	742.889371757216	1695.26806138466	1103.59881718822	309.252568939412	145.893132338601
rep5trunc	1871.14444862212	1750.31846547609	1656.2332786555	2000	1731.56672461924	1911.80847424869	2000	1739.51113610766	1852.44152349884	2000	1817.16311992275	139.918925280494	202.278321412129	140.598112990031	508.85538663873	1836.58568062916	1113.13384868777	347.1768411848	135.991239252631
