pers0.025	pers0.05	pers0.1	pers0.2
run01	-113968.41	-113851.922	-113880.728	-113569.295
run02	-113910.992	-113839.774	-113637.91	-113707.568
run03	-114034.687	-113804.201	-113712.611	-113780.167
run04	-113951.677	-113835.173	-113626.578	-113760.765
run05	-113966.229	-113787.599	-113797.321	-113747.239
