posterior	prior	likelihood	coalescent
rep1	12.1720014571443	173.988909624165	7.21725628945436	174.009480654461
rep2	23.1050309423723	174.167589357296	20.7502525518579	174.187656189578
rep3	207.900796107517	231.14120806947	131.534270130178	231.151043168138
rep4	266.229490082287	44.2923308487708	26.7178503249751	44.2820048204078
rep5	16.2408121774576	73.0406509698867	14.7425297808945	73.0748447529091
rep6	80.9590106432927	109.225315206275	18.3401924285145	109.235817562945
rep7	58.4948139183484	56.8382003351933	27.2782140571512	56.8232002688085
rep8	79.9806620501835	75.6304451548031	40.9318968660381	75.6166720270051
rep9	141.763245765024	120.0668433323	12.1824403929562	120.044909306324
rep10	153.490789868529	94.6869577056789	58.1752370777985	94.6939775031249
rep1trunc	6.66591794403385	113.548884040031	5.16651947235678	113.566039476865
rep2trunc	75.5281542908368	109.316229590471	8.60250263736445	109.308940760655
rep3trunc	90.2363991455212	94.8592008027161	26.9656603662516	94.8568411318541
rep4trunc	56.4440774150655	32.1465765870821	31.819976755692	32.1444966069974
rep5trunc	52.9083360331955	69.6513172622701	52.69405961764	69.6448093777745
