taxon	date
KM821921|ISTH0531_NIG_2011|Human|Nigeria|2011	2011
KM821923|ISTH0595_NIG_2011|Human|Nigeria|2011	2011
KM821926|ISTH1003_NIG_2011|Human|Nigeria|2011	2011
KM821928|ISTH1038_NIG_2011|Human|Nigeria|2011	2011
KM821930|ISTH1048_NIG_2011|Human|Nigeria|2011	2011
KM821932|ISTH1058_NIG_2011|Human|Nigeria|2011	2011
KM821934|ISTH1064_NIG_2011|Human|Nigeria|2011	2011
KM821936|ISTH1069_NIG_2011|Human|Nigeria|2011	2011
KM821938|ISTH1096_NIG_2012|Human|Nigeria|2012	2012
KM821940|ISTH1107_NIG_2012|Human|Nigeria|2012	2012
KM821942|ISTH1111_NIG_2011|Human|Nigeria|2011	2011
KM821944|ISTH1121_NIG_2012|Human|Nigeria|2012	2012
KM821946|ISTH1129_NIG_2012|Human|Nigeria|2012	2012
KM821948|ISTH1137_NIG_2011|Human|Nigeria|2011	2011
KM821950|ISTH2010_NIG_2012|Human|Nigeria|2012	2012
KM821952|ISTH2016_NIG_2012|Human|Nigeria|2012	2012
KM821954|ISTH2020_NIG_2012|Human|Nigeria|2012	2012
KM821956|ISTH2025_NIG_2012|Human|Nigeria|2012	2012
KM821958|ISTH2031_NIG_2012|Human|Nigeria|2012	2012
KM821960|ISTH2037_NIG_2012|Human|Nigeria|2012	2012
KM821962|ISTH2042_NIG_2012|Human|Nigeria|2012	2012
KM821964|ISTH2046_NIG_2012|Human|Nigeria|2012	2012
KM821966|ISTH2050_NIG_2012|Human|Nigeria|2012	2012
KM821968|ISTH2057_NIG_2012|Human|Nigeria|2012	2012
KM821970|ISTH2061_NIG_2012|Human|Nigeria|2012	2012
KM821978|ISTH2094_NIG_2012|Human|Nigeria|2012	2012
KM821981|ISTH2129_NIG_2012|Human|Nigeria|2012	2012
KM821983|ISTH2217_NIG_2012|Human|Nigeria|2012	2012
KM821985|ISTH2271_NIG_2012|Human|Nigeria|2012	2012
KM821987|ISTH2304_NIG_2012|Human|Nigeria|2012	2012
KM821989|ISTH2312_NIG_2012|Human|Nigeria|2012	2012
KM821991|ISTH2316_NIG_2012|Human|Nigeria|2012	2012
KM821993|ISTH2334_NIG_2012|Human|Nigeria|2012	2012
KM821995|ISTH2358_NIG_2012|Human|Nigeria|2012	2012
KM821997|ISTH2376_NIG_2012|Human|Nigeria|2012	2012
KM821999|LASV003_NIG_2008|Human|Nigeria|2008	2008
KM822001|LASV006_NIG_2008|Human|Nigeria|2008	2008
KM822003|LASV035_NIG_2009|Human|Nigeria|2009	2009
KM822005|LASV042_NIG_2009|Human|Nigeria|2009	2009
KM822007|LASV045_NIG_2009|Human|Nigeria|2009	2009
KM822009|LASV046_NIG_2009|Human|Nigeria|2009	2009
KM822011|LASV049_NIG_2009|Human|Nigeria|2009	2009
KM822013|LASV052_NIG_2008|Human|Nigeria|2008	2008
KM822015|LASV056_NIG_2008|Human|Nigeria|2008	2008
KM822017|LASV058_NIG_2008|Human|Nigeria|2008	2008
KM822019|LASV063_NIG_2009|Human|Nigeria|2009	2009
KM822021|LASV221_NIG_2010|Human|Nigeria|2010	2010
KM822024|LASV225_NIG_2010|Human|Nigeria|2010	2010
KM822026|LASV229_NIG_2010|Human|Nigeria|2010	2010
KM822028|LASV237_NIG_2010|Human|Nigeria|2010	2010
KM822030|LASV239_NIG_2010|Human|Nigeria|2010	2010
KM822032|LASV241_NIG_2011|Human|Nigeria|2011	2011
KM822034|LASV242_NIG_2010|Human|Nigeria|2010	2010
KM822036|LASV245_NIG_2011|Human|Nigeria|2011	2011
KM822038|LASV246_NIG_2010|Human|Nigeria|2010	2010
KM822040|LASV250_NIG_2011|Human|Nigeria|2011	2011
KM822042|LASV251_NIG_2010|Human|Nigeria|2010	2010
KM822044|LASV253_NIG_2011|Human|Nigeria|2011	2011
KM822046|LASV254_NIG_2011|Human|Nigeria|2011	2011
KM822048|LASV256_NIG_2010|Human|Nigeria|2010	2010
KM822050|LASV263_NIG_2011|Human|Nigeria|2011	2011
KM822052|LASV267_NIG_2010|Human|Nigeria|2010	2010
KM822054|LASV271_NIG_2010|Human|Nigeria|2010	2010
KM822056|LASV274_NIG_2010|Human|Nigeria|2010	2010
KM822058|LASV711_NIG_2009|Human|Nigeria|2009	2009
KM822061|LASV719_NIG_2009|Human|Nigeria|2009	2009
KM822064|LASV737_NIG_2009|Human|Nigeria|2009	2009
KM822068|LASV966_NIG_2009|Human|Nigeria|2009	2009
KM822070|LASV967_NIG_2009|Human|Nigeria|2009	2009
KM822073|LASV971_NIG_2009|Human|Nigeria|2009	2009
KM822075|LASV975_NIG_2009|Human|Nigeria|2009	2009
KM822077|LASV976_NIG_2009|Human|Nigeria|2009	2009
KM822079|LASV977_NIG_2009|Human|Nigeria|2009	2009
KM822081|LASV978_NIG_2009|Human|Nigeria|2009	2009
KM822083|LASV979_NIG_2009|Human|Nigeria|2009	2009
KM822085|LASV981_NIG_2009|Human|Nigeria|2009	2009
KM822087|LASV982_NIG_2009|Human|Nigeria|2009	2009
KM822090|LASV989_NIG_2009|Human|Nigeria|2009	2009
KM822092|LASV990_NIG_2009|Human|Nigeria|2009	2009
KM822094|LASV991_NIG_2009|Human|Nigeria|2009	2009
KM822096|LASV992_NIG_2009|Human|Nigeria|2009	2009
KM822098|LASV993_NIG_2009|Human|Nigeria|2009	2009
KM822100|LASV1000_NIG_2009|Human|Nigeria|2009	2009
KM822102|LASV1008_NIG_2009|Human|Nigeria|2009	2009
KM822104|LASV1011_NIG_2009|Human|Nigeria|2009	2009
KM822106|LASV1015_NIG_2009|Human|Nigeria|2009	2009
KM822108|LASV1016_NIG_2009|Human|Nigeria|2009	2009
KM822110|LM032_SLE_2010|Mouse|Sierra_Leone|2010	2010
KM822112|LM222_SLE_2010|Mouse|Sierra_Leone|2010	2010
KM822114|LM395_SLE_2009|Mouse|Sierra_Leone|2009	2009
KM822116|LM765-SLE-2012Mouse|Sierra_Leone|2012	2012
KM822119|LM774_SLE_2012|Mouse|Sierra_Leone|2012	2012
KM822121|LM776_SLE_2012|Mouse|Sierra_Leone|2012	2012
KM822123|LM778_SLE_2012|Mouse|Sierra_Leone|2012	2012
KM822125|LM779_SLE_2012|Mouse|Sierra_Leone|2012	2012
KM822129|Z0947_SLE_2011|Mouse|Sierra_Leone|2011	2011
KM822131|Z0948_SLE_2011|Mouse|Sierra_Leone|2011	2011
KT992426|Mad39|Mouse|Guinea|2014-05-08	2014-05-08
KT992427|Mad41|Mouse|Guinea|2014-05-08	2014-05-08
KT992428|Mad62|Mouse|Guinea|2014-05-09	2014-05-09
KT992429|Mad63|Mouse|Guinea|2014-05-09	2014-05-09
KT992430|Mad69|Mouse|Guinea|2014-05-09	2014-05-09
KT992431|Mad83|Mouse|Guinea|2014-05-10	2014-05-10
KU978812|NIGERIA IKEJI|Human|NIG|1989-01-01	1989-01-01
