pers0.025	pers0.05	pers0.1	pers0.2
run01	-54206.599	-54212.474	-54213.551	-54215.417
run02	-54196.698	-54218.914	-54217.471	-54212.588
run03	-54215.411	-54223.802	-54219.361	-54212.102
run04	-54213.049	-54211.566	-54217.676	-54214.878
run05	-54211.41	-54213.583	-54203.86	-54224.909
