pers0.025	pers0.05	pers0.1	pers0.2
run01	-65556.834	-65556.835	-65555.226	-65556.832
run02	-65556.83	-65556.826	-65556.829	-65556.825
run03	-65556.828	-65556.826	-65556.827	-65556.83
run04	-65556.828	-65556.828	-65556.829	-65556.831
run05	-65556.831	-65556.833	-65556.834	-65556.826
