pers0.025	pers0.05	pers0.1	pers0.2
run01	-46938.986	-46939.059	-46939.106	-46937.506
run02	-46941.133	-46938.961	-46939.727	-46938.21
run03	-46938.681	-46940.093	-46939.545	-46939.105
run04	-46938.535	-46940.466	-46938.649	-46939.092
run05	-46940.645	-46939.47	-46938.318	-46938.994
