1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373	374	375	376	377	378	379	380	381	382	383	384	385	386
rep1	8000	7155.68100578983	8000	6846.36020944223	7484.11695534688	7797.92707807381	7086.61394124397	7499.96459894601	8000	8000	6294.68610924194	8000	8000	7909.59106288116	7862.50599272034	8000	8000	7547.43806696323	8000	8000	6874.47299963178	8000	8000	7985.5999898425	6446.09757049867	8000	2864.75541370496	7178.01861675209	7236.3274237787	6868.84796135223	7898.32291353946	7706.5527995485	7549.14033343129	7304.99907444318	7429.57388887609	7757.6196899428	8000	7511.76784080221	8000	7518.19575823191	7246.77867865843	8000	7541.69502815189	7583.13500218751	7312.88593189962	5653.9064429533	6517.13052596244	6973.99424397207	8000	8000	8000	7905.68763596115	6136.11215267076	8000	5930.56006508983	7661.43003555798	7883.39941953869	7426.23705792096	8000	7219.43005435874	7211.96195732728	NA	6867.82355984069	7738.83967648704	8000	8000	7583.21989803817	7254.81840377686	NA	8000	8000	7013.49501931675	8000	NA	8000	6971.05302908952	7070.9461828894	7747.53407826641	7747.648852755	4803.36520904862	7790.54295710732	8000	7798.84425546418	NA	7651.44476788202	NA	7553.91833909387	7467.50152685017	NA	7972.49906220182	8000	8000	8000	8000	NA	8000	8000	8000	7825.65199068308	7838.8492275428	8000	3407.63872447366	5669.36024631263	7712.45241701236	8000	7989.38429258935	8000	8000	8000	7555.70740827494	8000	8000	8000	1979.84656726155	NA	7276.2795694725	NA	8000	7776.68780869583	8000	7910.9823594942	6254.67873899924	7657.48401641194	6497.49146621233	7321.47449329396	8000	8000	7973.38003800532	8000	8000	8000	7404.73686992272	8000	8000	7141.62355475667	8000	7759.20246576596	8000	8000	7159.63532478787	8000	8000	NA	7282.80284663039	8000	8000	7639.9371941567	7583.47590293794	8000	6868.03595743527	7404.31665655743	8000	7279.91620813321	7822.58664254175	8000	7660.53615380692	8000	7974.26239440447	NA	8000	7558.30111995188	8000	7860.80639064743	7804.36917683645	8000	8000	NA	6513.33942232021	NA	7214.04507642281	7946.99942535708	8000	NA	8000	7370.11985748552	7361.5292765924	8000	8000	3461.74606334373	8000	7879.15977460564	7569.45158770546	8000	8000	7826.92213951605	7447.85967568632	6982.33549053028	7873.53990387293	8000	7864.82856614504	7352.97016795768	NA	7423.57164463512	7973.58737095931	NA	2163.53889697833	7796.29446975327	7334.67409375983	7813.52127964853	NA	8000	7960.60412849205	NA	7856.85640992455	7763.96068172648	NA	8000	8000	8000	7638.72871205152	NA	7966.97984876833	NA	8000	8000	7824.79515885657	8000	7831.39948677492	7947.04681470452	8000	8000	7558.83300226193	7104.88162015233	8000	7627.31579080772	7617.72740337349	7849.32296433181	7874.30640860215	7803.03252372413	7083.89397523396	8000	4220.74327182752	8000	7435.44931944065	8000	7233.56231528614	8000	8000	7486.5194422572	NA	8000	NA	8000	NA	8000	7899.14076409292	8000	8000	6777.62952008778	8000	8000	6533.4606034686	7742.12094384773	8000	NA	7416.92349698556	6995.19718077785	7482.15053372581	7071.0638392842	8000	8000	6241.75863964228	3592.64810152779	7844.89461347848	7306.91620590405	NA	8000	NA	8000	7768.40372035786	NA	7899.49973462305	7724.36437861949	7765.86313502236	8000	8000	7745.78574504046	8000	NA	8000	8000	3775.43450905081	7482.92259843154	7692.30217585688	8000	7933.241417868	7142.96430380705	7650.14241244646	NA	8000	7649.89229508423	8000	6433.56210224743	7721.53475092659	7419.79373969902	2587.11684976894	7121.98226034887	8000	8000	7708.53376972726	NA	8000	NA	7450.75710158119	7859.82853785884	7674.05172100201	7791.54747408134	8000	7450.5225825653	7698.94310782356	6702.01251932281	7454.23274596644	NA	8000	7637.37784872116	7179.24428269649	7643.80683288062	7806.40218921863	7470.93387548587	8000	8000	7716.56470787219	7498.92676091468	NA	7861.3221368404	7715.23684136526	NA	7752.97887432647	7905.90355271865	8000	7779.46904705659	NA	7912.78223051341	7990.95632143603	8000	7532.45386031912	7308.13102421234	7834.82020451947	NA	7643.24091524434	7737.51201401578	7347.82500617191	8000	6830.91081814773	7593.10496326354	7562.20681095173	7191.80320593192	8000	7465.79328362057	7471.2435462497	7295.55633549494	5959.85288514091	7009.93240738929	8000	7506.59621684377	8000	8000	7762.44195268889	7652.01861393624	8000	8000	8000	1598.63088772161	8000	8000	8000	7442.86014264593	8000	NA	6881.50172141045	7916.00822027922	7756.23428924205	7046.48146106798	7616.71254288514	7559.73114000526	NA	7744.36107748372	7335.79303212217	7594.96471200125	7524.42959820101	7147.15835482208	8000	7441.65008735826	7882.58375188712	7504.56766418964	7394.77697311166
rep2	8000	7742.67228806908	7637.12255777782	7144.4078351551	8000	8000	7978.31658371787	8000	7349.67546767251	7609.90925712737	6316.17737664502	7771.98485423094	NA	7780.97280787547	8000	8000	6660.94403891726	7556.27675530198	7541.09642108508	7582.15409370216	6881.57749812245	8000	7914.43740673751	7948.62774128476	6872.20557089441	8000	1884.13013777046	8000	8000	6936.51775446921	7374.38438468156	7800.90796902119	7987.10778606355	6960.28370339837	7583.15016908057	8000	8000	7333.49457453697	8000	7990.24378688144	7479.13273667195	7898.92632111127	8000	8000	8000	5749.31150473538	7901.5853585105	7126.77709806425	7707.23466595126	7647.08687966782	7736.37582914092	8000	5730.66312942628	8000	5385.59738264083	8000	8000	7035.74111353285	8000	7420.84598796812	7197.29489924108	NA	8000	8000	8000	7595.87308023909	6387.38409836044	7829.29297401529	NA	7920.19626827134	8000	8000	7766.54609194533	NA	7839.473309016	3319.23394554727	8000	8000	8000	5339.34574592008	8000	8000	8000	NA	8000	NA	7835.32729262313	8000	NA	8000	8000	8000	7801.27736868747	8000	NA	7490.54350198459	7401.86871785396	8000	7063.06436769322	8000	8000	2789.17466536198	6467.14377755252	8000	8000	8000	8000	7096.4264495631	7566.2215845284	7891.47550353706	7598.38774698405	8000	7577.175133503	2863.76849576858	NA	8000	NA	7577.30531806867	8000	7691.09683556381	8000	7639.25050173921	7241.14982344123	7068.79671992621	7424.76263844391	8000	7791.73084684886	7847.52659170478	7417.71534110542	8000	7492.81431389662	7753.41684802382	8000	8000	7868.66926621359	8000	7892.41385473216	7244.39842356213	7881.84331064486	7975.10807623526	8000	NA	NA	6460.69257519506	7723.83588527216	8000	7976.73937383644	8000	7917.45490686971	7479.08317946504	7839.31979317369	7825.4874197201	7309.21513735313	8000	7708.37282523231	8000	7894.31289655548	8000	NA	8000	7158.81577204332	8000	8000	8000	8000	8000	NA	7160.45703113842	NA	7405.2363425318	7947.97357088736	7235.60173604825	NA	7968.37482321454	7386.85026998923	7497.44373809054	7687.76335852633	8000	3795.64846535044	8000	7696.54948648919	8000	7406.47694786145	8000	7818.49704178313	7779.60567455902	7673.09839546631	8000	7899.53293935904	8000	6852.16998886352	NA	8000	7608.30223024979	NA	1862.61566331785	7928.78026310643	8000	7245.77901073115	NA	7444.42523316573	8000	NA	8000	7220.6413817656	NA	7829.17778475922	8000	8000	8000	NA	8000	NA	7797.81562508537	8000	7401.27352110168	8000	8000	7689.49488121267	7963.47652122032	7651.52293290009	7450.95702724016	8000	8000	8000	7642.01097307087	8000	7637.28266358848	7848.09665587091	5890.45422626624	8000	242.877213917348	8000	8000	8000	6857.71098673719	8000	8000	7907.81848230511	8000	8000	NA	8000	NA	8000	7542.66348160153	8000	8000	7555.3433686542	8000	8000	8000	7220.06776781635	7893.55893900191	NA	7818.76271256769	8000	2476.44304060262	5154.09033860201	125.674252535913	7747.52919790522	8000	257.586171793708	8000	8000	NA	7248.60380242358	NA	8000	7637.03540499599	NA	7800.3352453378	8000	7910.56687914797	8000	7686.50645393226	7385.76428892825	8000	NA	8000	7067.16211577145	5826.29601280405	8000	8000	7669.02051913927	8000	8000	7680.60059938709	NA	8000	7895.90435388173	7748.99456200086	8000	7625.11503117497	7390.30282230416	4716.32803238089	6647.48000336269	NA	8000	8000	NA	8000	NA	8000	8000	7765.43939612209	7277.84463699205	7877.0190123361	7558.79111448791	8000	6828.13079385541	7889.38012446774	NA	7431.40715034627	7608.36846868106	8000	7369.14144920225	7704.99416777283	7937.06213765237	7756.94326400779	8000	7825.8705539905	7941.93513006915	NA	8000	8000	NA	7810.66848866142	7959.98138652923	7643.09488240229	7672.73538557478	NA	8000	7673.70817031321	8000	7556.16003750551	7489.05737807522	7743.88969743919	NA	7295.75210563981	7098.89478760237	8000	8000	6971.62906465959	7384.47727744558	7921.52965276484	6409.73994090089	8000	7160.4570311384	8000	8000	5676.71081542852	7350.0793399623	7250.63924898067	7832.25432862551	7791.78380690582	7926.78560117614	7649.88327239223	7838.48474579902	7103.29105336052	7317.45522995238	8000	2132.10304801128	7637.40196078988	7548.15962384064	7765.32591660693	6780.10692680837	8000	NA	7961.8587418285	7759.47819742928	8000	7877.99773687899	7667.89502490861	8000	NA	6625.88783300661	7585.52154822314	8000	8000	7557.95628135876	7517.06909211243	8000	8000	8000	7824.3799396578
rep3	8000	7456.97827610483	8000	7192.37254253522	8000	8000	8000	7594.05586769438	7612.6754700664	7681.69567818473	6652.62958515352	8000	8000	8000	7442.01851126604	7477.41764691165	8000	8000	8000	7690.12134928933	6466.12910075933	8000	7943.75196891321	7071.20636073135	7140.82835341378	8000	2076.11576527838	8000	8000	6885.70978057558	7956.4331324814	7958.63847294466	6996.26305529995	7247.94309546088	7794.39021725202	7884.74152462461	8000	7995.95366551943	7831.32179989981	8000	7548.78544926448	7797.01994181574	7322.86046975871	7465.88469955502	7554.08981726526	5578.44035693125	7193.88603663875	7304.93010878676	8000	7536.16755830536	7498.50106302182	7638.32414516941	6446.08368166009	7487.84191851322	4871.75528426898	8000	8000	8000	8000	7161.67260020832	8000	NA	7716.83180531412	8000	8000	7367.36394281191	7970.55779376919	7578.33212125745	NA	8000	7242.93004270539	8000	7597.3191781096	NA	8000	4744.31272335606	8000	8000	7618.47268564108	NA	8000	7448.78952650146	7787.16539774742	NA	7715.09713982228	NA	8000	7974.48307536044	NA	7996.64019508703	8000	7822.96084263178	7657.4694618723	8000	NA	7963.10966350308	8000	7735.13160613688	8000	7563.7981355128	8000	2821.44489254604	5847.13177542429	8000	7814.73965043799	8000	7896.24069032542	8000	7974.39583267128	8000	7811.38444848135	7465.98911158763	7852.08722038044	2344.51227488083	NA	7374.85745621171	NA	8000	8000	7580.3115916981	7466.09358006849	6703.70157402014	7456.23277615061	7217.05852985002	8000	7747.1542161745	8000	7611.48373459132	8000	7858.88041788756	7535.3050322614	8000	8000	8000	7859.4621960103	7442.00858379416	7773.61030392943	8000	8000	8000	8000	NA	NA	7347.56304069834	8000	8000	7549.61978573227	8000	7601.06993351984	7581.94315063045	7722.51262562188	7592.50061608013	8000	8000	7709.2228614597	8000	8000	8000	NA	7535.13635925704	8000	8000	8000	8000	8000	8000	NA	8000	NA	8000	8000	8000	NA	8000	7864.9331466963	7580.23652972239	6938.27059625032	7754.44739036589	2860.35454574274	7153.82901597399	8000	8000	8000	7616.34911842082	8000	7811.94789096367	8000	7471.17322928853	8000	7943.96297428971	7389.90462112508	NA	7768.03343410967	7903.56741113664	NA	2194.75145179169	7938.79977516029	7808.77272554455	6267.8001614275	NA	7904.90416236498	7698.29794369018	NA	8000	7632.56985228694	NA	7561.90353626728	7885.52691177515	7992.93339282529	7858.93506074429	NA	7956.69447146365	NA	7892.01518739633	8000	6725.26741229027	8000	7751.9430049567	7849.17166258017	8000	7606.61832829408	7783.47735835177	8000	8000	6887.27977916049	7895.85630648069	7773.40791193818	7937.95606680757	7508.1567321218	7210.79691494094	8000	4094.97932294595	7808.51154336577	7792.15651245132	8000	7462.79529628642	8000	7791.6372670777	7348.45038894309	NA	7597.47226072676	8000	8000	NA	8000	7866.74777871524	7899.2579227363	7832.60029325852	7396.93492705045	7127.46958957503	7766.21016620825	6846.82268349469	7427.23118752327	8000	NA	7900.20242446685	8000	8000	8000	8000	8000	7589.99633121714	4326.50779276186	8000	8000	NA	7583.06853010839	NA	7402.01752359293	8000	NA	8000	7318.33038581343	7438.80130530924	7639.12124799131	7393.33027135107	6877.46529052715	8000	NA	8000	8000	4019.35784721156	7940.2495933417	8000	7551.42721700772	8000	7807.84338157013	7303.51028424196	NA	8000	7701.64614600404	7180.25559365429	8000	8000	7441.72008297455	2820.15121261128	5972.93739539955	8000	8000	7829.86102361228	NA	7647.01371564512	8000	8000	8000	8000	7404.71926827077	8000	8000	7797.91354648503	7663.3030268292	8000	NA	7832.79172789852	7625.39463712519	7464.3700015545	8000	7835.91290314761	8000	8000	8000	7848.22450198228	7898.52147605244	NA	7603.35454317349	7139.85762431373	NA	8000	8000	7492.62261270142	6405.92450356296	NA	8000	7726.75599007805	8000	8000	7038.59951897743	8000	NA	6905.07523481572	7328.87760977663	8000	8000	7288.66327783399	7014.0340047771	7720.43841283471	8000	8000	8000	8000	8000	5618.42591184117	6453.86175562639	8000	8000	8000	7337.94220321778	7584.20389882887	7859.19937585516	8000	8000	8000	1888.02122686213	7079.96905337168	8000	8000	7552.06268926574	7785.74595968894	NA	7992.32689057217	7815.38247832903	8000	6516.7810574283	7830.59193635907	8000	NA	7494.89882629535	7906.42793122114	8000	7762.01037416668	8000	8000	7664.38289394002	7903.02228441081	8000	7782.20372504711
rep4	6753.18503227639	6596.07361557031	8000	7550.6479230707	7864.4208859639	8000	8000	7628.61383528199	8000	7825.62944330026	7234.94538104547	7527.86508311875	8000	7025.1004269585	7711.65357684807	8000	8000	7732.46123054404	7447.07638052499	7687.55722415524	6604.38125443952	7376.65143368555	8000	8000	5753.69437228312	8000	5723.28888875623	7659.53014064165	7679.48592155641	7169.7075495325	8000	8000	7079.80920247745	6235.72991157316	7703.05062472805	8000	7964.16112132168	8000	7962.68240832461	7645.79722834644	6965.00874233653	6640.29763839147	7362.43891545756	7221.91662351	8000	6322.23352603299	7650.3317402355	6953.11469733968	8000	8000	8000	7224.67609326529	6225.85117860213	7088.83804090107	5764.83410894571	8000	8000	8000	7607.07454442314	6631.85964870526	6760.22116833841	NA	7643.09382691082	7946.80728593944	7282.91607065654	8000	8000	8000	NA	8000	7573.29328123405	7308.49528228027	7640.41427865003	NA	8000	3764.68550615632	8000	8000	7302.43245950135	4803.36520904904	8000	8000	7475.17134677483	NA	7870.24790313718	NA	7596.39386299427	7884.47582143817	NA	8000	8000	8000	7895.07138749866	8000	NA	7868.5107664593	8000	7566.60158423408	8000	7013.48378984608	8000	2946.57802824724	5411.47269145152	7798.4272178752	7176.80851188059	8000	7384.18644287985	7712.73113538903	7941.93105100905	8000	7848.81901243673	8000	7764.43064030266	2820.34949523188	NA	7790.17543316909	NA	7819.47346342044	7334.36132350637	7868.33890963339	8000	8000	7576.64644153273	7710.39893027483	7430.89529487178	7919.65327391476	8000	7843.13111685653	7317.89562480267	7369.04539299752	8000	7945.63777624149	8000	7888.13455279676	7766.37155050022	7645.18709086419	8000	7791.78072440028	7768.80323073312	7774.35601608662	7186.50062849025	8000	NA	6766.49572250884	7482.14898188861	8000	7795.64539284843	7616.07045131226	8000	8000	8000	7587.27701939051	8000	8000	8000	7823.32425161305	7582.03345280665	8000	NA	8000	8000	8000	8000	7171.11187392172	7701.75422386753	8000	NA	4182.48681893278	NA	7213.75293541654	8000	8000	NA	8000	7077.03527344968	7753.63920893129	8000	8000	3746.5319796514	7711.00478191774	7698.7241601207	8000	8000	6954.8858525318	7754.82344937997	8000	7161.0746274396	8000	7735.119965191	7690.80704889704	7487.89730523814	NA	8000	8000	NA	2230.39541226714	7187.79251212561	8000	8000	NA	8000	8000	NA	7716.55946336316	8000	NA	8000	6684.82995658314	8000	7778.4138842358	NA	8000	NA	8000	7902.23032695904	8000	7822.71153704217	8000	7968.45154333086	7946.1312352777	7877.61638134517	7158.50864491378	7502.65375451477	8000	7940.23969218982	8000	8000	8000	7765.00118978163	5442.08060659577	8000	5259.10570755787	8000	7738.1863999196	8000	7249.00908431814	8000	7835.83493903641	7523.94197838253	NA	8000	8000	8000	NA	8000	8000	7279.61397973444	7947.92392129684	7350.70048718744	8000	8000	7685.55574034767	8000	8000	NA	8000	8000	8000	7916.4720476483	8000	7642.76709860372	8000	5532.21402820256	8000	8000	NA	8000	NA	7660.05493404281	7829.88883985548	NA	8000	8000	6959.70043846296	8000	7972.65936657677	7927.40110743406	7795.63292201199	NA	8000	7829.68108396576	5309.30451936531	7444.57214676404	6714.98599121968	5868.8566339092	7569.00913224853	7690.31591862124	8000	NA	8000	8000	7143.23638720008	7046.43615901758	8000	7521.16451934191	4098.33317518318	6398.57137555858	8000	NA	7755.1162088232	NA	7675.77765957065	8000	8000	7499.76452092622	8000	7939.98692518783	7408.01038883988	8000	7801.75823874473	7864.71371225931	8000	NA	8000	7376.2879445961	8000	7948.12609072067	8000	8000	7854.65058224767	8000	7857.89501261704	8000	NA	7644.19555847681	7973.73669935342	NA	6984.72926852487	8000	8000	8000	NA	8000	8000	7813.1479934018	8000	7730.34704869905	7583.66713224791	NA	6515.89886777894	7902.19708652526	8000	7257.21057901012	7266.16800514601	8000	8000	8000	8000	6925.51682056321	8000	7608.14870101927	5606.63886637873	7221.15823494056	7726.29266809122	7606.56607689605	7306.65353447721	7654.46276485937	7692.51875820069	7660.89437485812	7939.85771057578	7815.67876708686	8000	2064.43998178501	6881.46962638096	7810.49722556759	7790.5477838362	6620.56448144056	6450.66518126289	NA	8000	7847.59987197038	8000	7570.58190657622	7945.46178854001	7664.09684698325	NA	7080.43318897797	7322.46798537847	8000	5887.59974215459	7612.24008270477	8000	8000	7760.95404395953	7299.14490927454	7437.6330585283
rep5	7712.59554313472	7366.27367961703	8000	6634.92262158193	8000	7612.65307972983	7541.03708434612	7798.19161068745	8000	8000	7014.76564138603	8000	8000	7594.9323184426	8000	7500.60858111855	7412.22939601977	7952.89486308625	7486.78284473327	8000	6515.26879053743	7641.74116693158	7914.99870317892	7933.17337671558	7102.84926484604	NA	3201.28205439662	8000	8000	6449.52422895736	8000	8000	7764.54343192756	6560.11241349065	7969.64595993496	8000	7979.98407773081	7739.64573910383	8000	7935.3545505784	7368.6691774663	7923.47631616011	8000	8000	8000	5226.92584816853	8000	7006.16568373684	8000	7088.16307355974	7565.76893708589	8000	6603.06606298906	8000	5500.28715340524	7516.58723599055	8000	7746.32258447459	8000	6395.45730081421	7368.65967233459	NA	8000	7928.16866257439	8000	8000	8000	8000	8000	8000	7930.16351186544	7516.73033442602	8000	NA	8000	4661.26871607936	8000	8000	7508.71796150376	4001.25142305317	7292.40710442946	7948.2626617312	8000	NA	8000	NA	7595.25603222998	7689.41943664447	NA	8000	8000	7737.01087662351	7226.47882543588	8000	NA	8000	7935.22230111148	8000	8000	7677.41554755536	7793.48538399417	2778.26545481501	5746.87959151947	7791.95024331248	8000	7085.43109066233	8000	7886.23912827016	7876.27221195487	8000	8000	7638.23425412426	7995.71869995332	3070.56325285619	NA	7907.37096577311	NA	7116.57585642422	8000	8000	7690.50566891109	7591.18612570534	7969.71928713021	6879.40968388817	8000	7621.8191895416	8000	7922.60235839455	7784.12265869881	7715.07735503919	7511.60992219484	7716.55080572197	7401.25032557451	8000	7442.22765667078	8000	7662.65608795602	6537.38739811071	7363.21177057771	7993.68240757949	8000	8000	NA	6703.52893286204	7530.95204519984	8000	8000	7872.95782662065	7737.4018510803	8000	8000	8000	7892.33830590159	6992.1984844036	7838.92483522097	8000	8000	7621.36884783384	NA	8000	8000	7736.10319398982	8000	8000	7207.1628706528	7470.07538719043	NA	5617.70469953122	NA	8000	8000	7366.01088426001	NA	7492.80870605933	6388.56938638296	7491.87215281305	7833.53627267466	6916.50765882147	2173.0937652176	8000	8000	7746.8069350702	8000	7164.15407147912	7071.7036737504	8000	7672.69215323773	8000	7758.08499981639	8000	7278.2461578097	NA	8000	7979.87942609882	NA	2928.87438029637	7752.04867726844	7832.62545233217	7682.98221154528	NA	7579.91239560661	8000	NA	7883.14843035661	7788.49541477804	NA	8000	6695.75083402114	7814.15879777404	8000	NA	7526.88028462454	NA	7787.1520182503	7607.05208079805	7857.5196000496	7786.31364887327	8000	7546.1663666682	8000	7607.92716733098	7629.14692593201	8000	8000	7019.88157958993	7652.60791711023	8000	7948.87054707255	8000	6879.36040415381	7661.05716884003	5214.77051249962	7925.60663517975	7862.3350991274	8000	7812.79023601895	8000	7945.11556680929	7552.19866776935	8000	7784.48643141738	8000	7781.59744998376	NA	8000	8000	7957.67516066927	7934.36493336868	7207.08530115443	8000	8000	7685.39785662021	8000	8000	NA	7950.18730660814	7470.03147818518	7679.25660886021	6497.33614799816	8000	8000	8000	4570.50635388753	8000	7888.49238230035	NA	8000	NA	7633.78141395648	8000	NA	7656.57620061894	7974.50314127446	7725.45743522712	7905.20998782534	7937.67852353696	7524.04852129498	8000	NA	8000	8000	6719.87973625634	8000	7594.59718540532	8000	7828.59881123882	8000	8000	NA	8000	7046.98390524834	8000	8000	7116.03914257302	6912.78560383549	4217.1813300623	6509.30807627222	8000	8000	8000	NA	7396.76130268455	NA	7637.49508156579	7736.66184194356	8000	7321.8246059312	7713.89308113799	7269.9137195012	8000	7442.46950370253	8000	NA	7685.69422805788	7484.99330616808	7607.91127513771	8000	8000	7708.33366874405	8000	8000	8000	8000	NA	7801.7062618193	7299.37411645915	NA	8000	8000	7765.86313502233	7361.62117137675	NA	7965.86749641025	8000	8000	8000	7651.91539689817	6788.87391861118	NA	6816.98544376334	7711.63422878915	7776.23627042163	7160.35665331538	7836.33445033244	8000	7829.56882637833	7704.10784704791	7338.61514589074	7541.59603851914	7981.44484255227	7830.27466443941	5686.96876829142	7440.75305345434	7704.89943669905	7920.9559822357	8000	7819.95919243793	7436.06031389792	8000	7839.37523533978	8000	8000	2255.57498207891	7771.54663778642	8000	8000	6964.15711445745	8000	NA	7978.50372606402	8000	6473.04049775875	8000	8000	6252.34613930817	NA	7578.35346077351	7693.31714414441	8000	7662.38397726693	8000	7927.63674834914	7556.09900543615	7757.58188816313	8000	8000
rep6	1973.55192469121	1933.55145447177	1974.10532974069	1966.33830570142	2000	1852.5558691359	1811.50878561668	1778.8816827329	2000	2000	1128.79964512812	1944.30860398573	2000	2000	1773.12083630222	2000	1860.9109955404	1842.24556538659	2000	1753.90279798056	1438.26072558941	2000	2000	1844.33389098228	1873.11459720064	2000	801.288246492033	2000	1446.30369008481	1257.56528512867	2000	2000	1840.63462935853	1639.28034481682	2000	1841.74950520965	2000	1935.82895616146	2000	2000	1440.55887007058	1425.78831612226	1550.42725531742	2000	1651.64298644027	1465.51151010687	2000	1989.48033800513	1673.33387273208	1722.44817767577	2000	1997.17483138878	1620.85786014365	1965.02312012818	1370.29286513357	1763.32635644947	2000	2000	1755.95613719446	1301.71480232872	1762.47919224907	NA	1792.47465030813	2000	2000	2000	1889.27791749449	1778.87936096779	NA	1942.83091035506	2000	1908.04643857875	1943.45998633031	NA	2000	2000	2000	2000	2000	1203.38092124012	2000	2000	1663.1802800913	NA	1983.07833410573	NA	1711.51064107731	1964.1749093501	NA	2000	2000	2000	2000	2000	NA	1852.20791564627	2000	1946.79888210564	2000	1885.80090082966	2000	615.270834564142	1465.21526852891	2000	2000	1863.66632558303	1900.80825913441	1817.22800056745	1903.41191628001	1798.70314226786	1981.22368036786	2000	1777.00456978033	535.797885799308	NA	1857.61260475536	NA	1986.5751214649	1393.31094939575	1848.18622681763	2000	2000	1925.03664203403	2000	1587.66946271876	2000	2000	2000	1971.71360740045	2000	2000	1959.7531714799	2000	1572.94398921737	1906.09767571623	1917.5849403849	2000	2000	2000	1871.96076686466	2000	NA	NA	1688.69236240675	1986.227804648	1786.63966700958	1915.14412347644	1841.3809012586	1659.93839689398	1838.64119867935	2000	2000	2000	2000	1846.61905731259	2000	1923.70309318629	1799.43189385831	NA	1861.97860475718	2000	1811.02112054144	1844.33068694845	2000	1850.78825019933	2000	NA	1525.16672392593	NA	1872.78303500014	2000	2000	NA	2000	1848.36175456248	1968.0110269155	2000	2000	2000	2000	1474.50464685754	1968.03758109616	2000	1754.72860836842	1777.86086318304	1584.69516624353	2000	1847.76217544188	1869.46032637091	1862.07052764206	1670.78383480252	NA	2000	2000	NA	1008.85658419349	1736.71123225038	2000	2000	NA	1767.8553460919	2000	NA	1940.67454130857	1994.80761884082	NA	1762.43975209532	2000	1955.52252570345	1812.31746149501	NA	2000	NA	1946.0210256879	1986.54115263989	2000	1981.50679952137	1897.19308847326	2000	1863.73324071343	1927.08216242225	1921.69594691474	2000	2000	2000	2000	2000	2000	1995.33727992401	2000	1944.23128176939	1292.40299250295	2000	2000	2000	1724.89138887497	2000	1915.66092685019	1945.77148468159	NA	1792.05585563279	2000	2000	NA	1496.86961410934	2000	2000	2000	1784.29095112804	1955.50174598856	1801.99345487602	1854.61589367006	2000	2000	NA	2000	1869.49598094288	1342.31002933617	1817.10543102118	2000	2000	1818.83555244016	1390.18385152245	2000	1965.85032415345	NA	2000	NA	2000	1940.03255024566	NA	2000	1971.59436222035	2000	2000	2000	2000	2000	NA	2000	1815.93536449658	2000	1639.73144693771	2000	2000	2000	1796.33767125555	1851.2193025891	NA	1932.94065314343	1982.85681554333	1903.61771987695	2000	1893.84664633769	1743.56527339538	1041.36535256832	1608.53812043019	NA	2000	2000	NA	2000	NA	2000	2000	1971.25491069496	2000	1950.59930859617	1786.11623361055	1992.2887050054	1732.16709378303	1796.34956468322	NA	1413.72549458324	1931.0019375641	1711.49138333316	1696.59177944044	2000	2000	2000	2000	1672.37554372126	2000	NA	1851.68917577852	1691.81633099321	NA	2000	2000	2000	1850.90148645265	NA	1356.2035547832	1963.30114428173	1926.92087662894	2000	1614.99697872148	1744.01102912367	NA	2000	1866.16347495823	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1301.8321880154	1922.88136766484	1946.71578966109	2000	2000	2000	1825.62020058546	2000	2000	2000	NA	748.706302920395	2000	2000	2000	1868.47923584242	1782.38803633328	NA	2000	2000	1500.24050853136	1889.5226977332	2000	2000	NA	1729.319942936	1932.04243753619	2000	1749.23625760203	2000	1702.07049449302	2000	1858.20434817903	2000	1526.88900171324
