state	cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.5457	2.1120	0.3496	0.1183	2.5065	0.3680	0.4620	2.6811	0.1973	3.5914E-2	2.2769	0.3468	0.2445	2.6938	0.1445	4.158E-2	2.2613	0.6143	2.9032E-2	0.1776	0.2048	0.3067	0.1981	0.2303	0.2649	0.2419	0.2488	0.2542	0.2551	0.3311	0.2413	0.1823	0.2452	0.3635	2.2535	1.0661	6.0755E-4	9.1173E-4	4.7738E-4	1.5113	4.2655E-2	9.277	21.957	457.271
2000000	0.6003	2.1295	0.3133	5.9225E-2	2.7203	0.1774	0.3811	2.6519	0.1667	2.7709E-2	2.3376	0.4350	0.4111	2.5565	8.3898E-2	9.2949E-2	2.4219	0.4337	6.8761E-3	0.1769	0.2524	0.2985	0.2026	0.2245	0.2744	0.2492	0.2443	0.2424	0.2641	0.3405	0.2449	0.1643	0.2502	0.3760	2.2494	0.9951	5.5636E-4	8.2449E-4	4.8359E-4	1.3218	6.9174E-2	3.201	20.003	442.563
3000000	0.5699	2.1219	0.2571	0.1410	2.4718	0.4384	0.3608	3.0304	0.1736	2.3899E-2	2.1208	0.2906	0.3453	2.3527	0.2032	6.7004E-2	2.4869	0.5449	4.3284E-2	0.1862	0.1592	0.3068	0.2022	0.2277	0.2634	0.2431	0.2514	0.2371	0.2684	0.3422	0.2420	0.1730	0.2429	0.3176	2.3247	1.1351	6.0214E-4	7.6182E-4	5.3845E-4	1.3712	0.1265	0.626	19.202	409.383
4000000	0.5092	2.0217	0.2339	0.1383	2.8736	0.2232	0.4175	2.8792	0.1963	3.4325E-2	2.1661	0.3065	0.3470	2.2623	0.1168	0.1011	2.7823	0.3905	8.4267E-3	0.1669	0.2863	0.2933	0.1960	0.2321	0.2786	0.2413	0.2476	0.2467	0.2644	0.3764	0.2355	0.1626	0.2254	0.3731	2.2184	1.1195	5.6108E-4	7.5917E-4	4.8684E-4	1.2774	-9.0349E-4	2.364	21.265	416.196
5000000	0.5194	2.3039	0.3915	0.1267	2.3059	0.3525	0.3330	2.7453	0.2631	1.0933E-2	2.3154	0.3322	0.1698	2.4264	0.2179	8.6068E-2	2.5985	0.5014	1.8686E-2	0.1660	0.2226	0.2937	0.2075	0.2317	0.2670	0.2392	0.2384	0.2538	0.2685	0.3172	0.2771	0.1663	0.2395	0.3590	2.1857	1.3251	5.6414E-4	7.7634E-4	4.9971E-4	1.3307	8.1063E-2	1.410	19.944	431.061
6000000	0.4961	2.4395	0.2247	0.1180	2.5018	0.2200	0.3752	2.8371	0.1734	4.7249E-2	2.1826	0.3844	0.2235	2.6251	0.1618	5.8742E-2	2.4279	0.5029	2.6524E-2	0.1780	0.1426	0.3008	0.2078	0.2219	0.2695	0.2388	0.2392	0.2449	0.2771	0.3355	0.2449	0.1827	0.2369	0.3832	2.1978	1.1212	6.0002E-4	7.8833E-4	5.2949E-4	1.1705	9.6998E-2	0.729	19.549	420.150
7000000	0.6901	2.1465	0.3581	6.7992E-2	2.5257	0.2115	0.3314	2.8444	0.1970	1.0743E-2	2.2536	0.3629	0.3531	2.3975	0.2133	0.1256	2.2784	0.6321	4.5685E-2	0.1879	0.2786	0.3026	0.2045	0.2278	0.2650	0.2398	0.2552	0.2458	0.2591	0.3130	0.2677	0.1806	0.2387	0.3638	2.1867	1.2891	5.6317E-4	8.4289E-4	4.8679E-4	1.3687	0.1521	1.356	20.093	436.401
8000000	0.6473	2.2559	0.2540	0.1143	2.5319	0.1965	0.3953	2.6991	0.1984	6.3171E-2	2.2906	0.3534	0.3359	2.4824	0.1433	6.4745E-2	2.5091	0.4647	4.4064E-2	0.1665	0.1810	0.2996	0.2035	0.2341	0.2627	0.2452	0.2553	0.2404	0.2591	0.3303	0.2735	0.1673	0.2289	0.3563	2.2479	1.1333	5.9442E-4	7.7535E-4	4.7909E-4	1.2426	8.2944E-2	0.821	28.457	455.753
9000000	0.5772	2.3299	0.3173	0.1653	2.4374	0.1730	0.4016	2.6049	0.2497	2.7868E-2	2.3729	0.3431	0.3271	2.2091	0.2425	6.7982E-2	2.5554	0.5979	2.0834E-2	0.1820	0.2022	0.3012	0.2020	0.2254	0.2714	0.2277	0.2446	0.2524	0.2753	0.3396	0.2454	0.1899	0.2251	0.3913	2.1927	1.0832	5.3951E-4	7.1999E-4	4.7161E-4	1.3917	-4.0608E-3	6.741	19.728	439.927
10000000	0.6192	2.1440	0.3590	0.1346	2.4975	0.2457	0.4267	2.8713	0.1645	3.4684E-2	2.1788	0.3240	0.2202	2.5595	0.1203	3.3283E-2	2.3177	0.7489	1.6259E-2	0.1814	0.2641	0.3035	0.1986	0.2274	0.2705	0.2328	0.2512	0.2592	0.2568	0.3317	0.2763	0.1686	0.2235	0.3730	2.2037	1.1699	5.2477E-4	6.0505E-4	4.9475E-4	1.3656	6.1552E-2	1.652	19.162	424.748
