state	cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
62000000	0.4742	2.3202	0.3108	0.1026	2.5751	0.2171	0.3205	2.6521	0.1982	2.6352E-2	2.3141	0.4888	0.2649	2.5956	0.1647	0.1283	2.3115	0.5350	5.751E-2	0.1821	0.2654	0.3082	0.2018	0.2227	0.2673	0.2405	0.2454	0.2469	0.2672	0.3310	0.2699	0.1739	0.2253	0.3932	2.2100	1.0119	6.0313E-4	8.7447E-4	4.5466E-4	1.4422	0.1029	3.785	37.565	464.779
63000000	0.7082	2.0686	0.2772	7.0618E-2	2.5860	0.2893	0.4778	2.7868	0.2077	1.4757E-2	2.1966	0.3164	0.1746	2.6696	0.1100	6.1224E-2	2.1874	0.7971	5.2477E-3	0.1974	0.1992	0.2971	0.2061	0.2257	0.2711	0.2417	0.2365	0.2510	0.2708	0.3312	0.2697	0.1684	0.2307	0.3731	2.1952	1.1976	5.7297E-4	7.9287E-4	4.9485E-4	1.5182	6.2521E-2	6.246	21.220	415.425
64000000	0.5561	2.3681	0.2489	0.1515	2.4069	0.2686	0.3863	2.6025	0.1718	3.9737E-2	2.3615	0.4382	0.3235	2.2835	0.1856	5.5651E-2	2.6733	0.4785	3.9351E-2	0.1852	0.2945	0.2999	0.2120	0.2233	0.2647	0.2404	0.2605	0.2388	0.2603	0.3358	0.2388	0.1904	0.2351	0.3486	2.2447	1.1963	5.7991E-4	6.7133E-4	5.0694E-4	1.2705	0.1217	2.896	19.110	426.546
65000000	0.6593	2.2326	0.3509	4.7327E-2	2.4653	0.2446	0.4083	2.7212	0.1943	3.0285E-2	2.2850	0.3610	0.3779	2.6667	0.1073	5.578E-2	2.2648	0.5274	1.4034E-2	0.1755	0.2854	0.3049	0.2059	0.2266	0.2626	0.2388	0.2575	0.2419	0.2618	0.3311	0.2462	0.1792	0.2435	0.3771	2.2099	1.1207	5.5135E-4	7.5556E-4	4.7854E-4	1.3653	9.6493E-2	2.727	21.525	439.686
66000000	0.5020	2.0022	0.3089	0.2241	2.7525	0.2104	0.3116	2.9880	0.1812	1.824E-2	2.1813	0.3197	0.2650	1.9342	0.1252	0.1406	2.9732	0.5618	5.6328E-2	0.1940	0.2100	0.2935	0.2066	0.2366	0.2634	0.2461	0.2530	0.2392	0.2617	0.3599	0.2283	0.1816	0.2302	0.3723	2.1806	1.2525	6.3704E-4	7.7358E-4	5.2538E-4	1.4426	8.0404E-2	4.951	19.492	413.071
67000000	0.5712	2.1874	0.3648	7.637E-2	2.6160	0.1841	0.3492	3.0403	0.2007	2.505E-2	2.0082	0.3765	0.2150	2.6325	0.2413	6.6886E-2	2.4707	0.3736	1.5506E-2	0.1617	0.3024	0.3058	0.2000	0.2280	0.2662	0.2316	0.2611	0.2439	0.2635	0.3303	0.2681	0.1733	0.2283	0.3794	2.2114	1.1007	4.9817E-4	6.8857E-4	4.8986E-4	1.2921	0.1478	1.597	20.866	427.750
68000000	0.4717	2.1233	0.2783	0.1231	2.7646	0.2390	0.3823	2.6430	0.2707	2.4385E-2	2.2484	0.4313	0.4020	2.3052	0.1259	8.2718E-2	2.6795	0.4047	1.6289E-2	0.1920	0.1796	0.2952	0.2086	0.2306	0.2656	0.2414	0.2482	0.2443	0.2660	0.3383	0.2442	0.1868	0.2307	0.3851	2.1818	1.1622	5.788E-4	7.9624E-4	5.1291E-4	1.3463	5.6782E-3	2.478	20.252	433.861
69000000	0.4808	2.3833	0.3614	8.2151E-2	2.4574	0.2350	0.4396	2.8717	0.1544	5.205E-2	2.0864	0.3959	0.1487	2.8363	0.2343	5.7041E-2	2.1730	0.5508	2.7574E-2	0.1705	0.1999	0.2983	0.2046	0.2286	0.2685	0.2458	0.2486	0.2406	0.2651	0.3444	0.2690	0.1607	0.2260	0.3724	2.2504	1.0159	5.778E-4	8.6903E-4	5.1094E-4	1.3612	5.1035E-2	10.627	20.313	434.074
70000000	0.5213	2.2084	0.3277	7.0544E-2	2.6127	0.2593	0.4127	2.9280	0.1694	1.9466E-2	2.0461	0.4244	0.2999	2.1611	0.1192	0.1385	2.7920	0.4893	5.0714E-3	0.1735	0.1307	0.2954	0.2125	0.2246	0.2675	0.2444	0.2466	0.2325	0.2766	0.3355	0.2460	0.1660	0.2525	0.3992	2.1870	1.0491	5.2842E-4	6.9596E-4	4.6891E-4	1.2141	0.1003	10.973	19.882	434.557
71000000	0.6049	2.1788	0.2517	6.2048E-2	2.5899	0.3127	0.3811	2.5971	0.1779	1.7446E-2	2.4272	0.3992	0.2064	2.3362	0.2832	0.1761	2.4480	0.5500	4.0552E-2	0.1720	0.3389	0.3080	0.2033	0.2234	0.2653	0.2369	0.2439	0.2466	0.2726	0.3368	0.2569	0.1756	0.2306	0.3665	2.2186	1.1631	5.7754E-4	7.908E-4	5.0767E-4	1.3388	0.1051	5.907	20.170	420.058
