state	cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.5346	2.3152	0.2438	8.7172E-2	2.4302	0.3891	0.2707	2.8798	0.1967	3.6156E-2	2.2046	0.4120	0.2122	2.1132	0.1523	8.9499E-2	2.7582	0.6745	1.4188E-2	0.2059	0.1979	0.3088	0.2112	0.2178	0.2622	0.2522	0.2532	0.2365	0.2580	0.3433	0.2414	0.1913	0.2240	0.3655	2.2286	1.1361	5.547E-4	7.5484E-4	4.7967E-4	1.4174	0.2683	2.124	20.037	448.513
2000000	0.5408	2.1141	0.2708	0.2319	2.5953	0.2472	0.3922	2.8504	0.2347	2.4273E-2	2.1045	0.3939	0.2242	2.3396	0.1734	7.4181E-2	2.3043	0.8843	8.9772E-3	0.1504	0.1872	0.2929	0.2138	0.2283	0.2651	0.2396	0.2515	0.2433	0.2656	0.3488	0.2661	0.1728	0.2123	0.3764	2.2116	1.1199	5.5919E-4	7.7741E-4	4.8729E-4	1.5866	0.1884	3.522	19.762	436.096
3000000	0.6837	2.2162	0.2801	0.1274	2.5051	0.1876	0.3880	2.8191	0.2033	3.2825E-2	2.1887	0.3682	0.2601	2.5104	0.1517	0.1800	2.5156	0.3822	5.083E-2	0.1709	0.2250	0.3089	0.2004	0.2202	0.2705	0.2285	0.2589	0.2463	0.2663	0.3391	0.2410	0.1801	0.2399	0.3762	2.1947	1.1785	6.0881E-4	7.7104E-4	5.73E-4	1.4832	0.1316	6.369	19.958	409.340
4000000	0.5055	2.3599	0.3040	0.1604	2.5237	0.1465	0.4164	2.9106	0.2027	3.5847E-2	2.1411	0.2933	0.3148	2.0803	0.2733	4.3997E-2	2.7661	0.5215	3.0767E-2	0.1628	0.1525	0.2959	0.2041	0.2337	0.2663	0.2339	0.2504	0.2418	0.2739	0.3507	0.2505	0.1744	0.2245	0.3750	2.2311	1.0634	5.465E-4	7.4603E-4	4.6603E-4	1.5450	0.1024	2.916	20.629	458.328
5000000	0.4396	2.2639	0.2919	7.5251E-2	2.7097	0.2196	0.3735	2.7208	0.1610	1.7012E-2	2.3241	0.4036	0.2199	1.9689	0.2480	9.4425E-2	2.7602	0.7086	3.9149E-2	0.1625	0.1727	0.3055	0.2081	0.2281	0.2584	0.2384	0.2372	0.2555	0.2688	0.3624	0.2360	0.1962	0.2054	0.3703	2.2292	1.1017	5.7162E-4	7.5598E-4	5.1516E-4	1.4821	0.1368	2.217	19.089	431.514
6000000	0.4571	2.2327	0.4172	0.1728	2.5307	0.1895	0.3801	2.7746	0.1907	4.2379E-2	2.2968	0.3154	0.1621	2.4203	0.1700	4.6425E-2	2.7880	0.4131	5.0725E-2	0.1642	0.3226	0.3013	0.2048	0.2252	0.2687	0.2324	0.2473	0.2591	0.2612	0.3415	0.2617	0.1603	0.2365	0.3734	2.2006	1.1773	6.166E-4	8.9054E-4	5.2589E-4	1.5794	0.1081	2.258	19.601	407.371
7000000	0.6377	2.2000	0.2326	0.1150	2.5421	0.2727	0.3395	2.6331	0.2122	3.9233E-2	2.4294	0.3466	0.3516	2.4284	0.2193	5.0432E-2	2.3903	0.5600	7.0714E-2	0.2003	0.1349	0.3015	0.2045	0.2259	0.2682	0.2371	0.2523	0.2462	0.2644	0.3376	0.2409	0.1643	0.2571	0.3613	2.2522	1.0852	6.2855E-4	8.8695E-4	5.0873E-4	1.4383	0.1552	1.233	19.219	418.383
8000000	0.5473	2.1156	0.2084	0.1036	2.7948	0.2303	0.4197	2.5774	0.2039	3.697E-2	2.3447	0.4173	0.2995	2.4755	0.1400	1.1568E-2	2.6588	0.4146	5.7587E-2	0.1714	0.2676	0.2924	0.2096	0.2302	0.2677	0.2517	0.2404	0.2482	0.2597	0.3301	0.2354	0.1939	0.2405	0.3238	2.3452	1.0243	5.9543E-4	7.9791E-4	5.1085E-4	1.3718	8.9906E-2	6.721	19.690	436.919
9000000	0.6595	2.3920	0.3069	0.1664	2.2477	0.2275	0.4216	2.6980	0.1906	2.08E-2	2.3062	0.3629	0.4369	2.1902	0.2039	7.5919E-2	2.6744	0.4187	2.6847E-2	0.1877	0.2365	0.3075	0.1998	0.2255	0.2672	0.2424	0.2481	0.2527	0.2568	0.3213	0.2580	0.2003	0.2205	0.3814	2.1745	1.2117	6.1494E-4	9.1283E-4	4.934E-4	1.4559	0.2147	3.186	20.977	436.057
10000000	0.4360	2.0468	0.3656	0.1806	2.7194	0.2517	0.3748	2.8091	0.1729	5.6675E-2	2.2476	0.3389	0.3826	2.3092	0.2002	5.0869E-2	2.7804	0.2767	5.6787E-2	0.1509	0.2521	0.2962	0.2112	0.2300	0.2626	0.2372	0.2400	0.2522	0.2707	0.3104	0.2439	0.1781	0.2675	0.3628	2.1592	1.3885	5.1563E-4	6.2097E-4	4.7675E-4	1.3386	7.3705E-2	2.046	21.669	445.676
