state	cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.5646	2.2316	0.3235	0.1160	2.4605	0.3038	0.3842	2.8476	0.2053	2.4231E-2	2.2078	0.3309	0.3088	2.3807	0.2322	0.1665	2.3558	0.5560	9.7566E-3	0.1781	0.2086	0.2966	0.2059	0.2278	0.2697	0.2338	0.2574	0.2451	0.2637	0.3622	0.2334	0.1715	0.2330	0.3714	2.1586	1.3328	5.7059E-4	7.3614E-4	4.9606E-4	1.4697	0.1479	20.869	21.137	425.505
2000000	0.5101	2.0904	0.2807	0.1253	2.7045	0.2890	0.3665	2.9359	0.1605	3.8523E-2	2.1322	0.3664	0.6742	1.8290	0.2274	1.1791E-2	2.6674	0.5902	3.8708E-2	0.1552	0.3035	0.3047	0.2098	0.2249	0.2605	0.2408	0.2520	0.2444	0.2627	0.3588	0.2368	0.1812	0.2232	0.3802	2.1659	1.2492	5.2893E-4	6.3689E-4	4.8592E-4	1.3272	3.3367E-2	6.064	20.162	436.642
3000000	0.5949	2.3735	0.3557	0.2250	2.1984	0.2525	0.4447	2.6203	0.1908	4.484E-2	2.3838	0.3155	0.2972	2.2619	0.1955	0.1056	2.6418	0.4981	6.9369E-2	0.1706	0.2064	0.2994	0.2016	0.2295	0.2695	0.2474	0.2461	0.2329	0.2736	0.3374	0.2499	0.1874	0.2253	0.3576	2.2663	1.0622	4.934E-4	5.1561E-4	4.5143E-4	1.1727	7.9491E-2	17.471	24.724	446.562
4000000	0.5754	2.1117	0.4164	0.1342	2.4849	0.2775	0.3974	2.8417	0.1765	5.156E-2	2.1965	0.3364	0.2368	2.2711	9.8853E-2	9.2387E-2	2.8011	0.4997	5.286E-2	0.1987	0.1824	0.2976	0.2002	0.2339	0.2683	0.2486	0.2478	0.2370	0.2666	0.3398	0.2527	0.1766	0.2309	0.3456	2.2559	1.1788	5.1914E-4	5.4506E-4	5.1383E-4	1.1595	5.5301E-2	0.815	20.299	444.209
5000000	0.3800	2.0781	0.2651	0.1657	2.8447	0.2663	0.3263	2.9236	0.1565	3.2428E-2	2.1784	0.3827	0.2663	2.5059	0.1627	3.9353E-2	2.6022	0.4236	1.9685E-2	0.1753	0.1842	0.2996	0.2060	0.2262	0.2682	0.2402	0.2427	0.2433	0.2738	0.3104	0.2301	0.1846	0.2749	0.3573	2.2116	1.2490	5.5182E-4	6.6336E-4	5.0124E-4	1.3407	3.0972E-2	89.209	30.484	445.836
6000000	0.5724	2.3846	0.3327	0.1647	2.3027	0.2429	0.4361	2.7378	0.2543	2.6966E-2	2.2018	0.3431	0.3342	2.1735	0.1378	0.1197	2.6851	0.5497	6.6594E-2	0.1764	0.2014	0.3069	0.2081	0.2223	0.2627	0.2400	0.2447	0.2530	0.2624	0.3432	0.2469	0.1747	0.2352	0.3294	2.2437	1.3289	4.9797E-4	5.2343E-4	4.8308E-4	1.1455	2.6022E-2	1.129	19.689	444.743
7000000	0.6433	2.3449	0.2875	0.1659	2.3785	0.1799	0.4106	2.8334	0.1871	3.0553E-2	2.1219	0.4164	0.2652	2.0006	0.2317	6.9596E-2	2.8881	0.5448	1.8509E-2	0.1630	0.1837	0.2999	0.2026	0.2357	0.2618	0.2347	0.2520	0.2510	0.2622	0.3503	0.2411	0.1829	0.2258	0.3347	2.2837	1.1585	5.8559E-4	7.594E-4	5.2498E-4	1.1560	5.031E-2	0.911	19.370	411.945
8000000	0.4378	2.5518	0.3077	0.1536	2.3900	0.1591	0.4020	2.8179	0.1327	1.7665E-2	2.2669	0.3629	0.2105	2.5577	0.2277	3.6326E-2	2.4087	0.5591	2.8169E-2	0.1654	0.1771	0.3014	0.2051	0.2319	0.2615	0.2475	0.2474	0.2435	0.2616	0.3319	0.2520	0.1864	0.2298	0.3690	2.2172	1.1512	5.6817E-4	6.9567E-4	4.906E-4	1.2105	8.3286E-2	1.397	21.256	432.110
9000000	0.4747	2.3277	0.2487	0.1253	2.5115	0.3121	0.4412	2.6544	0.1931	3.7345E-2	2.2886	0.3854	0.3070	2.5632	0.1849	5.8564E-2	2.4008	0.4856	3.7896E-2	0.1774	0.3091	0.3039	0.2017	0.2237	0.2707	0.2406	0.2447	0.2498	0.2649	0.3401	0.2459	0.1993	0.2147	0.3873	2.1614	1.2160	5.0525E-4	5.5868E-4	4.9305E-4	1.0918	7.1007E-2	12.710	20.800	440.320
10000000	0.5761	2.0872	0.3614	0.1553	2.5717	0.2482	0.4378	2.5995	0.2398	1.7461E-2	2.3005	0.4050	0.3537	2.6209	0.1391	0.1301	2.3423	0.4140	3.2674E-2	0.1697	0.2194	0.2926	0.2059	0.2246	0.2769	0.2444	0.2441	0.2457	0.2658	0.3373	0.2448	0.1753	0.2427	0.3657	2.1764	1.3116	5.6351E-4	6.6043E-4	5.2027E-4	1.3127	0.2073	4.657	19.420	415.414
11000000	0.6772	2.1427	0.3511	0.1142	2.4875	0.2273	0.3648	2.6015	0.2151	3.8958E-2	2.4227	0.3569	0.3339	2.4430	0.1490	0.1721	2.4162	0.4858	1.2833E-2	0.1696	0.1767	0.3008	0.2051	0.2316	0.2625	0.2303	0.2633	0.2447	0.2616	0.3295	0.2444	0.1971	0.2291	0.3855	2.1898	1.1325	5.204E-4	6.2092E-4	4.8594E-4	1.3142	8.3782E-2	36.928	26.233	423.381
12000000	0.7916	1.9091	0.2683	5.0502E-2	2.7936	0.1869	0.3836	2.7511	0.2321	4.0273E-2	2.3120	0.2809	0.2958	2.3772	0.1347	0.1750	2.5929	0.4243	1.4025E-2	0.1888	0.1943	0.3030	0.1971	0.2273	0.2727	0.2340	0.2398	0.2472	0.2790	0.3470	0.2395	0.1894	0.2242	0.3589	2.2017	1.2715	5.0805E-4	6.0485E-4	5.0477E-4	1.3037	2.6925E-2	6.786	20.015	427.427
13000000	0.4771	2.3250	0.3029	0.1190	2.5277	0.2483	0.3955	2.7113	0.1755	1.5287E-2	2.2992	0.4032	0.3283	1.8261	0.1967	0.1129	2.9592	0.5768	3.8995E-2	0.1755	0.2576	0.2996	0.2032	0.2285	0.2686	0.2433	0.2521	0.2409	0.2638	0.3635	0.2249	0.1944	0.2171	0.3300	2.2479	1.3111	5.1153E-4	5.6551E-4	4.9921E-4	1.2314	6.048E-2	2.583	21.074	442.230
14000000	0.6320	2.1081	0.2720	0.1904	2.5783	0.2192	0.3294	2.6742	0.2345	2.6806E-2	2.4288	0.3063	0.2859	2.0184	0.2540	0.1194	2.7971	0.5252	3.6619E-2	0.1890	0.1709	0.3022	0.2009	0.2338	0.2632	0.2436	0.2359	0.2549	0.2657	0.3567	0.2318	0.1798	0.2317	0.3714	2.2268	1.1025	5.7737E-4	8.6872E-4	5.2234E-4	1.5359	-4.2309E-4	6.696	21.228	406.160
15000000	0.6388	2.1382	0.2981	0.1764	2.3535	0.3948	0.3105	2.9165	0.2071	1.6731E-2	2.2067	0.3425	0.3842	2.3483	9.329E-2	8.0048E-2	2.7510	0.3431	1.5248E-2	0.1866	0.2182	0.3011	0.2117	0.2277	0.2595	0.2320	0.2535	0.2402	0.2743	0.3429	0.2491	0.1737	0.2343	0.3754	2.1601	1.3008	6.1091E-4	8.089E-4	5.0152E-4	1.2375	2.9016E-2	4.188	19.255	438.684
16000000	0.4557	2.3523	0.3156	0.1090	2.5512	0.2163	0.3997	2.6814	0.2300	1.3509E-2	2.2156	0.4598	0.1851	1.9405	0.1456	8.2172E-2	3.1520	0.4946	5.7856E-2	0.1687	0.2304	0.3076	0.2098	0.2237	0.2588	0.2412	0.2429	0.2534	0.2625	0.3454	0.2475	0.1663	0.2409	0.3730	2.1862	1.2287	6.1452E-4	7.1473E-4	5.1354E-4	1.1284	4.452E-2	2.808	19.194	417.810
17000000	0.5670	2.0631	0.3177	0.1138	2.6613	0.2771	0.3761	2.9567	0.1669	1.8559E-2	2.1407	0.3410	0.4292	2.0365	0.2154	0.1362	2.6019	0.5809	6.9914E-2	0.1633	0.2487	0.2943	0.2048	0.2352	0.2656	0.2283	0.2459	0.2492	0.2767	0.3492	0.2432	0.1854	0.2221	0.3605	2.2532	1.0869	6.7435E-4	9.7009E-4	5.1272E-4	1.3769	8.4426E-3	1.307	19.557	418.876
18000000	0.4372	2.4034	0.3198	7.0024E-2	2.5075	0.2621	0.3127	2.6230	0.1950	2.4329E-2	2.4360	0.4090	0.3226	2.3059	0.2195	0.1003	2.4897	0.5620	2.6254E-2	0.1867	0.2927	0.2895	0.2061	0.2349	0.2694	0.2439	0.2394	0.2453	0.2713	0.3451	0.2476	0.1768	0.2306	0.3553	2.2105	1.2666	5.9979E-4	8.0535E-4	5.0569E-4	1.4029	9.5871E-3	1.652	19.682	423.150
19000000	0.5397	2.0974	0.3077	0.1623	2.6580	0.2349	0.4010	2.8003	0.2602	2.3281E-2	2.1731	0.3422	0.2417	2.6760	0.1583	5.7885E-2	2.3815	0.4846	4.5513E-2	0.1785	0.2560	0.2968	0.2113	0.2240	0.2679	0.2438	0.2406	0.2407	0.2748	0.3467	0.2616	0.1672	0.2244	0.3466	2.2953	1.0387	6.9789E-4	1.073E-3	5.6091E-4	1.4054	9.4648E-2	3.956	19.734	396.453
20000000	0.7166	2.3611	0.3094	9.8475E-2	2.3022	0.2123	0.3516	2.8869	0.2351	2.7813E-2	2.1498	0.3489	0.3585	2.4895	0.1532	8.5783E-2	2.3699	0.5431	4.1008E-2	0.1819	0.2115	0.3057	0.1987	0.2235	0.2722	0.2342	0.2454	0.2526	0.2678	0.3404	0.2321	0.1696	0.2579	0.3471	2.2473	1.1973	5.2234E-4	6.6214E-4	5.0056E-4	1.2444	7.9266E-2	0.855	19.119	421.403
21000000	0.6078	2.2647	0.2701	9.2908E-2	2.5502	0.2143	0.2854	2.8641	0.1661	1.5968E-2	2.2928	0.3757	0.3860	2.5502	0.2019	5.795E-2	2.4179	0.3860	5.728E-2	0.1909	0.2453	0.2975	0.2047	0.2270	0.2708	0.2467	0.2570	0.2429	0.2534	0.3560	0.2449	0.1719	0.2271	0.3258	2.3388	1.0326	5.8093E-4	6.5786E-4	5.3522E-4	1.1182	0.1273	0.638	21.149	423.088
22000000	0.4261	1.9800	0.2061	0.1075	3.0191	0.2613	0.4119	2.6164	0.2099	3.5327E-2	2.3761	0.3504	0.2221	2.5377	0.2263	2.132E-2	2.1346	0.8580	4.1606E-2	0.1859	0.2657	0.2981	0.2004	0.2317	0.2698	0.2370	0.2473	0.2412	0.2744	0.3280	0.2479	0.1854	0.2386	0.3578	2.2199	1.2182	5.4494E-4	7.1327E-4	4.8579E-4	1.3116	0.1750	5.174	20.277	422.910
