state	cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.4078	2.4497	0.2821	6.8318E-2	2.4870	0.3050	0.3646	2.8413	0.2113	2.8735E-2	2.1550	0.3991	0.3244	2.0182	0.1695	4.4481E-2	3.0187	0.4247	1.8169E-2	0.1692	0.2393	0.3093	0.2140	0.2202	0.2565	0.2387	0.2504	0.2470	0.2639	0.3439	0.2251	0.1852	0.2459	0.3658	2.1701	1.3315	5.6042E-4	7.0718E-4	4.8762E-4	1.2764	0.1389	4.792	19.656	425.913
2000000	0.4388	2.1452	0.4202	0.1393	2.6264	0.2300	0.3960	2.8370	0.2400	3.9631E-2	2.1509	0.3364	0.3261	2.4439	6.8176E-2	9.5474E-2	2.5398	0.5267	1.3913E-2	0.1532	0.2543	0.3007	0.2155	0.2218	0.2619	0.2323	0.2540	0.2451	0.2685	0.3386	0.2444	0.1652	0.2518	0.3930	2.1370	1.2601	5.411E-4	6.7775E-4	5.1085E-4	1.2340	8.5038E-3	3.554	19.454	414.961
3000000	0.5179	2.1917	0.3040	0.1273	2.6139	0.2452	0.3189	2.8055	0.1952	4.8971E-2	2.2884	0.3429	0.2927	2.4499	0.2239	6.2935E-2	2.3688	0.6018	5.1573E-2	0.1985	0.1910	0.2947	0.2032	0.2243	0.2779	0.2417	0.2435	0.2504	0.2644	0.3507	0.2425	0.1723	0.2344	0.3857	2.2290	0.9990	5.3955E-4	6.8028E-4	4.9067E-4	1.3688	4.7905E-2	2.993	22.296	421.792
4000000	0.6437	2.2345	0.3256	0.1881	2.4070	0.2011	0.3845	2.8249	0.1662	3.5104E-2	2.2089	0.3804	0.3900	2.2956	0.1069	5.255E-2	2.8746	0.2804	5.3364E-2	0.1797	0.2399	0.2936	0.2123	0.2249	0.2691	0.2403	0.2471	0.2435	0.2691	0.3217	0.2686	0.1902	0.2194	0.3524	2.2270	1.2301	5.5418E-4	6.1413E-4	4.9419E-4	1.2389	0.1550	3.457	19.333	419.896
5000000	0.4731	2.0241	0.4642	9.8074E-2	2.6719	0.2685	0.3724	2.6306	0.2374	3.6944E-2	2.3478	0.3748	0.2417	2.2070	0.1817	9.5476E-3	2.9528	0.4073	2.2053E-2	0.1718	0.2124	0.2936	0.2122	0.2246	0.2695	0.2421	0.2466	0.2532	0.2582	0.3313	0.2451	0.1723	0.2513	0.3573	2.2349	1.1705	4.8587E-4	5.8042E-4	4.7988E-4	1.3537	0.1440	1.327	20.692	454.619
6000000	0.5929	2.2388	0.2674	8.6326E-2	2.5425	0.2721	0.3694	2.8623	0.2152	2.0316E-2	2.1089	0.4239	0.2781	2.0308	0.1766	0.1393	2.8549	0.5202	7.7494E-3	0.1910	0.2212	0.3098	0.2034	0.2163	0.2705	0.2385	0.2549	0.2382	0.2683	0.3535	0.2438	0.1863	0.2165	0.3574	2.2624	1.0774	5.5405E-4	6.6511E-4	5.0812E-4	1.3332	0.1008	3.064	19.438	436.822
7000000	0.5213	2.3869	0.1996	8.7906E-2	2.5583	0.2460	0.4583	2.8975	0.1948	3.3133E-2	2.0635	0.3528	0.4177	2.0958	0.1983	2.683E-2	2.8116	0.4498	3.353E-2	0.1826	0.2275	0.3042	0.2054	0.2322	0.2582	0.2406	0.2459	0.2409	0.2726	0.3382	0.2139	0.2060	0.2419	0.3527	2.2187	1.2562	5.5639E-4	7.174E-4	5.2232E-4	1.4088	0.1033	5.621	21.399	420.095
8000000	0.6789	2.1052	0.3409	0.1623	2.3924	0.3202	0.4382	2.8524	0.1664	4.6847E-2	2.1029	0.3931	0.1049	2.5074	0.2100	3.6179E-2	2.5995	0.5420	6.1748E-2	0.1812	0.2454	0.3024	0.2013	0.2220	0.2742	0.2423	0.2469	0.2368	0.2739	0.3461	0.2520	0.1744	0.2276	0.3526	2.2030	1.3101	5.3211E-4	6.5809E-4	4.9359E-4	1.4683	0.1178	12.773	22.611	426.840
9000000	0.4637	2.4729	0.3194	0.1091	2.3621	0.2728	0.3894	2.9372	0.2069	1.9146E-2	2.1365	0.3109	0.3135	2.3264	0.1431	2.1041E-2	2.5662	0.6298	2.0798E-2	0.1848	0.2128	0.3061	0.2089	0.2248	0.2602	0.2170	0.2576	0.2527	0.2728	0.3217	0.2558	0.1698	0.2527	0.3683	2.2256	1.1273	5.2943E-4	6.5147E-4	4.4563E-4	1.2200	0.2094	0.732	37.148	484.891
10000000	0.5584	2.1648	0.3189	0.1044	2.5992	0.2543	0.3770	2.4939	0.1953	3.4578E-2	2.5310	0.3682	0.2913	2.2716	0.1956	3.139E-2	2.7479	0.4622	2.7468E-2	0.2065	0.1626	0.3028	0.2083	0.2304	0.2586	0.2443	0.2404	0.2561	0.2592	0.3344	0.2335	0.1764	0.2557	0.3440	2.2220	1.3036	6.0209E-4	7.8313E-4	5.3578E-4	1.3068	0.1028	2.648	20.561	398.846
