state	cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.5477	2.2823	0.2859	0.1345	2.5522	0.1974	0.4037	2.6656	0.1446	5.9501E-2	2.3229	0.4037	0.2786	2.5420	8.2139E-2	2.5297E-2	2.5349	0.5371	8.5893E-3	0.1559	0.2589	0.2963	0.2023	0.2273	0.2741	0.2456	0.2379	0.2500	0.2665	0.3620	0.2541	0.1617	0.2221	0.3605	2.2250	1.1825	5.2408E-4	5.8957E-4	4.8041E-4	1.2609	4.2271E-2	1.845	19.996	444.532
2000000	0.5207	2.1090	0.3657	8.6428E-2	2.7220	0.1963	0.3323	2.7603	0.2533	1.6099E-2	2.2968	0.3412	0.2156	2.4597	0.1548	9.1914E-2	2.5349	0.5431	3.6141E-2	0.1824	0.2214	0.2903	0.2105	0.2388	0.2604	0.2360	0.2565	0.2477	0.2598	0.3488	0.2688	0.1493	0.2331	0.3655	2.2291	1.1347	5.2171E-4	6.3118E-4	4.7274E-4	1.2711	-6.7879E-3	32.844	25.537	446.245
3000000	0.5098	2.4150	0.3849	0.1102	2.4086	0.1714	0.4469	2.8212	0.2332	2.6439E-2	2.2293	0.2430	0.3140	2.2040	7.1662E-2	0.1209	2.8373	0.4521	5.5556E-2	0.1791	0.3588	0.3051	0.1999	0.2274	0.2677	0.2388	0.2396	0.2547	0.2670	0.3591	0.2473	0.1887	0.2048	0.3300	2.2704	1.2348	5.589E-4	5.8696E-4	5.088E-4	1.1016	1.265E-2	4.696	21.054	458.272
4000000	0.5178	2.5327	0.2639	0.1744	2.3308	0.1804	0.3356	2.6622	0.1991	1.9126E-2	2.4180	0.3659	0.3186	2.4968	0.1359	8.8659E-2	2.6189	0.3412	7.2284E-2	0.1694	0.1814	0.2980	0.2064	0.2293	0.2663	0.2351	0.2521	0.2468	0.2661	0.3272	0.2435	0.2021	0.2272	0.3548	2.2171	1.2472	5.2674E-4	6.5037E-4	4.7455E-4	1.1379	0.1744	1.453	20.525	438.919
5000000	0.5370	2.2848	0.2527	0.1974	2.5354	0.1925	0.3371	2.7538	0.1922	3.6928E-2	2.3137	0.3663	0.3656	2.4151	0.1585	0.1671	2.6252	0.2684	9.5923E-3	0.1779	0.1127	0.3052	0.1988	0.2233	0.2727	0.2451	0.2461	0.2506	0.2582	0.3388	0.2361	0.1704	0.2547	0.3562	2.2056	1.2769	5.1511E-4	6.2928E-4	5.1015E-4	1.2589	0.1831	4.940	19.643	436.226
6000000	0.6419	2.0392	0.2638	0.1161	2.6710	0.2681	0.3701	2.6866	0.1849	1.7604E-2	2.3972	0.3436	0.4747	2.5067	0.2443	0.1089	2.3119	0.3535	4.1822E-2	0.1832	0.2814	0.3040	0.2108	0.2277	0.2575	0.2374	0.2560	0.2494	0.2572	0.3369	0.2659	0.1676	0.2297	0.3618	2.2362	1.1359	5.8376E-4	7.5452E-4	5.2825E-4	1.1726	-1.8369E-3	1.736	19.959	419.311
7000000	0.5974	2.1489	0.3043	0.1660	2.5662	0.2172	0.4150	2.7675	0.1524	8.8373E-3	2.3673	0.2889	0.2826	2.5846	0.1844	0.1088	2.3943	0.4452	3.9007E-2	0.1863	0.1420	0.3016	0.1966	0.2313	0.2706	0.2487	0.2407	0.2429	0.2677	0.3614	0.2480	0.1712	0.2194	0.3636	2.2340	1.1308	5.7122E-4	8.0913E-4	4.3578E-4	1.4512	1.1351E-3	16.147	40.042	482.712
8000000	0.5959	2.1593	0.2854	8.8162E-2	2.6811	0.1902	0.3268	2.8267	0.1895	4.5828E-2	2.2735	0.3377	0.4677	2.8290	0.1526	0.1182	1.7573	0.6754	3.0215E-3	0.1685	0.2250	0.2913	0.2075	0.2418	0.2595	0.2442	0.2443	0.2520	0.2596	0.3041	0.2767	0.1638	0.2554	0.3498	2.2457	1.1849	5.0196E-4	6.4616E-4	4.2899E-4	1.3594	8.2708E-2	9.618	40.026	502.503
9000000	0.6481	2.3270	0.2375	9.1265E-2	2.4551	0.2411	0.3759	2.9371	0.1550	2.0186E-2	2.0654	0.4464	0.3334	1.9700	0.1436	0.2209	2.8511	0.4810	4.4386E-2	0.1753	0.1634	0.2999	0.2054	0.2272	0.2675	0.2394	0.2495	0.2354	0.2756	0.3648	0.2192	0.1970	0.2190	0.3739	2.2242	1.0949	4.5971E-4	4.5671E-4	4.5737E-4	1.1002	3.4594E-2	13.617	28.170	489.085
10000000	0.6044	2.1200	0.4513	0.1192	2.4929	0.2123	0.3548	2.7719	0.1967	3.5167E-2	2.2451	0.3963	0.3849	2.1292	9.7582E-2	0.1170	2.6408	0.6304	2.1316E-2	0.1691	0.1523	0.2991	0.1991	0.2293	0.2725	0.2523	0.2391	0.2391	0.2695	0.3522	0.2421	0.1762	0.2295	0.3703	2.2231	1.1228	4.4141E-4	4.7092E-4	4.6432E-4	1.1673	5.1019E-2	29.338	22.043	466.441
