state	cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.4901	2.0791	0.3765	0.1396	2.7297	0.1850	0.4511	2.7568	0.2013	3.3957E-2	2.2336	0.3232	0.2722	2.2371	0.2064	0.1209	2.4931	0.6703	2.2359E-2	0.1773	0.3033	0.2889	0.2074	0.2357	0.2680	0.2270	0.2465	0.2669	0.2596	0.3387	0.2343	0.1927	0.2343	0.3814	2.2099	1.0923	5.7783E-4	7.4757E-4	5.2447E-4	1.2719	0.1281	6.949	20.259	405.091
2000000	0.6105	2.1841	0.3327	0.2063	2.3693	0.2971	0.3238	2.9535	0.2074	3.9637E-2	2.1016	0.3740	0.3479	2.6365	0.1299	8.4574E-2	2.3641	0.4371	1.4443E-2	0.1761	0.3624	0.2953	0.2028	0.2296	0.2723	0.2530	0.2488	0.2430	0.2552	0.3110	0.2573	0.1699	0.2618	0.3458	2.2460	1.2107	5.9466E-4	7.3236E-4	5.3758E-4	1.3962	0.2420	13.060	20.827	389.370
3000000	0.6350	2.3057	0.2487	7.8694E-2	2.4933	0.2386	0.4031	2.9407	0.1543	4.4882E-2	2.0811	0.3760	0.3624	2.4277	0.1543	8.1452E-2	2.3885	0.5856	3.1234E-2	0.1890	0.2094	0.2926	0.2101	0.2320	0.2653	0.2402	0.2550	0.2399	0.2650	0.3214	0.2433	0.1894	0.2459	0.3594	2.2528	1.0960	7.1217E-4	9.2737E-4	5.756E-4	1.4094	5.0752E-2	1.025	20.133	389.758
4000000	0.4616	2.3576	0.3403	8.7539E-2	2.5988	0.1542	0.3932	2.9223	0.1959	5.1424E-2	2.0987	0.3384	0.2755	2.5616	0.1706	5.9096E-2	2.4580	0.4753	5.4347E-3	0.1726	0.2509	0.2961	0.2142	0.2291	0.2606	0.2354	0.2542	0.2334	0.2770	0.3464	0.2425	0.1703	0.2408	0.3486	2.2692	1.1133	6.667E-4	1.0122E-3	5.5081E-4	1.4845	7.6875E-2	8.965	20.360	398.187
5000000	0.4913	2.2198	0.3113	0.1115	2.7099	0.1561	0.3284	2.8221	0.1813	1.9828E-2	2.3133	0.3351	0.2297	2.4104	0.1199	3.6776E-2	2.7215	0.4817	1.3458E-2	0.1972	0.1876	0.2920	0.2036	0.2285	0.2760	0.2412	0.2506	0.2479	0.2603	0.3377	0.2560	0.1836	0.2226	0.3341	2.3157	1.0541	5.4871E-4	6.9273E-4	4.8812E-4	1.2142	6.8273E-2	0.547	20.278	434.947
6000000	0.6206	2.3678	0.3030	9.4002E-2	2.4433	0.1714	0.3051	2.6884	0.1752	5.4042E-2	2.3981	0.3792	0.4378	2.2130	0.1236	0.1001	2.4647	0.6608	3.584E-2	0.1586	0.4669	0.2967	0.1962	0.2425	0.2646	0.2470	0.2357	0.2449	0.2724	0.3401	0.2417	0.1733	0.2448	0.3593	2.2113	1.2367	6.4696E-4	1.0404E-3	5.1507E-4	1.5838	4.8151E-2	1.978	20.213	404.639
7000000	0.4484	2.3553	0.2794	0.1132	2.5923	0.2114	0.4169	2.5584	0.2521	3.2904E-2	2.3477	0.3919	0.2945	2.1655	0.2334	0.2159	2.5930	0.4977	2.1505E-2	0.1819	0.2124	0.3037	0.2134	0.2169	0.2660	0.2456	0.2459	0.2542	0.2543	0.3281	0.2520	0.1830	0.2369	0.3346	2.2639	1.2255	5.6712E-4	7.8126E-4	4.9574E-4	1.4660	9.07E-2	1.964	19.807	424.180
8000000	0.4660	2.0388	0.3061	0.1261	2.8423	0.2207	0.3906	2.8823	0.1412	3.5916E-2	2.1917	0.3582	0.3184	2.2185	0.1684	5.434E-2	2.8551	0.3852	5.2811E-2	0.1576	0.1467	0.3026	0.2029	0.2292	0.2652	0.2453	0.2474	0.2310	0.2762	0.3346	0.2500	0.1900	0.2254	0.3730	2.2130	1.1383	6.008E-4	7.4249E-4	5.0233E-4	1.3262	7.7068E-2	22.510	22.429	414.513
9000000	0.4590	2.1668	0.2698	0.1009	2.7727	0.2309	0.3066	2.6933	0.2040	3.6015E-2	2.3576	0.4024	0.3826	2.3542	0.1618	8.8825E-2	2.5170	0.4957	2.9576E-2	0.1791	0.1844	0.3028	0.2033	0.2256	0.2683	0.2451	0.2421	0.2599	0.2529	0.3440	0.2408	0.1902	0.2250	0.3872	2.2371	0.9612	5.8868E-4	7.3494E-4	5.4503E-4	1.3763	6.4817E-2	2.061	19.764	406.824
10000000	0.6017	2.2017	0.3486	0.1030	2.4420	0.3030	0.3696	2.6067	0.1853	2.103E-2	2.4579	0.3595	0.2197	2.8259	0.1317	1.9343E-3	2.3535	0.4672	4.6815E-2	0.1723	0.2168	0.2954	0.2044	0.2224	0.2777	0.2519	0.2511	0.2460	0.2510	0.3351	0.2641	0.1719	0.2290	0.3596	2.2684	1.0417	5.906E-4	8.1843E-4	5.4214E-4	1.4714	0.1075	13.397	21.219	410.919
11000000	0.6320	2.0757	0.3797	0.1675	2.4716	0.2735	0.3749	2.9448	0.2391	4.7814E-3	2.1421	0.2943	0.4288	2.4475	0.1531	8.5692E-2	2.3882	0.4967	8.3468E-3	0.1891	0.2565	0.2987	0.2042	0.2360	0.2611	0.2320	0.2538	0.2423	0.2719	0.3387	0.2402	0.1881	0.2330	0.3652	2.1845	1.2871	5.542E-4	7.8415E-4	5.0231E-4	1.4977	0.1791	2.824	23.135	409.750
