state	cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
1000000	0.5557	2.1510	0.3633	0.1553	2.5311	0.2435	0.3053	2.7066	0.1935	6.3541E-2	2.2540	0.4771	0.3786	2.3303	0.2107	0.1157	2.2401	0.7245	2.5829E-2	0.1550	0.2525	0.3020	0.1986	0.2318	0.2676	0.2402	0.2559	0.2475	0.2563	0.3401	0.2391	0.1770	0.2438	0.3463	2.2391	1.2302	4.8402E-4	5.7808E-4	4.9503E-4	1.2961	0.1018	7.871	19.916	432.556
2000000	0.6607	2.1478	0.3114	0.1192	2.4443	0.3166	0.4139	2.9656	0.2253	9.868E-3	2.0695	0.3158	0.3142	2.0160	0.1355	7.0204E-2	2.8784	0.5858	4.9666E-3	0.1912	0.1510	0.2976	0.2126	0.2246	0.2652	0.2332	0.2484	0.2426	0.2758	0.3222	0.2456	0.2020	0.2301	0.3451	2.3168	0.9762	4.9349E-4	5.5383E-4	5.097E-4	1.2839	1.0971E-2	1.058	20.543	440.923
3000000	0.5504	2.3385	0.2818	6.9807E-2	2.5117	0.2477	0.4241	2.7378	0.1736	3.7292E-2	2.2855	0.3418	0.3616	2.8985	0.1002	0.1532	2.1898	0.2965	1.6174E-2	0.1881	0.2563	0.3000	0.2043	0.2264	0.2693	0.2434	0.2547	0.2433	0.2587	0.3527	0.2362	0.1787	0.2325	0.3538	2.2676	1.0835	5.7149E-4	8.2099E-4	5.0957E-4	1.4770	0.1874	8.374	22.507	432.135
4000000	0.5130	2.2072	0.3625	8.0694E-2	2.5989	0.2377	0.3918	2.7484	0.2136	7.5113E-2	2.2050	0.3660	0.2266	2.1809	0.2211	3.3567E-2	2.7882	0.5496	8.8868E-3	0.1999	0.2265	0.3015	0.2061	0.2325	0.2599	0.2411	0.2574	0.2495	0.2520	0.3125	0.2719	0.1830	0.2325	0.3266	2.3395	1.0248	5.9834E-4	7.0364E-4	5.4393E-4	1.1563	1.7669E-2	16.035	20.052	407.471
5000000	0.6869	2.2190	0.2674	0.1082	2.4662	0.2522	0.3311	2.8300	0.1952	1.0889E-2	2.3475	0.2854	0.2784	2.2337	0.1394	7.067E-2	2.6492	0.6286	9.7733E-3	0.2027	0.2416	0.3031	0.2042	0.2295	0.2632	0.2442	0.2486	0.2499	0.2573	0.3553	0.2542	0.1696	0.2210	0.3655	2.2083	1.2045	5.9241E-4	7.4216E-4	5.3098E-4	1.1610	3.8979E-2	0.467	19.524	414.991
6000000	0.5356	2.2214	0.2340	0.1179	2.7489	0.1423	0.3716	2.8889	0.2469	2.8688E-2	2.0929	0.3710	0.2893	2.2538	0.1978	5.4902E-2	2.7421	0.4621	2.8983E-2	0.1697	0.1855	0.2982	0.2000	0.2373	0.2644	0.2285	0.2645	0.2370	0.2699	0.3385	0.2481	0.1894	0.2241	0.3915	2.1733	1.1477	5.9386E-4	7.9714E-4	5.2285E-4	1.3255	0.1608	23.756	21.428	407.945
7000000	0.5224	2.4606	0.3178	8.5426E-2	2.2509	0.3628	0.4481	2.8704	0.1577	4.0934E-2	2.0778	0.4051	0.2341	2.3682	0.2471	0.1488	2.4739	0.5278	2.0084E-2	0.1883	0.1948	0.2952	0.2012	0.2294	0.2741	0.2372	0.2466	0.2459	0.2703	0.3581	0.2332	0.1638	0.2450	0.3653	2.2545	1.0499	6.4406E-4	8.696E-4	5.5504E-4	1.3333	4.004E-2	5.796	19.675	406.549
8000000	0.4648	2.0875	0.2690	0.1230	2.6670	0.3887	0.3623	2.8461	0.2315	3.4157E-2	2.1409	0.3850	0.3215	2.0477	0.1899	3.09E-2	2.9522	0.4578	3.2196E-2	0.1836	0.1628	0.3060	0.2079	0.2199	0.2661	0.2327	0.2547	0.2476	0.2651	0.3286	0.2642	0.1838	0.2234	0.3263	2.3000	1.1601	6.0642E-4	8.7548E-4	5.2065E-4	1.3658	2.4311E-2	27.236	21.695	427.652
9000000	0.7299	2.2136	0.3552	9.3878E-2	2.3460	0.2615	0.3045	2.8503	0.2237	2.9504E-2	2.1958	0.3962	0.2755	2.5908	0.1439	5.8624E-2	2.3504	0.5808	4.966E-2	0.1638	0.1952	0.2962	0.2022	0.2300	0.2716	0.2423	0.2576	0.2390	0.2611	0.3708	0.2291	0.1674	0.2328	0.3744	2.1672	1.2839	5.236E-4	6.5557E-4	4.512E-4	1.2012	0.1187	13.311	25.127	460.943
10000000	0.4528	2.2488	0.3588	9.6592E-2	2.5973	0.2457	0.3606	2.6848	0.2326	4.9602E-2	2.3083	0.3641	0.2645	2.2666	0.3215	7.5182E-2	2.5705	0.5017	3.5928E-2	0.1776	0.2983	0.3050	0.1983	0.2317	0.2650	0.2317	0.2422	0.2706	0.2555	0.3581	0.2463	0.1485	0.2471	0.3794	2.2411	1.0002	6.0413E-4	8.1553E-4	5.2518E-4	1.2591	4.952E-2	6.138	19.989	418.039
