state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	0.3069	1.1905	0.3000	0.2924	2.9679	0.9423	0.8241	0.2997	0.1808	0.1940	0.3254	1.4897E-3	0.582	0.161	15.060
2000000	0.2824	1.2433	0.2254	0.2341	3.0774	0.9373	0.8722	0.2988	0.1811	0.1910	0.3292	1.5003E-3	0.760	0.181	15.183
3000000	0.2782	1.3640	0.2408	0.1820	3.0510	0.8841	0.8351	0.2976	0.1817	0.1970	0.3237	1.3821E-3	0.042	0.158	16.084
4000000	0.2354	1.1425	0.2959	0.3099	3.0717	0.9447	0.8150	0.2957	0.1813	0.1971	0.3258	1.4491E-3	0.648	0.164	15.297
5000000	0.3186	1.3605	0.2013	0.3636	2.8726	0.8834	0.8710	0.2956	0.1791	0.1919	0.3333	1.477E-3	1.248	0.207	15.548
6000000	0.2790	1.2656	0.2557	0.2175	3.1530	0.8291	0.8371	0.2955	0.1810	0.1971	0.3263	1.4621E-3	0.348	0.177	16.502
7000000	0.3191	1.3819	0.2213	0.2637	2.8224	0.9915	0.8814	0.2958	0.1823	0.1947	0.3272	1.4817E-3	0.328	0.161	16.110
8000000	0.2481	1.2156	0.2354	0.2386	3.2474	0.8149	0.8626	0.2983	0.1842	0.1929	0.3246	1.4727E-3	0.060	0.157	16.136
9000000	0.3100	1.1117	0.2460	0.3084	2.9659	1.0581	0.8697	0.2970	0.1829	0.1965	0.3236	1.5744E-3	0.272	0.167	15.328
10000000	0.3077	1.4229	0.2285	0.2454	2.9012	0.8944	0.8293	0.2965	0.1777	0.1940	0.3318	1.3722E-3	0.226	0.171	15.456
11000000	0.2193	1.4785	0.2335	0.2156	2.9811	0.8720	0.8707	0.2974	0.1818	0.1969	0.3239	1.2093E-3	0.854	0.184	18.418
12000000	0.2156	1.1647	0.1784	0.3813	3.0108	1.0493	0.8223	0.2990	0.1838	0.1918	0.3253	1.2464E-3	0.554	0.190	19.085
13000000	0.2648	1.3311	0.2721	0.2322	2.9736	0.9262	0.8680	0.2982	0.1829	0.1930	0.3260	1.1892E-3	1.404	0.176	19.135
14000000	0.2842	1.1470	0.2076	0.3448	3.1105	0.9059	0.8367	0.3021	0.1821	0.1951	0.3207	1.2728E-3	0.262	0.158	18.040
15000000	0.2744	1.1299	0.2646	0.4216	3.0329	0.8766	0.8063	0.2960	0.1789	0.1954	0.3298	1.2551E-3	0.094	0.158	17.519
16000000	0.3237	1.3864	0.2299	0.3317	2.9621	0.7662	0.8661	0.3009	0.1793	0.1950	0.3248	1.3015E-3	0.094	0.168	15.852
17000000	0.2614	1.2471	0.2202	0.2540	3.2232	0.7940	0.8510	0.3026	0.1784	0.1915	0.3274	1.5614E-3	0.046	0.156	15.280
18000000	0.4016	1.1936	0.2069	0.2375	3.0115	0.9489	0.8506	0.2994	0.1845	0.1950	0.3211	1.2208E-3	0.254	0.156	17.558
19000000	0.3774	1.0743	0.3148	0.2763	3.0788	0.8784	0.8214	0.2993	0.1790	0.1970	0.3247	1.467E-3	0.352	0.183	15.795
20000000	0.3830	1.2880	0.2030	0.2200	3.1263	0.7797	0.8433	0.2927	0.1816	0.1963	0.3293	1.5684E-3	0.847	0.175	15.169
21000000	0.2404	1.1751	0.2286	0.3135	3.1959	0.8465	0.8432	0.3010	0.1836	0.1946	0.3209	1.2672E-3	0.411	0.184	17.658
22000000	0.3541	1.2034	0.2514	0.2407	3.0617	0.8888	0.8370	0.3011	0.1816	0.1964	0.3208	1.2591E-3	0.079	0.215	19.193
23000000	0.2933	1.2339	0.2316	0.2038	3.0026	1.0348	0.8095	0.2979	0.1805	0.1952	0.3263	1.4399E-3	0.980	0.174	15.897
24000000	0.3279	1.1030	0.2102	0.3559	3.1976	0.8054	0.8362	0.2982	0.1773	0.1968	0.3276	1.3105E-3	1.176	0.198	17.444
25000000	0.3303	1.1305	0.2459	0.2203	3.1313	0.9417	0.8339	0.2996	0.1834	0.1933	0.3237	1.5164E-3	0.573	0.144	14.662
26000000	0.3232	1.2452	0.1819	0.2092	3.2263	0.8142	0.8560	0.2959	0.1817	0.1933	0.3292	1.2527E-3	0.283	0.175	16.955
27000000	0.3441	1.3156	0.2510	0.2732	2.9439	0.8721	0.8611	0.3021	0.1793	0.1922	0.3265	1.454E-3	0.369	0.158	16.167
28000000	0.2309	1.2590	0.2463	0.2085	3.0421	1.0133	0.8592	0.2937	0.1781	0.2005	0.3277	1.296E-3	0.157	0.158	16.089
29000000	0.3100	1.2172	0.2425	0.3133	3.1047	0.8122	0.8617	0.3003	0.1787	0.1946	0.3264	1.3135E-3	0.733	0.195	17.432
30000000	0.3964	1.3754	0.1826	0.2288	2.8968	0.9201	0.8569	0.2966	0.1834	0.1929	0.3270	1.2636E-3	0.459	0.180	18.477
31000000	0.2434	1.2621	0.2521	0.3430	2.9820	0.9173	0.8520	0.2986	0.1801	0.1946	0.3267	1.2258E-3	0.164	0.161	16.966
32000000	0.3053	1.1217	0.2917	0.3995	3.0424	0.8395	0.8153	0.2985	0.1803	0.1951	0.3261	1.5267E-3	0.673	0.171	15.281
33000000	0.2757	1.1240	0.2325	0.2361	3.2978	0.8339	0.8168	0.2940	0.1798	0.1968	0.3294	1.5958E-3	0.963	0.171	14.647
34000000	0.2539	1.2568	0.2774	0.2720	3.0880	0.8519	0.8872	0.2967	0.1799	0.1985	0.3249	1.2843E-3	0.248	0.161	16.567
35000000	0.2453	1.2510	0.2431	0.2825	3.0020	0.9761	0.8264	0.2983	0.1827	0.1943	0.3247	1.3012E-3	0.299	0.179	16.885
36000000	0.4002	1.1895	0.2179	0.4103	2.9431	0.8390	0.8223	0.2990	0.1776	0.1948	0.3286	1.3527E-3	0.205	0.200	16.311
37000000	0.3497	1.0786	0.2373	0.3164	3.1466	0.8714	0.8489	0.2993	0.1782	0.1976	0.3248	1.2759E-3	0.752	0.203	17.037
38000000	0.3576	1.1926	0.1929	0.2230	3.1119	0.9219	0.8511	0.2991	0.1833	0.1956	0.3220	1.6172E-3	0.323	0.179	14.534
39000000	0.2939	1.1657	0.2856	0.1825	3.1268	0.9454	0.8602	0.2965	0.1796	0.1974	0.3265	1.3584E-3	0.631	0.168	15.827
40000000	0.2670	1.3425	0.1877	0.3200	3.0808	0.8020	0.8328	0.3010	0.1737	0.1975	0.3278	1.251E-3	0.797	0.197	18.055
41000000	0.2197	1.1509	0.2395	0.3052	3.1439	0.9408	0.8352	0.2959	0.1810	0.1969	0.3262	1.2728E-3	0.409	0.208	17.452
42000000	0.3628	1.2446	0.1881	0.3537	3.1247	0.7262	0.8547	0.2967	0.1822	0.1987	0.3223	1.4071E-3	0.456	0.202	15.291
43000000	0.3306	1.2857	0.2232	0.3302	2.9489	0.8814	0.8389	0.2939	0.1800	0.1969	0.3292	1.2753E-3	0.368	0.167	17.933
44000000	0.2917	1.5322	0.1628	0.2789	2.8786	0.8558	0.8399	0.3022	0.1810	0.1927	0.3241	1.366E-3	0.374	0.168	16.951
45000000	0.3442	1.4926	0.1722	0.2275	2.9777	0.7857	0.8609	0.2987	0.1793	0.1975	0.3245	1.2481E-3	0.210	0.171	16.401
46000000	0.2824	1.1269	0.2386	0.3391	3.1343	0.8787	0.7824	0.2944	0.1863	0.1909	0.3284	1.4197E-3	0.081	0.160	15.698
47000000	0.2705	1.2312	0.2846	0.2732	3.1446	0.7958	0.8614	0.2960	0.1806	0.1993	0.3241	1.3592E-3	0.663	0.168	16.466
48000000	0.3024	1.3448	0.2250	0.4419	2.9224	0.7634	0.8581	0.2957	0.1793	0.1998	0.3252	1.4373E-3	0.144	0.162	15.561
49000000	0.2754	1.3696	0.2322	0.1458	3.1881	0.7889	0.7986	0.3001	0.1797	0.1977	0.3225	1.3296E-3	0.688	0.208	16.680
50000000	0.3548	1.2425	0.2688	0.2982	3.0949	0.7408	0.8260	0.2972	0.1757	0.1947	0.3324	1.5466E-3	0.158	0.162	14.416
51000000	0.2818	1.3212	0.2431	0.2893	3.0175	0.8471	0.8654	0.3010	0.1832	0.1928	0.3229	1.3962E-3	1.994	0.181	15.205
52000000	0.2442	1.3049	0.1756	0.3404	3.0676	0.8674	0.8508	0.2945	0.1849	0.1938	0.3268	1.2499E-3	0.331	0.184	17.161
