state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	0.2933	1.2511	0.2364	0.2133	3.1491	0.8568	0.8438	0.2958	0.1834	0.1932	0.3276	1.4103E-3	0.911	0.206	16.043
2000000	0.2844	1.2443	0.2218	0.3360	2.9309	0.9827	0.8649	0.2983	0.1785	0.1922	0.3310	1.3168E-3	0.958	0.174	16.935
3000000	0.3283	1.2969	0.2398	0.3247	2.9679	0.8424	0.8276	0.2979	0.1836	0.1922	0.3263	1.4032E-3	0.281	0.160	15.568
4000000	0.2711	1.2509	0.2313	0.4054	3.2143	0.6270	0.8683	0.2933	0.1808	0.1972	0.3286	1.1718E-3	0.486	0.178	18.774
5000000	0.2996	1.2068	0.2024	0.3006	3.0242	0.9664	0.8652	0.2997	0.1787	0.1986	0.3230	1.2078E-3	0.147	0.160	18.185
6000000	0.2365	1.2584	0.2061	0.3091	3.1240	0.8660	0.8310	0.2968	0.1838	0.1971	0.3223	1.1424E-3	0.594	0.179	20.087
7000000	0.3200	1.2567	0.2370	0.3284	3.0316	0.8262	0.8333	0.3031	0.1796	0.1931	0.3242	1.1145E-3	0.124	0.158	18.966
8000000	0.3387	1.5069	0.1998	0.3717	2.8350	0.7479	0.8472	0.2974	0.1780	0.1955	0.3291	1.2968E-3	0.089	0.156	16.454
9000000	0.3804	1.0812	0.2396	0.2299	3.1588	0.9101	0.8397	0.3021	0.1824	0.1918	0.3237	1.2839E-3	0.706	0.198	16.764
10000000	0.3126	1.1571	0.2235	0.3032	3.0866	0.9170	0.8047	0.2992	0.1828	0.1940	0.3239	1.3512E-3	1.383	0.215	15.880
11000000	0.2048	1.2346	0.2787	0.2868	3.2047	0.7904	0.8720	0.2978	0.1803	0.1938	0.3281	1.3689E-3	0.850	0.162	16.837
12000000	0.3354	1.1603	0.2222	0.2305	3.0931	0.9585	0.8415	0.2988	0.1787	0.1952	0.3273	1.3631E-3	0.343	0.169	16.536
13000000	0.2314	1.3522	0.2467	0.3195	2.8557	0.9945	0.8493	0.2946	0.1798	0.1988	0.3268	1.2076E-3	0.334	0.164	17.243
14000000	0.3149	1.1471	0.2326	0.3299	3.0989	0.8766	0.8483	0.2988	0.1817	0.1984	0.3211	1.4223E-3	0.044	0.177	15.478
15000000	0.2769	1.1559	0.2339	0.3916	3.1133	0.8284	0.8632	0.2948	0.1785	0.1975	0.3292	1.4412E-3	0.791	0.185	15.402
16000000	0.2513	1.2403	0.1917	0.3174	2.9956	1.0038	0.8484	0.3006	0.1814	0.1914	0.3266	1.4386E-3	0.103	0.157	14.990
17000000	0.3099	1.2718	0.2338	0.2906	2.9663	0.9275	0.8638	0.3027	0.1780	0.1942	0.3251	1.507E-3	0.332	0.162	15.877
18000000	0.2717	1.1717	0.2357	0.2867	3.1736	0.8606	0.8458	0.2983	0.1827	0.1976	0.3214	1.366E-3	0.299	0.166	16.833
19000000	0.2893	1.5652	0.2568	0.2433	2.8235	0.8219	0.8880	0.3025	0.1795	0.1920	0.3261	1.3599E-3	0.153	0.159	16.395
20000000	0.2785	1.2358	0.2365	0.2519	3.0674	0.9299	0.8557	0.2984	0.1810	0.1961	0.3245	1.215E-3	0.488	0.171	17.136
21000000	0.2914	1.2596	0.2645	0.2892	2.9465	0.9488	0.8314	0.3002	0.1816	0.1960	0.3223	1.4006E-3	0.244	0.187	16.689
22000000	0.2871	1.3143	0.2630	0.2202	3.0266	0.8889	0.8659	0.2985	0.1801	0.1981	0.3233	1.3714E-3	0.490	0.216	16.122
23000000	0.3312	1.1633	0.2417	0.2022	3.0080	1.0537	0.8417	0.3004	0.1824	0.1919	0.3253	1.4117E-3	0.314	0.179	16.157
24000000	0.3392	1.3061	0.2269	0.2319	2.8922	1.0037	0.8468	0.2977	0.1762	0.1910	0.3351	1.3868E-3	0.407	0.178	17.022
25000000	0.2924	1.2036	0.2351	0.2538	3.1309	0.8841	0.8438	0.3009	0.1797	0.1908	0.3287	1.3937E-3	0.807	0.186	15.851
26000000	0.3792	1.0703	0.2914	0.2857	3.1334	0.8400	0.8627	0.2926	0.1814	0.1944	0.3316	1.2925E-3	0.703	0.196	16.796
27000000	0.3086	1.2308	0.2095	0.2668	3.0173	0.9670	0.8389	0.2992	0.1828	0.1942	0.3238	1.4661E-3	0.153	0.159	15.816
28000000	0.3412	1.2891	0.2253	0.3462	2.8824	0.9158	0.8633	0.2994	0.1800	0.1956	0.3249	1.5413E-3	0.873	0.178	15.670
29000000	0.2884	1.2802	0.2506	0.3024	3.0616	0.8168	0.8128	0.2967	0.1799	0.1921	0.3312	1.5998E-3	0.090	0.161	13.598
30000000	0.2622	1.4331	0.2611	0.3073	2.8828	0.8534	0.8553	0.2999	0.1830	0.1949	0.3223	1.7213E-3	0.295	0.201	13.593
31000000	0.2681	1.3488	0.2161	0.2599	2.9479	0.9591	0.8466	0.2985	0.1796	0.1982	0.3237	1.4756E-3	0.349	0.160	14.771
32000000	0.2567	1.1859	0.3430	0.2896	3.1367	0.7881	0.8440	0.3019	0.1784	0.1959	0.3237	1.2592E-3	0.790	0.171	16.700
33000000	0.2982	1.2711	0.2456	0.2859	3.0935	0.8057	0.8608	0.2978	0.1776	0.1942	0.3304	1.5518E-3	0.180	0.176	14.958
34000000	0.3439	1.2409	0.2406	0.3035	3.0562	0.8148	0.7943	0.2979	0.1813	0.1940	0.3268	1.711E-3	0.872	0.181	13.380
35000000	0.3119	1.2943	0.2130	0.2937	3.0622	0.8248	0.8445	0.2970	0.1794	0.1940	0.3296	1.518E-3	0.270	0.160	15.125
36000000	0.2906	1.1670	0.1968	0.2497	3.2298	0.8660	0.8675	0.3000	0.1812	0.1956	0.3232	1.4852E-3	0.233	0.177	15.133
37000000	0.3500	1.2141	0.2494	0.3136	3.0746	0.7982	0.8724	0.2983	0.1809	0.1952	0.3256	1.3837E-3	0.614	0.175	15.822
38000000	0.2916	1.1420	0.2651	0.3757	3.0295	0.8961	0.8561	0.2988	0.1790	0.1937	0.3285	1.3519E-3	0.210	0.176	16.250
39000000	0.3929	1.1327	0.2130	0.4223	3.0158	0.8234	0.8233	0.2947	0.1807	0.1957	0.3288	1.2119E-3	0.179	0.208	18.863
40000000	0.2862	1.1745	0.2630	0.3339	3.0734	0.8690	0.8654	0.2981	0.1826	0.1923	0.3270	1.3399E-3	0.822	0.181	17.520
41000000	0.3843	1.3731	0.2594	0.1454	2.8519	0.9858	0.8514	0.2954	0.1795	0.1944	0.3308	1.2216E-3	0.477	0.206	17.454
42000000	0.2730	1.2853	0.2083	0.3927	3.0495	0.7912	0.8394	0.2975	0.1825	0.1946	0.3253	1.5176E-3	0.115	0.163	14.856
43000000	0.3009	1.0576	0.2517	0.4183	3.0278	0.9436	0.8309	0.2991	0.1813	0.1978	0.3218	1.3245E-3	0.745	0.176	16.086
44000000	0.2663	1.4424	0.2558	0.2749	2.8356	0.9250	0.8217	0.2976	0.1851	0.1909	0.3264	1.4704E-3	0.706	0.175	16.088
45000000	0.3931	1.2687	0.2030	0.4107	2.8930	0.8316	0.8681	0.2993	0.1784	0.1957	0.3266	1.1598E-3	0.009	0.181	18.577
46000000	0.2340	1.3562	0.2610	0.2400	3.0870	0.8219	0.8541	0.2950	0.1845	0.1955	0.3250	1.3206E-3	0.322	0.158	19.116
47000000	0.3290	1.2894	0.2341	0.2998	2.9734	0.8742	0.8536	0.2989	0.1800	0.1957	0.3254	1.3142E-3	0.533	0.155	18.453
48000000	0.3088	1.1985	0.2069	0.3004	3.1119	0.8734	0.8358	0.2997	0.1855	0.1925	0.3223	1.3399E-3	0.275	0.216	18.449
49000000	0.3875	1.2170	0.2269	0.2452	3.0679	0.8555	0.8667	0.2952	0.1809	0.2003	0.3236	1.5314E-3	0.357	0.199	14.653
50000000	0.2513	1.1410	0.2594	0.2467	3.2024	0.8992	0.8619	0.2962	0.1783	0.1973	0.3282	1.1391E-3	0.608	0.202	17.855
51000000	0.3616	1.2644	0.2269	0.3163	2.8801	0.9507	0.8194	0.2992	0.1838	0.1986	0.3184	1.1406E-3	0.206	0.184	18.434
52000000	0.4511	1.2747	0.2213	0.2935	2.9758	0.7837	0.8649	0.2977	0.1827	0.1940	0.3256	1.1675E-3	0.465	0.195	18.419
53000000	0.2594	1.5248	0.2188	0.1559	2.9919	0.8493	0.8616	0.3018	0.1810	0.1928	0.3244	1.2437E-3	0.113	0.157	17.011
54000000	0.3139	1.0721	0.3063	0.2079	3.0601	1.0398	0.8532	0.2974	0.1785	0.1972	0.3270	1.3369E-3	0.179	0.156	16.406
55000000	0.2705	1.1671	0.2400	0.3937	3.1142	0.8144	0.8789	0.2994	0.1800	0.1931	0.3276	1.474E-3	0.423	0.169	16.165
56000000	0.2697	1.1232	0.2378	0.1658	3.2138	0.9897	0.8661	0.2974	0.1808	0.1942	0.3276	1.3921E-3	0.410	0.185	15.968
57000000	0.3330	1.3153	0.2205	0.3188	2.9608	0.8516	0.8229	0.2986	0.1820	0.1929	0.3264	1.371E-3	0.633	0.178	16.133
58000000	0.2560	1.2517	0.2890	0.2670	2.9515	0.9849	0.8558	0.2981	0.1761	0.1965	0.3293	1.4439E-3	0.307	0.188	15.418
59000000	0.2454	1.1293	0.2893	0.2426	3.0971	0.9963	0.8699	0.2988	0.1807	0.1948	0.3257	1.4332E-3	0.219	0.177	15.736
60000000	0.3563	1.2723	0.1833	0.2470	2.9849	0.9562	0.8733	0.2987	0.1837	0.1947	0.3229	1.2241E-3	1.153	0.191	17.118
61000000	0.3519	1.3951	0.2445	0.2212	2.9131	0.8741	0.8450	0.2925	0.1825	0.2001	0.3248	1.2732E-3	0.430	0.182	17.678
62000000	0.3365	1.0894	0.2588	0.2746	3.2782	0.7625	0.8657	0.2988	0.1815	0.1977	0.3220	1.1164E-3	0.803	0.192	19.489
63000000	0.3084	1.2980	0.2341	0.2718	3.0254	0.8623	0.8806	0.2966	0.1823	0.1952	0.3260	1.1462E-3	0.356	0.167	19.023
64000000	0.3187	1.1557	0.2378	0.2762	3.0585	0.9531	0.8571	0.2980	0.1808	0.1944	0.3268	1.4988E-3	1.768	0.159	15.126
65000000	0.2580	1.4531	0.2396	0.2566	3.0657	0.7269	0.8415	0.2955	0.1840	0.1973	0.3233	1.6095E-3	0.395	0.187	15.660
66000000	0.3397	1.1726	0.1705	0.2696	3.1462	0.9014	0.8602	0.2979	0.1817	0.1951	0.3253	1.2961E-3	0.250	0.176	17.737
67000000	0.2954	1.2370	0.1939	0.2646	3.0666	0.9425	0.8124	0.2974	0.1798	0.1972	0.3255	1.3924E-3	1.600	0.191	16.599
68000000	0.3233	1.0900	0.2585	0.3738	2.9987	0.9558	0.8474	0.2938	0.1799	0.1972	0.3291	1.2053E-3	0.405	0.189	20.342
69000000	0.2262	1.1825	0.2403	0.2236	3.1917	0.9356	0.8704	0.2999	0.1795	0.1974	0.3232	1.1563E-3	0.672	0.182	19.164
70000000	0.2301	1.1779	0.2750	0.2664	3.0657	0.9850	0.8721	0.2989	0.1791	0.1954	0.3266	1.4957E-3	0.800	0.184	15.775
71000000	0.2470	1.3116	0.1777	0.2863	3.0782	0.8992	0.8035	0.2991	0.1801	0.1967	0.3241	1.4232E-3	0.560	0.149	15.476
72000000	0.2418	1.2678	0.2699	0.2851	3.0824	0.8531	0.8415	0.2992	0.1826	0.1955	0.3226	1.4748E-3	0.115	0.157	15.902
73000000	0.2526	1.4065	0.2141	0.3285	2.8738	0.9244	0.8301	0.3005	0.1827	0.1925	0.3243	1.3458E-3	0.528	0.169	16.197
74000000	0.3078	1.2676	0.1567	0.2679	3.1670	0.8330	0.8332	0.2935	0.1826	0.2002	0.3238	1.3743E-3	0.328	0.165	16.245
75000000	0.2715	1.1015	0.2628	0.2903	3.0283	1.0456	0.8466	0.2964	0.1821	0.1973	0.3242	1.4697E-3	0.185	0.201	15.905
76000000	0.3292	1.2949	0.1879	0.2954	3.0134	0.8791	0.8608	0.3028	0.1786	0.1960	0.3227	1.399E-3	0.524	0.184	16.440
77000000	0.2465	1.1243	0.2117	0.3059	3.2643	0.8472	0.8424	0.2986	0.1805	0.1980	0.3229	1.1803E-3	0.047	0.176	18.467
78000000	0.2553	1.3862	0.2143	0.3631	2.9882	0.7929	0.8055	0.2999	0.1807	0.1924	0.3270	1.2061E-3	0.877	0.188	18.643
79000000	0.2738	1.0671	0.2198	0.2048	3.1694	1.0650	0.8808	0.3002	0.1819	0.1947	0.3232	1.5075E-3	0.392	0.185	15.839
80000000	0.3280	1.1280	0.1991	0.2637	3.1980	0.8832	0.8489	0.3005	0.1808	0.1901	0.3286	1.4606E-3	2.368	0.189	15.722
81000000	0.2600	1.1344	0.3139	0.3465	3.1235	0.8218	0.8632	0.2982	0.1799	0.1968	0.3251	1.4609E-3	0.104	0.156	16.149
82000000	0.3075	1.2824	0.2719	0.2808	2.8854	0.9722	0.8429	0.2987	0.1829	0.1938	0.3246	1.3831E-3	0.117	0.157	16.084
83000000	0.2392	1.3037	0.2230	0.2396	2.9956	0.9988	0.8743	0.2983	0.1835	0.1953	0.3229	1.5809E-3	0.253	0.158	14.887
84000000	0.2842	1.1679	0.1823	0.2409	3.2367	0.8880	0.8687	0.3010	0.1813	0.1953	0.3224	1.3929E-3	0.902	0.192	16.334
85000000	0.3459	1.2325	0.2014	0.3894	2.9351	0.8956	0.8475	0.2966	0.1813	0.1963	0.3257	1.3778E-3	0.425	0.176	15.983
86000000	0.2791	1.2534	0.2205	0.2458	3.0816	0.9197	0.8737	0.2969	0.1810	0.1981	0.3241	1.255E-3	2.276	0.205	17.067
87000000	0.3627	1.2464	0.2569	0.3063	3.0534	0.7742	0.8576	0.3008	0.1769	0.1968	0.3255	1.3781E-3	0.627	0.182	15.923
88000000	0.2913	1.1784	0.1684	0.2935	3.2337	0.8347	0.8121	0.2972	0.1817	0.1959	0.3251	1.3499E-3	0.595	0.185	17.313
89000000	0.3151	1.1337	0.2430	0.1882	3.3076	0.8123	0.8611	0.3006	0.1787	0.1913	0.3294	1.4517E-3	0.252	0.167	16.136
90000000	0.2494	1.1914	0.2319	0.2791	3.1255	0.9228	0.8519	0.2978	0.1761	0.1990	0.3271	1.2375E-3	0.150	0.170	18.000
91000000	0.2418	1.2007	0.2375	0.3574	2.9640	0.9987	0.8428	0.3001	0.1793	0.1960	0.3246	1.3302E-3	0.286	0.180	17.438
92000000	0.3740	1.2192	0.2218	0.1987	3.0402	0.9462	0.8361	0.2978	0.1799	0.1954	0.3269	1.2521E-3	0.202	0.168	17.612
93000000	0.2462	1.1042	0.2202	0.2645	3.1589	1.0060	0.8772	0.3029	0.1817	0.1936	0.3218	1.3187E-3	0.269	0.173	16.625
94000000	0.3318	1.2073	0.1768	0.2126	3.1462	0.9252	0.8394	0.2967	0.1794	0.1978	0.3261	1.4415E-3	0.079	0.161	15.409
95000000	0.2212	1.0938	0.2098	0.2531	3.1322	1.0900	0.8309	0.2988	0.1812	0.1986	0.3214	1.4048E-3	0.808	0.160	16.157
96000000	0.3989	1.4359	0.2548	0.2295	2.8778	0.8031	0.8586	0.2974	0.1805	0.1953	0.3268	1.1492E-3	0.077	0.158	17.930
97000000	0.3226	1.1150	0.2243	0.1940	3.2176	0.9266	0.8462	0.3012	0.1787	0.1985	0.3216	1.2558E-3	0.107	0.157	17.271
98000000	0.3137	1.1820	0.2366	0.2569	3.1518	0.8590	0.8312	0.2912	0.1797	0.2011	0.3280	1.4274E-3	0.090	0.158	16.037
99000000	0.2557	1.2600	0.2645	0.2760	3.0786	0.8651	0.8400	0.2981	0.1815	0.1962	0.3242	1.4838E-3	0.676	0.196	16.472
100000000	0.2522	1.2172	0.1651	0.2894	3.3114	0.7647	0.8470	0.2950	0.1784	0.1979	0.3287	1.3327E-3	0.522	0.195	16.189
101000000	0.2965	1.1395	0.2497	0.2777	3.1326	0.9039	0.8579	0.2938	0.1819	0.1944	0.3299	1.3869E-3	1.137	0.179	15.809
