state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
1000000	-0.667	0.927	1.364	2.051	-0.854	-3.114	-1.990	-5.843	-5.586	-5.430	-6.661	-9.177	-9.124	-8.438	-9.682	-9.558	-10.337	-10.648	-9.538	-9.024
2000000	0.191	0.766	1.353	1.275	-0.663	-2.454	-2.110	-3.923	-4.321	-4.540	-5.486	-5.260	-5.006	-5.290	-4.653	-4.283	-5.307	-5.226	-7.134	-6.455
3000000	-0.324	1.130	1.205	0.839	-1.002	-2.357	-3.075	-3.307	-3.867	-4.590	-3.820	-2.286	-2.187	-4.230	-2.020	-0.654	-2.719	-2.737	-2.129	-0.355
4000000	-0.303	0.726	1.763	1.341	-1.028	-2.926	-1.040	-2.430	-4.111	0.926	-2.189	1.915	5.308	4.491	4.476	2.024	0.712	5.329	8.363	3.018
5000000	-0.549	0.729	1.226	1.314	-1.608	-2.344	-1.889	-2.073	-3.616	-3.735	-4.059	-5.760	-5.014	-5.094	-3.602	-3.040	-3.423	-3.420	-2.903	-3.952
6000000	-0.001	0.968	1.222	1.270	-0.910	-2.395	-2.746	0.979	-0.724	-4.387	-5.124	-6.592	-7.417	-4.107	-3.819	-1.925	-3.746	-1.983	-2.506	-3.268
7000000	-0.057	0.997	1.391	1.256	-1.471	-1.412	-1.449	-3.087	-4.260	-3.932	-3.951	-2.314	-1.182	-0.489	-1.692	-0.633	-0.937	-0.847	-1.505	-2.843
8000000	-0.720	1.306	1.578	1.275	-1.008	-1.174	-1.151	-1.730	-3.655	-5.405	-4.348	-5.766	-4.981	-5.921	-7.164	-8.682	-8.785	-6.957	-3.995	-1.729
9000000	-0.281	0.866	1.813	1.223	-1.030	-1.876	-1.455	-3.639	-3.030	-3.912	-4.329	-3.964	-5.475	-3.987	-4.676	-4.651	-5.025	-6.252	-6.102	-4.079
10000000	-0.204	1.339	1.705	1.581	-0.339	-1.666	-2.060	-1.663	-6.110	-10.260	-11.367	-10.221	-6.015	-7.633	-3.676	-1.234	-2.771	-5.914	-8.452	-7.542
11000000	0.110	1.112	1.935	1.884	-0.764	-2.530	-0.042	-2.379	-6.526	-5.843	-6.668	-4.777	-3.574	0.101	0.926	2.818	3.896	3.143	1.491	3.787
12000000	-0.389	0.884	1.779	2.009	-0.258	-2.489	-2.221	-2.099	-3.222	-3.725	-2.921	-1.314	-4.230	-6.227	-6.823	-3.906	-5.496	-3.220	-1.423	-1.747
13000000	0.050	1.164	1.545	1.493	-0.394	-2.210	0.394	-0.683	-2.176	-3.346	-4.523	-3.536	-5.617	-2.648	-2.449	-1.306	-1.057	0.077	-2.083	-2.179
14000000	0.096	0.715	1.533	1.812	-0.181	-1.015	-2.656	-3.369	-3.491	-6.584	-2.460	-2.724	-2.822	-3.908	-5.637	-5.019	-5.439	-5.519	-6.350	-7.526
15000000	-0.407	1.421	1.740	1.060	-0.547	-2.418	-1.903	-3.537	-4.220	-5.121	-6.173	-7.911	-6.840	-6.041	-6.822	-7.035	-7.177	-7.809	-8.008	-8.924
16000000	0.323	0.948	1.645	1.101	-0.616	-2.395	-0.557	-3.119	-4.884	-6.064	-8.665	-7.546	-8.795	-9.345	-8.212	-7.982	-8.912	-8.866	-9.125	-8.572
17000000	-0.010	1.396	1.577	2.110	-0.461	-2.552	-2.072	-3.728	-2.694	-3.432	-4.737	-1.095	-0.866	-1.563	-3.340	-3.133	-1.293	-0.589	-0.423	2.148
18000000	0.070	0.515	1.537	1.582	-0.302	-2.327	-0.820	-2.414	-5.320	-1.948	-6.281	-5.345	-0.856	-2.101	-2.179	-5.337	-4.508	-3.130	-2.217	-0.360
19000000	0.052	1.379	1.714	1.327	-0.977	-2.206	-2.019	-3.066	-4.426	-3.450	-5.303	-6.264	-7.351	-7.708	-7.562	-7.846	-9.532	-9.494	-9.484	-9.664
20000000	0.020	0.925	1.376	0.844	-1.396	-2.245	-0.832	-2.598	-6.681	-7.738	-5.492	-6.357	-8.575	-8.233	-8.974	-7.371	-6.997	-6.824	-4.255	-5.472
21000000	-0.065	1.141	1.970	2.384	-0.786	-2.549	-2.356	-0.815	4.907	-3.872	-4.924	-8.489	-5.704	-3.198	1.096	4.112	4.780	3.964	10.885	3.154
22000000	0.309	0.949	1.593	1.542	-0.775	-2.201	-1.475	-1.417	-2.849	-6.414	-4.507	-6.549	-4.259	-0.218	-0.756	-0.828	-1.892	-1.636	-0.387	-2.138
23000000	0.160	0.556	1.221	1.317	-1.269	-1.336	-3.263	-0.956	-3.883	-4.284	-3.880	-4.279	-0.832	-1.055	-0.428	-2.892	-2.740	-0.209	0.610	-0.445
24000000	-0.544	0.753	1.906	1.334	-0.976	-1.725	-2.175	-2.551	-4.010	-5.797	-4.937	-3.510	-4.968	-7.791	-8.284	-9.605	-11.030	-8.876	-8.914	-13.056
25000000	0.388	0.724	1.437	1.788	-0.687	-2.293	-1.986	-2.300	-3.421	-3.788	-5.210	-5.171	-5.939	-6.249	-5.931	-5.565	-4.379	-3.875	-3.667	-3.419
26000000	-0.704	1.580	1.153	2.026	-0.872	-2.884	0.229	-2.714	-5.841	-3.721	-2.694	-3.175	-0.827	-2.168	-1.816	-0.899	0.394	1.128	1.825	2.065
