state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	0.3457	1.1422	0.2682	0.2714	3.1636	0.8089	0.8401	0.2983	0.1796	0.1970	0.3251	1.3381E-3	0.463	0.150	16.628
2000000	0.3310	1.1058	0.2519	0.3080	3.0497	0.9537	0.8104	0.2967	0.1818	0.1961	0.3254	1.3342E-3	1.192	0.175	16.329
3000000	0.2539	1.1552	0.2648	0.4116	2.9563	0.9581	0.8129	0.3046	0.1792	0.1952	0.3211	1.526E-3	0.445	0.178	15.279
4000000	0.2947	1.3284	0.2159	0.2593	3.0683	0.8335	0.8574	0.2986	0.1812	0.1973	0.3229	1.4083E-3	0.132	0.171	16.337
5000000	0.3090	1.2251	0.2491	0.2809	2.9874	0.9485	0.8476	0.2967	0.1805	0.1985	0.3243	1.4881E-3	0.755	0.164	15.207
6000000	0.3780	1.2533	0.2396	0.2118	3.1273	0.7899	0.8445	0.3017	0.1796	0.1940	0.3247	1.3866E-3	0.190	0.188	15.900
7000000	0.2872	1.3957	0.1992	0.3783	2.7025	1.0372	0.8172	0.3002	0.1777	0.1924	0.3297	1.4632E-3	0.662	0.176	15.997
8000000	0.2277	1.1724	0.3005	0.2894	3.2140	0.7959	0.8658	0.3012	0.1781	0.1976	0.3232	1.3817E-3	0.688	0.181	17.003
9000000	0.2411	1.3602	0.2086	0.3119	3.0981	0.7800	0.8575	0.2970	0.1834	0.1960	0.3236	1.3595E-3	0.789	0.197	16.880
10000000	0.2674	1.2124	0.1937	0.3067	3.1338	0.8860	0.8072	0.2961	0.1809	0.1963	0.3268	1.2785E-3	0.060	0.159	18.410
11000000	0.3269	1.0553	0.2266	0.3194	3.0961	0.9756	0.8326	0.3015	0.1812	0.1945	0.3228	1.1386E-3	0.211	0.158	19.090
12000000	0.2588	1.1064	0.2639	0.2781	3.1334	0.9594	0.8032	0.2964	0.1805	0.1962	0.3269	1.2301E-3	0.313	0.239	19.034
13000000	0.1787	1.3831	0.2430	0.2455	2.9560	0.9937	0.8775	0.2953	0.1861	0.1943	0.3243	1.296E-3	0.440	0.195	17.822
14000000	0.3144	1.3000	0.2488	0.3825	2.8647	0.8895	0.8705	0.3009	0.1803	0.1944	0.3243	1.191E-3	0.425	0.178	17.952
15000000	0.2372	1.4322	0.2377	0.1991	2.8897	1.0041	0.8205	0.3021	0.1776	0.1972	0.3232	1.4254E-3	1.050	0.160	16.983
16000000	0.3114	1.2346	0.2734	0.4087	2.9169	0.8550	0.8425	0.2989	0.1802	0.1958	0.3250	1.361E-3	0.756	0.171	16.520
17000000	0.3089	1.4274	0.1601	0.2247	2.9383	0.9407	0.8497	0.2933	0.1801	0.1979	0.3286	1.2241E-3	0.573	0.196	19.108
18000000	0.2839	1.3243	0.2102	0.2606	2.9589	0.9622	0.8330	0.2944	0.1835	0.1940	0.3280	1.3168E-3	0.325	0.164	17.309
19000000	0.2644	1.3099	0.1823	0.3058	3.0993	0.8383	0.8417	0.2977	0.1815	0.1985	0.3223	1.3449E-3	0.601	0.200	16.975
20000000	0.2834	1.1917	0.3748	0.2501	2.9361	0.9639	0.8343	0.2990	0.1811	0.1942	0.3257	1.4565E-3	0.585	0.157	15.301
21000000	0.2362	1.4186	0.2665	0.2854	2.8745	0.9187	0.8353	0.2979	0.1819	0.1923	0.3280	1.1176E-3	0.083	0.199	19.864
