state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	0.3171	1.2959	0.2027	0.2296	2.9338	1.0210	0.8641	0.3041	0.1795	0.1945	0.3220	1.3008E-3	0.786	0.173	17.145
2000000	0.2753	1.3429	0.2285	0.2949	2.9849	0.8735	0.8364	0.3009	0.1827	0.1914	0.3250	1.3197E-3	0.221	0.177	17.134
3000000	0.2485	1.3612	0.2289	0.2957	2.9013	0.9644	0.8481	0.3020	0.1814	0.1930	0.3237	1.4563E-3	0.775	0.181	15.176
4000000	0.2349	1.3110	0.2481	0.2619	2.9536	0.9906	0.8417	0.2990	0.1752	0.2002	0.3255	1.5816E-3	0.329	0.193	14.013
5000000	0.2725	1.2605	0.1815	0.2110	3.2734	0.8011	0.8107	0.2925	0.1796	0.2000	0.3278	1.5561E-3	0.423	0.172	14.697
6000000	0.2621	1.3633	0.1964	0.2509	3.0203	0.9069	0.8462	0.2941	0.1831	0.1953	0.3275	1.4728E-3	0.170	0.156	15.814
7000000	0.3243	1.3460	0.1654	0.2655	3.0279	0.8710	0.8537	0.2924	0.1823	0.1978	0.3275	1.4418E-3	0.900	0.170	16.082
8000000	0.3470	1.1938	0.2619	0.3401	2.9367	0.9205	0.8221	0.2972	0.1806	0.1932	0.3290	1.4022E-3	0.576	0.159	16.007
9000000	0.2669	1.1970	0.2653	0.2541	3.0368	0.9799	0.8411	0.2942	0.1781	0.1974	0.3303	1.3415E-3	0.230	0.156	16.486
10000000	0.3185	1.3346	0.2896	0.2583	2.7659	1.0331	0.8328	0.2966	0.1792	0.1984	0.3258	1.5117E-3	0.718	0.215	14.964
11000000	0.2927	1.3114	0.2389	0.2757	2.8848	0.9965	0.8485	0.2957	0.1828	0.1993	0.3222	1.4399E-3	0.322	0.160	15.578
12000000	0.2933	1.2433	0.2096	0.3109	2.9987	0.9443	0.8552	0.2980	0.1799	0.1947	0.3274	1.4523E-3	0.045	0.159	16.291
13000000	0.2794	1.2712	0.1786	0.2543	3.2371	0.7794	0.8521	0.2951	0.1811	0.1949	0.3288	1.6039E-3	0.330	0.176	15.131
14000000	0.3573	1.1603	0.2476	0.2481	3.0826	0.9041	0.8300	0.3015	0.1788	0.1950	0.3247	1.4697E-3	0.312	0.169	16.226
15000000	0.4645	1.1228	0.2280	0.3725	2.9983	0.8139	0.8391	0.2967	0.1813	0.1962	0.3258	1.4939E-3	0.338	0.175	15.727
16000000	0.3457	1.3685	0.1504	0.2800	3.0390	0.8164	0.8646	0.2973	0.1815	0.1935	0.3277	1.3021E-3	0.304	0.179	17.358
17000000	0.3178	1.1529	0.1838	0.2861	3.0241	1.0353	0.8631	0.2982	0.1821	0.1964	0.3232	1.3681E-3	0.066	0.158	17.289
18000000	0.3203	1.3909	0.2350	0.2216	2.8887	0.9435	0.8664	0.2956	0.1820	0.1919	0.3305	1.3788E-3	0.579	0.158	16.009
19000000	0.3000	1.1590	0.2129	0.3319	3.0472	0.9490	0.8670	0.3004	0.1828	0.1918	0.3250	1.2806E-3	0.550	0.177	16.334
20000000	0.1624	1.4134	0.1793	0.2729	3.2071	0.7650	0.8526	0.2969	0.1785	0.1950	0.3296	1.3709E-3	0.170	0.180	16.659
21000000	0.3051	1.3181	0.2201	0.3129	2.8867	0.9570	0.8354	0.2955	0.1833	0.1935	0.3277	1.1605E-3	0.633	0.211	18.665
22000000	0.2471	1.2492	0.2762	0.2971	2.9142	1.0163	0.8298	0.2932	0.1823	0.1960	0.3284	1.253E-3	0.900	0.182	18.112
23000000	0.2716	1.3787	0.2160	0.2066	2.8878	1.0394	0.8069	0.3018	0.1795	0.1931	0.3256	1.3101E-3	0.500	0.165	17.884
24000000	0.3154	1.1585	0.2632	0.2268	3.1310	0.9051	0.8443	0.3005	0.1802	0.1990	0.3203	1.3606E-3	0.204	0.203	17.282
25000000	0.3404	1.4908	0.2159	0.2287	2.7223	1.0019	0.8681	0.2994	0.1808	0.1966	0.3233	1.3669E-3	0.808	0.177	15.999
26000000	0.2801	1.3600	0.2016	0.2394	2.9529	0.9660	0.8904	0.2988	0.1797	0.1984	0.3231	1.3096E-3	0.233	0.180	16.978
27000000	0.2883	1.2791	0.2103	0.4155	2.8874	0.9194	0.8273	0.2995	0.1829	0.1932	0.3244	1.2771E-3	0.330	0.183	17.182
28000000	0.2947	1.2553	0.2932	0.2770	2.9479	0.9319	0.8624	0.2974	0.1792	0.1974	0.3260	1.4934E-3	0.171	0.157	15.219
29000000	0.2535	1.2156	0.2520	0.2600	3.1224	0.8965	0.8493	0.2993	0.1805	0.1969	0.3234	1.2241E-3	0.191	0.176	17.563
30000000	0.2562	1.0889	0.2899	0.2884	3.0758	1.0008	0.8355	0.2977	0.1823	0.1957	0.3243	1.4061E-3	0.861	0.199	17.007
31000000	0.3294	1.2903	0.2602	0.2941	2.9325	0.8935	0.8150	0.2976	0.1840	0.1960	0.3224	1.2521E-3	0.802	0.162	17.234
32000000	0.3221	1.3041	0.2673	0.3636	2.9534	0.7896	0.8566	0.2948	0.1820	0.1942	0.3290	1.5291E-3	0.436	0.176	15.579
