state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
39000000	0.2102	1.3434	0.2430	0.3933	3.0174	0.7927	0.8603	0.3023	0.1855	0.1955	0.3168	1.4884E-3	0.950	0.158	14.898
40000000	0.2725	1.2945	0.2296	0.1859	3.1294	0.8881	0.8677	0.3008	0.1809	0.1955	0.3228	1.3101E-3	0.352	0.182	16.595
41000000	0.2310	1.1356	0.2427	0.3043	3.1235	0.9629	0.8481	0.2964	0.1804	0.1954	0.3278	1.4279E-3	0.311	0.210	15.494
42000000	0.2841	1.3247	0.2204	0.2133	2.9850	0.9725	0.8450	0.3021	0.1801	0.1956	0.3223	1.4336E-3	0.372	0.158	15.770
43000000	0.3152	1.2345	0.2061	0.3245	2.9576	0.9622	0.7812	0.3029	0.1793	0.1916	0.3262	1.4634E-3	0.451	0.161	15.362
44000000	0.2240	1.2785	0.1493	0.3356	3.0226	0.9900	0.8497	0.2941	0.1797	0.1998	0.3264	1.4531E-3	0.300	0.189	16.060
45000000	0.3252	1.1381	0.1840	0.3907	3.0973	0.8647	0.8650	0.3003	0.1794	0.1956	0.3247	1.3104E-3	0.359	0.157	15.571
46000000	0.2271	1.1711	0.2200	0.3563	3.0213	1.0043	0.8808	0.2994	0.1791	0.1965	0.3249	1.314E-3	0.294	0.166	16.345
47000000	0.3974	1.2781	0.2698	0.2614	2.9872	0.8061	0.8564	0.2992	0.1780	0.1965	0.3264	1.4277E-3	1.030	0.196	16.594
48000000	0.2327	1.0408	0.1943	0.2637	3.2689	0.9995	0.8569	0.2969	0.1799	0.1965	0.3268	1.5359E-3	0.149	0.143	14.551
49000000	0.2751	1.2010	0.1973	0.3071	3.1357	0.8837	0.8295	0.2944	0.1831	0.1983	0.3242	1.3882E-3	0.336	0.187	15.755
