state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	0.3544	1.0785	0.2128	0.3212	2.9893	1.0438	0.8726	0.3017	0.1806	0.2003	0.3174	1.5094E-3	0.343	0.169	14.274
2000000	0.2865	1.5289	0.2263	0.1982	3.0502	0.7099	0.8485	0.2995	0.1818	0.1943	0.3244	1.6208E-3	0.242	0.179	15.342
3000000	0.2613	1.2234	0.1949	0.2864	3.0364	0.9976	0.8651	0.2970	0.1834	0.1980	0.3215	1.354E-3	0.306	0.156	16.221
4000000	0.3083	1.2264	0.2585	0.3239	2.9918	0.8910	0.8102	0.2957	0.1797	0.1954	0.3293	1.2649E-3	0.501	0.179	18.017
5000000	0.3350	1.1144	0.2395	0.2283	3.1659	0.9169	0.8376	0.2981	0.1795	0.2000	0.3225	1.4165E-3	0.592	0.187	16.542
6000000	0.2916	1.1813	0.2826	0.3298	2.9590	0.9557	0.8467	0.2968	0.1807	0.1973	0.3252	1.2866E-3	0.195	0.174	17.258
7000000	0.3430	1.1338	0.2520	0.2724	3.1313	0.8674	0.8384	0.2979	0.1818	0.1962	0.3241	1.229E-3	0.176	0.167	17.379
8000000	0.4677	1.2045	0.1642	0.3829	3.0470	0.7336	0.8687	0.3021	0.1765	0.1957	0.3257	1.3536E-3	0.854	0.196	16.422
9000000	0.4654	1.2360	0.2120	0.2382	3.1260	0.7224	0.8563	0.2952	0.1815	0.1977	0.3256	1.3846E-3	0.218	0.167	14.985
10000000	0.2072	1.2187	0.2308	0.1537	3.2061	0.9835	0.8469	0.3008	0.1813	0.1989	0.3189	1.3202E-3	0.433	0.212	17.020
11000000	0.3322	1.4914	0.2391	0.1541	2.9839	0.7993	0.8488	0.2962	0.1823	0.1917	0.3298	1.3914E-3	0.142	0.168	15.097
12000000	0.3080	1.2252	0.1568	0.2675	3.1444	0.8981	0.8330	0.3013	0.1764	0.1959	0.3265	1.2379E-3	0.246	0.185	16.825
13000000	0.2801	0.9811	0.2776	0.2371	3.2934	0.9306	0.8582	0.2950	0.1815	0.1963	0.3272	1.2159E-3	0.461	0.200	18.231
14000000	0.3269	1.1681	0.2199	0.3024	3.1399	0.8427	0.8425	0.2968	0.1825	0.1955	0.3252	1.2754E-3	0.754	0.177	17.969
15000000	0.3126	1.3511	0.2142	0.1705	3.0507	0.9009	0.8283	0.2976	0.1833	0.1955	0.3235	1.2332E-3	0.434	0.163	19.400
16000000	0.3064	1.1647	0.3452	0.2768	3.0449	0.8622	0.8403	0.2936	0.1813	0.1963	0.3288	1.1388E-3	0.338	0.182	19.412
17000000	0.2933	1.3096	0.2280	0.2658	3.0388	0.8646	0.8534	0.3001	0.1829	0.1935	0.3235	1.31E-3	0.134	0.158	16.359
18000000	0.3812	1.3458	0.2321	0.2095	2.8808	0.9505	0.8433	0.2920	0.1832	0.1950	0.3298	1.3285E-3	0.745	0.209	17.844
19000000	0.2912	1.0691	0.2660	0.1987	3.2958	0.8792	0.8335	0.2973	0.1816	0.1931	0.3279	1.2077E-3	0.315	0.188	18.975
20000000	0.3094	1.2795	0.1579	0.2267	2.9588	1.0676	0.8417	0.2993	0.1779	0.1938	0.3290	1.4402E-3	0.690	0.160	15.907
21000000	0.2042	1.2407	0.2395	0.2422	3.0730	1.0004	0.8593	0.2947	0.1815	0.1977	0.3261	1.3818E-3	0.166	0.177	16.092
22000000	0.2987	1.1229	0.2275	0.2397	3.2755	0.8357	0.8529	0.3021	0.1812	0.1947	0.3220	1.2011E-3	0.109	0.198	18.292
23000000	0.2516	1.2933	0.2375	0.3430	2.9921	0.8826	0.8574	0.2952	0.1794	0.1966	0.3288	1.2088E-3	0.399	0.158	17.417
24000000	0.2666	1.1671	0.1918	0.3252	3.2059	0.8435	0.8465	0.2962	0.1807	0.1960	0.3271	1.2622E-3	0.311	0.181	18.477
25000000	0.3421	1.1455	0.2379	0.2968	3.1280	0.8496	0.8813	0.3006	0.1812	0.1968	0.3214	1.2566E-3	0.268	0.203	16.659
26000000	0.3001	1.1566	0.2626	0.2542	3.1574	0.8691	0.8403	0.2962	0.1829	0.1964	0.3245	1.3759E-3	0.373	0.174	17.358
27000000	0.2748	1.4226	0.2048	0.1811	3.0723	0.8444	0.8762	0.2981	0.1800	0.1943	0.3276	1.3313E-3	0.203	0.157	17.211
28000000	0.3344	1.3500	0.2016	0.2797	2.9703	0.8640	0.8197	0.2988	0.1854	0.1909	0.3250	1.2565E-3	0.043	0.158	16.886
29000000	0.3193	1.3962	0.2811	0.2175	3.0373	0.7485	0.8574	0.2958	0.1806	0.1953	0.3283	1.599E-3	0.707	0.192	14.467
30000000	0.2913	1.1666	0.2190	0.2463	3.2162	0.8607	0.8545	0.2997	0.1780	0.1970	0.3253	1.5837E-3	0.457	0.169	13.914
31000000	0.3725	1.4340	0.2128	0.2519	2.8744	0.8545	0.8352	0.2965	0.1825	0.1965	0.3245	1.676E-3	0.652	0.163	13.977
32000000	0.2621	0.9883	0.2379	0.3660	3.1821	0.9635	0.8653	0.3010	0.1812	0.1915	0.3263	1.4865E-3	0.068	0.156	14.354
33000000	0.3988	1.3544	0.2505	0.1858	2.9670	0.8435	0.8393	0.2998	0.1777	0.1974	0.3251	1.5756E-3	1.118	0.193	15.316
34000000	0.2771	1.2082	0.2264	0.2106	3.2664	0.8113	0.8087	0.2998	0.1790	0.1963	0.3249	1.1537E-3	0.496	0.200	18.809
