state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	0.2489	1.1468	0.2791	0.2789	3.1274	0.9189	0.8452	0.3015	0.1748	0.1974	0.3262	1.6019E-3	0.258	0.159	14.973
2000000	0.3746	1.1355	0.2619	0.2985	2.9511	0.9784	0.8779	0.2990	0.1836	0.1904	0.3270	1.6166E-3	0.471	0.167	13.806
3000000	0.4588	1.2256	0.2637	0.2331	2.8664	0.9523	0.8591	0.2940	0.1795	0.1983	0.3281	1.493E-3	0.181	0.158	15.216
4000000	0.3549	1.4272	0.1621	0.2119	2.9557	0.8882	0.8337	0.2979	0.1827	0.1943	0.3251	1.5483E-3	0.637	0.196	15.217
5000000	0.3166	1.2396	0.2174	0.2634	3.0025	0.9606	0.8776	0.2976	0.1815	0.1925	0.3284	1.3907E-3	0.065	0.157	15.811
6000000	0.2606	1.2460	0.2146	0.1943	3.1489	0.9357	0.8344	0.3026	0.1827	0.1936	0.3212	1.5084E-3	0.526	0.186	15.309
7000000	0.2079	1.2179	0.2178	0.2534	3.1577	0.9453	0.8398	0.2963	0.1805	0.1945	0.3287	1.5333E-3	0.511	0.166	14.635
8000000	0.2934	1.0930	0.1657	0.3300	3.2875	0.8304	0.8277	0.2938	0.1829	0.1965	0.3269	1.5057E-3	0.670	0.172	15.303
9000000	0.3269	1.2918	0.1907	0.3075	2.9988	0.8842	0.8652	0.2995	0.1790	0.1957	0.3257	1.4599E-3	0.343	0.177	15.956
10000000	0.2862	1.1548	0.2682	0.3073	3.0323	0.9513	0.8624	0.2991	0.1781	0.1962	0.3266	1.4524E-3	0.279	0.175	16.060
11000000	0.4695	1.1306	0.2636	0.2357	3.0312	0.8694	0.8371	0.2980	0.1816	0.1939	0.3265	1.3864E-3	0.237	0.165	15.384
12000000	0.2527	1.1857	0.2637	0.2866	2.9625	1.0488	0.8719	0.2989	0.1805	0.1947	0.3259	1.4133E-3	0.218	0.161	15.942
13000000	0.2133	1.1518	0.2992	0.2722	3.2837	0.7799	0.8743	0.2982	0.1785	0.1932	0.3301	1.5003E-3	0.050	0.176	15.547
14000000	0.2864	1.3149	0.2350	0.2453	3.1083	0.8102	0.8231	0.2942	0.1824	0.1966	0.3267	1.3544E-3	0.194	0.204	16.598
15000000	0.2914	1.1390	0.2483	0.2899	3.1430	0.8885	0.8401	0.2991	0.1783	0.1971	0.3254	1.2785E-3	0.529	0.173	16.781
16000000	0.3419	1.2251	0.2638	0.3650	3.0076	0.7967	0.8439	0.2956	0.1799	0.1938	0.3307	1.2215E-3	0.269	0.177	18.864
17000000	0.3665	1.2993	0.2448	0.2779	2.9209	0.8905	0.8091	0.2932	0.1842	0.1948	0.3278	1.1849E-3	0.484	0.166	19.586
18000000	0.2974	1.2561	0.1999	0.2775	3.1114	0.8577	0.8572	0.2968	0.1819	0.1940	0.3273	1.0413E-3	0.687	0.198	20.184
19000000	0.2805	1.3545	0.2512	0.3003	2.9437	0.8698	0.8543	0.2951	0.1822	0.1965	0.3261	1.2711E-3	0.683	0.162	17.743
20000000	0.2645	1.1830	0.2832	0.3110	3.2012	0.7571	0.8695	0.2965	0.1782	0.1974	0.3279	1.4665E-3	0.546	0.159	15.085
21000000	0.3038	1.3705	0.2472	0.3154	2.9172	0.8460	0.8464	0.2980	0.1774	0.1952	0.3295	1.3129E-3	0.587	0.174	17.511
22000000	0.2070	1.1560	0.2091	0.3823	3.0474	0.9981	0.8666	0.3021	0.1803	0.1955	0.3220	1.4978E-3	0.974	0.195	15.035
23000000	0.1834	1.2647	0.1855	0.3015	3.1279	0.9370	0.8321	0.2972	0.1793	0.1960	0.3275	1.4499E-3	0.505	0.214	16.448
24000000	0.2640	1.1256	0.2059	0.3318	3.3027	0.7700	0.8155	0.3025	0.1796	0.1939	0.3241	1.5298E-3	0.339	0.171	14.364
25000000	0.4059	1.2397	0.1953	0.2911	2.9339	0.9341	0.8161	0.3006	0.1782	0.1918	0.3294	1.3089E-3	0.298	0.190	16.643
