state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
1000000	-0.278	1.258	1.391	0.813	-1.800	-0.868	-0.685	-3.130	-5.604	-3.852	-0.942	-2.394	-2.204	-2.354	-1.679	-2.194	-0.235	-0.417	0.619	1.202
2000000	0.006	0.743	1.421	1.538	-1.721	-3.642	-0.861	-1.331	-4.711	-2.245	-5.550	-1.350	-0.764	0.029	1.612	2.073	2.275	4.124	4.727	1.453
3000000	-0.100	0.474	1.420	1.411	-1.184	-2.616	-2.586	-4.611	-6.465	-7.884	-8.090	-8.203	-5.852	-5.175	-3.960	-4.620	-2.356	-1.906	-3.597	-1.611
4000000	0.160	0.980	1.418	1.475	-0.910	-1.030	-2.422	-0.976	-3.206	-3.903	-4.453	-5.454	-4.853	-4.077	-3.370	-3.195	-3.234	-4.566	-4.192	-3.874
5000000	1.371	0.942	1.758	1.455	-0.208	-2.291	-2.367	-1.661	-2.375	-2.093	-2.669	-3.640	-2.966	-4.584	-3.536	-2.985	-3.271	-3.452	-3.645	-3.414
6000000	0.262	1.025	1.632	1.315	-0.985	-2.721	-0.923	4.959	0.035	-5.496	-1.075	0.722	-4.386	-7.022	-7.987	-14.167	-15.261	-9.940	-0.866	0.715
7000000	0.428	0.561	1.537	1.495	-1.131	-1.980	-1.811	-3.230	-2.793	-2.258	-0.616	0.093	-0.641	2.834	3.329	6.001	3.884	2.813	3.234	4.520
8000000	-0.034	0.736	1.591	1.626	-0.330	-1.600	-2.118	-2.336	-1.926	-2.790	-4.929	-4.699	-5.102	-4.530	-4.869	-4.438	-4.937	-5.355	-5.755	-7.346
9000000	0.415	0.585	1.371	1.890	-0.963	-2.678	-0.968	-1.303	-1.855	-7.162	-5.220	-2.943	-6.456	-8.379	-10.094	-9.288	-10.631	-7.822	-6.683	-7.854
10000000	0.406	0.955	1.387	1.808	-0.153	-2.045	-2.285	-4.376	-3.573	-3.328	-3.277	-4.639	-4.174	-4.796	-5.582	-5.479	-6.075	-4.141	-3.066	-3.910
11000000	-0.135	0.828	1.655	1.556	-0.868	-2.059	-1.784	-2.186	-7.060	-5.931	-4.600	-3.522	-3.819	-3.132	-1.807	-1.983	-1.283	-3.326	-1.790	-0.730
12000000	-0.231	0.991	1.336	2.046	-0.430	-2.853	-2.731	-0.431	-8.470	-9.029	-6.936	-10.003	-7.498	-3.188	-4.961	-6.377	-6.498	-5.580	-11.927	-7.388
13000000	0.378	1.401	1.541	0.940	-0.995	-2.219	-1.217	-2.351	-10.167	-8.075	-8.604	-10.719	-5.713	-0.258	2.850	0.583	-2.354	-4.676	-7.013	-8.095
14000000	-0.286	1.169	1.465	1.353	-0.565	-2.585	-2.099	-1.402	-12.029	-13.600	-12.223	-15.059	-6.095	-8.798	-10.213	-15.997	-18.818	-39.128	-39.299	-44.282
15000000	-0.504	1.518	1.435	1.216	-1.501	-1.849	-3.059	-0.422	-11.990	-8.794	-12.007	-12.280	-5.206	-3.418	-3.740	-0.182	3.208	-2.413	-12.327	-18.996
16000000	0.036	0.892	1.293	1.075	-0.388	-2.366	-2.680	-3.467	-3.605	-4.147	-6.443	-6.235	-6.876	-8.042	-4.026	-5.961	-5.408	-7.840	-9.546	-8.346
17000000	-0.115	0.874	1.256	1.102	-1.370	-3.021	-1.268	-1.747	-6.372	-6.345	-7.701	-9.769	-9.323	-8.098	-9.599	-14.006	-12.888	-12.815	-11.618	-10.085
18000000	-0.576	0.910	1.183	1.236	-1.166	-1.966	-2.337	-1.835	-4.646	-5.262	-5.581	-6.306	-6.486	-8.415	-6.890	-9.048	-8.668	-9.973	-10.273	-10.430
19000000	0.372	0.599	1.440	1.922	-0.281	-2.627	-1.621	-1.216	-6.219	-7.200	-3.995	-8.495	-10.135	-9.964	-11.131	-7.665	-10.800	-9.283	-6.272	-3.314
20000000	0.346	1.376	1.799	1.524	-0.609	-1.940	-2.246	-1.255	-3.257	-5.591	-7.996	-7.489	-10.080	-8.857	-8.022	-5.902	-4.583	-5.543	-6.947	-7.834
21000000	-0.674	1.225	1.349	1.271	-1.118	-1.837	-2.152	-2.201	-5.550	-4.727	-3.014	-0.210	-2.041	-1.843	-0.780	-1.842	-0.416	-2.722	-2.981	-3.044
22000000	-0.245	0.944	0.925	1.367	-1.576	-2.474	-1.320	-4.570	-1.955	-4.771	-5.820	-7.994	-7.927	-4.835	-2.560	-1.018	-0.241	3.690	1.097	0.204
23000000	-0.132	1.164	1.547	1.495	-1.128	-3.234	-0.423	0.221	-4.192	-6.223	-7.490	-6.111	-4.315	-2.841	-2.452	-3.945	-4.895	-5.222	-6.058	-6.080
24000000	-0.570	0.874	1.241	1.334	-1.094	-2.734	-1.985	0.209	-5.904	-8.090	-12.431	-10.782	-11.506	-13.288	-13.938	-11.220	-10.173	-8.181	-7.849	-11.757
25000000	0.225	1.585	1.237	0.966	-1.371	-1.765	-2.633	-3.813	-4.214	-5.027	-2.890	-2.088	-2.234	0.204	2.050	0.609	-0.055	0.534	1.043	2.077
26000000	0.285	1.088	1.692	1.468	-0.979	-2.417	-1.573	-0.853	-5.199	-6.087	-4.990	-4.848	-5.812	-4.611	-4.010	-6.020	-7.126	-5.778	-6.079	-9.865
27000000	-0.069	0.773	1.838	1.778	-1.148	-2.168	-1.878	-2.343	-4.517	-1.851	0.482	3.332	1.647	4.229	6.174	9.051	11.018	11.234	12.055	11.412
28000000	0.244	0.899	1.293	1.682	-1.276	-1.827	-1.701	-1.560	-3.336	-6.059	-3.413	-4.776	-2.617	-6.049	-6.386	-8.603	-8.302	-8.404	-9.777	-9.001
29000000	-0.393	1.148	1.505	1.375	-0.655	-2.985	-2.861	-4.881	-4.236	-4.981	-5.952	-5.300	-6.087	-6.501	-4.568	-4.397	-4.147	-3.801	-3.098	-2.916
30000000	0.040	0.810	1.119	1.077	-1.785	-1.872	-2.109	-2.223	-3.813	-4.002	-4.977	-4.893	-5.060	-7.367	-5.569	-5.312	-4.853	-5.783	-6.854	-4.380
31000000	-0.347	1.025	1.161	1.790	-0.602	-3.422	-1.139	0.364	-6.058	1.010	-6.375	-10.252	-17.298	-18.066	-18.382	-18.391	-23.439	-28.118	-18.986	-14.523
32000000	-0.006	1.000	1.529	1.579	-0.753	-0.370	-3.106	-4.173	-2.555	-0.126	2.173	1.416	2.100	2.876	3.383	3.972	5.820	3.768	2.313	4.282
33000000	0.048	0.544	1.414	1.772	0.063	-1.943	-2.487	-2.082	-4.359	-4.355	-4.902	-6.314	-5.799	-4.095	-8.399	-5.026	-6.607	-5.799	-7.062	-4.951
34000000	0.236	0.570	1.644	1.284	-1.220	-2.306	-2.852	-4.982	-3.716	-3.523	-2.331	-1.269	-1.761	-2.585	-0.861	0.783	0.176	-0.022	-0.776	-1.664
35000000	0.151	0.765	1.211	1.180	-1.249	-2.890	-2.694	-1.064	-4.020	-9.824	-13.072	-9.659	-10.376	-11.308	-7.571	-5.454	-5.503	-8.373	-5.425	-6.531
36000000	-0.756	1.318	1.396	1.019	-2.074	-0.126	-2.762	-2.606	-3.582	-3.593	-4.054	-8.472	-8.646	-9.719	-9.557	-9.182	-8.246	-9.833	-8.712	-7.509
37000000	0.756	0.593	1.123	1.233	-0.907	-2.915	-2.452	-1.688	-2.402	-2.560	-2.185	-1.217	-0.591	-1.403	-2.081	-2.019	-0.678	-1.503	-0.528	-0.116
38000000	-0.320	1.011	1.299	1.227	-0.620	-2.542	-1.649	-0.506	-4.948	-5.935	-2.184	-0.886	0.389	-0.618	-0.639	0.048	1.289	2.134	1.196	1.495
39000000	0.174	0.794	1.247	1.717	-0.981	-3.539	-2.270	-1.811	-8.774	-6.315	-5.460	-9.286	-6.937	-7.101	-6.321	-4.942	-3.729	-2.537	-4.414	-2.387
40000000	-0.480	1.105	1.756	2.128	-0.442	-2.255	-1.658	2.548	0.749	-3.473	-5.587	-8.901	-9.826	-13.469	-17.079	-16.150	-14.934	-16.475	-13.321	-14.635
41000000	0.187	1.348	1.804	2.646	0.065	-0.818	-1.738	1.125	-1.597	-5.035	-6.057	-5.541	-7.616	-6.133	-4.159	-1.345	-1.278	-1.490	-0.934	-0.996
42000000	5.472	0.581	1.709	1.906	-0.145	-2.983	-1.725	-0.926	-7.069	-7.347	-5.789	-7.585	-8.205	-5.903	-13.957	-13.350	-12.789	-12.225	-15.927	-18.609
43000000	-0.317	0.819	1.391	1.374	-0.928	-2.220	-2.578	-4.359	-3.412	-5.480	-3.918	-5.401	-6.348	-5.503	-5.038	-6.826	-7.657	-8.088	-8.818	-8.213
44000000	0.059	1.510	1.590	1.304	-0.842	-1.659	-3.532	-2.241	-5.674	-6.813	-4.356	-5.787	-1.717	-2.365	-3.169	-3.604	-2.391	-1.783	-4.736	-8.452
45000000	-0.384	0.828	1.458	1.371	-1.419	2.721	-2.910	-2.460	-0.995	-1.194	-8.141	-12.388	-11.888	-13.721	-14.083	-13.328	-14.343	-16.852	-15.174	-17.534
46000000	-0.529	0.760	1.132	0.981	-1.662	-2.133	-2.319	-2.318	-7.329	-8.201	-7.091	-6.328	-6.671	-7.088	-8.476	-8.413	-10.826	-8.661	-8.753	-8.738
47000000	-0.263	0.875	1.475	1.262	-2.584	-2.646	-0.413	1.292	-5.961	-6.400	-11.007	-10.608	-6.395	0.159	4.524	5.023	7.909	10.040	14.548	14.094
