state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	0.3910	1.1434	0.2279	0.2847	3.2913	0.6617	0.8375	0.2980	0.1777	0.1972	0.3271	1.3864E-3	0.471	0.168	15.336
2000000	0.2205	1.1281	0.3045	0.2719	3.0557	1.0193	0.8643	0.2954	0.1827	0.1972	0.3247	1.4267E-3	0.142	0.164	15.664
3000000	0.2504	1.1309	0.2239	0.2893	3.2504	0.8551	0.8539	0.2972	0.1799	0.1924	0.3306	1.3981E-3	0.602	0.164	15.625
4000000	0.3151	1.3248	0.1998	0.2009	3.1430	0.8164	0.8245	0.2997	0.1775	0.1968	0.3261	1.2822E-3	0.448	0.190	16.541
5000000	0.2364	1.3214	0.2019	0.3161	3.1981	0.7261	0.8522	0.3037	0.1801	0.1928	0.3234	1.1798E-3	1.226	0.212	18.079
6000000	0.3485	1.1822	0.3013	0.2820	2.8543	1.0317	0.8261	0.3000	0.1807	0.1948	0.3245	1.3357E-3	0.034	0.178	17.258
7000000	0.3063	1.2038	0.2376	0.2699	3.1190	0.8634	0.8281	0.2958	0.1834	0.1964	0.3244	1.3006E-3	0.362	0.191	16.637
8000000	0.2649	1.0866	0.1948	0.2730	3.1735	1.0072	0.8689	0.3012	0.1804	0.1935	0.3249	1.185E-3	1.153	0.204	18.022
9000000	0.2908	1.1348	0.2694	0.2327	3.1920	0.8804	0.8587	0.2980	0.1771	0.1964	0.3284	1.2256E-3	0.244	0.176	17.189
10000000	0.2322	1.3773	0.2214	0.2238	3.0311	0.9142	0.8158	0.2982	0.1848	0.1927	0.3243	1.3429E-3	0.676	0.191	17.939
11000000	0.2718	1.2367	0.2812	0.1884	3.1239	0.8980	0.8496	0.2974	0.1815	0.1913	0.3298	1.3181E-3	0.429	0.157	17.463
12000000	0.3013	1.2925	0.1755	0.2459	3.0641	0.9207	0.8275	0.2939	0.1803	0.1982	0.3277	1.1762E-3	0.063	0.156	17.919
13000000	0.2814	1.3204	0.2723	0.3580	2.8793	0.8886	0.8752	0.2999	0.1807	0.1923	0.3271	1.3852E-3	0.075	0.156	16.513
14000000	0.3255	1.2401	0.2743	0.1951	3.0163	0.9487	0.8202	0.2971	0.1836	0.1950	0.3243	1.2654E-3	0.027	0.156	16.606
15000000	0.2701	1.3043	0.2909	0.2283	3.1002	0.8063	0.8525	0.2966	0.1833	0.1941	0.3259	1.4798E-3	0.030	0.156	15.943
16000000	0.3244	1.1020	0.1952	0.3253	3.1741	0.8790	0.8481	0.2968	0.1779	0.1997	0.3256	1.4661E-3	0.387	0.164	16.405
17000000	0.2946	1.2263	0.2371	0.3368	2.8553	1.0499	0.8605	0.2975	0.1766	0.1987	0.3271	1.5401E-3	0.384	0.157	15.092
18000000	0.2445	1.2125	0.1839	0.2308	3.3137	0.8147	0.8437	0.3020	0.1780	0.1960	0.3240	1.3423E-3	0.450	0.162	15.455
19000000	0.1965	1.3173	0.2613	0.4185	3.0931	0.7132	0.8439	0.2980	0.1811	0.1941	0.3268	1.1863E-3	0.136	0.161	17.953
20000000	0.2289	1.4276	0.1709	0.2499	3.0429	0.8799	0.8084	0.2986	0.1791	0.1920	0.3302	1.1558E-3	0.403	0.180	18.558
21000000	0.3365	1.1560	0.2774	0.3120	3.1971	0.7211	0.8556	0.3008	0.1813	0.1933	0.3246	1.4034E-3	0.293	0.164	15.926
