state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
1000000	1.912	0.597	1.649	1.349	-0.496	-2.385	-1.551	-1.978	-4.683	-5.051	-2.831	-4.809	-7.518	-9.290	-8.821	-8.582	-6.377	-7.866	-5.706	-4.205
2000000	0.145	1.281	1.417	1.205	-0.897	-2.153	-2.646	-3.007	-3.408	-4.597	-5.880	-7.970	-9.776	-8.618	-6.605	-7.896	-6.103	-8.099	-7.717	-9.170
3000000	0.046	0.618	1.456	1.214	-0.320	-1.647	-3.611	-2.032	-4.579	-2.391	-2.158	-4.218	-3.908	-4.078	-5.403	-4.598	-4.996	-4.865	-5.513	-7.637
4000000	0.248	0.994	1.296	1.991	-0.695	-1.407	-2.179	-1.305	-4.556	-3.084	-2.429	-2.968	-3.903	-3.614	-6.098	-3.545	-3.192	-3.276	-2.098	-3.874
5000000	0.053	0.774	1.404	1.949	-0.766	-2.289	-2.261	-2.688	-3.324	-4.315	-7.481	-5.179	-1.328	-1.380	-1.244	-3.808	-4.757	-4.704	-5.311	-3.574
6000000	-0.027	1.617	1.394	1.551	-0.774	-2.144	-1.920	-3.942	-4.068	-3.310	-1.578	0.294	-0.194	-0.352	1.530	-1.238	-0.179	0.299	-0.158	-1.391
7000000	-0.470	1.026	1.057	1.366	-0.924	-3.358	-2.392	-2.156	-5.776	-3.884	-3.859	-1.223	-0.405	-1.386	-0.738	-2.393	-3.180	-6.911	-4.260	-5.459
8000000	-0.598	1.002	1.723	1.808	-1.108	-0.659	-2.849	-1.630	-3.303	-5.493	-6.864	-10.621	-11.142	-9.697	-9.633	-12.383	-15.083	-13.671	-13.121	-12.675
9000000	-0.532	0.823	1.396	1.230	-0.434	-2.926	-3.269	-4.931	-5.910	-7.057	-6.066	-6.758	-5.121	-3.823	-5.099	-4.786	-4.379	-1.621	-0.100	-2.678
10000000	-0.561	1.124	1.468	1.664	-1.387	-2.795	-1.140	0.118	-4.356	-5.546	-7.067	-7.719	-7.707	-5.907	-2.973	-0.830	-0.282	-2.526	-4.064	-3.501
