state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
1000000	0.2576	1.3139	0.2506	0.3037	2.9269	0.9472	0.8429	0.3003	0.1786	0.1973	0.3237	1.1399E-3	0.064	0.156	17.425
2000000	0.3438	1.2776	0.2164	0.3044	3.0061	0.8517	0.8375	0.2961	0.1814	0.1947	0.3278	1.1062E-3	0.039	0.156	18.743
3000000	0.3387	1.2300	0.2518	0.2462	3.0410	0.8923	0.8097	0.2961	0.1811	0.2002	0.3226	1.4962E-3	0.052	0.156	15.237
4000000	0.4097	1.1956	0.2354	0.2537	3.0725	0.8331	0.8347	0.2975	0.1789	0.1964	0.3273	1.3213E-3	0.110	0.157	18.004
5000000	0.2472	1.2906	0.1794	0.2746	3.1511	0.8571	0.8575	0.2942	0.1811	0.1967	0.3280	1.2136E-3	0.102	0.161	18.270
6000000	0.2002	1.2637	0.2619	0.3558	3.0408	0.8777	0.8436	0.2959	0.1791	0.1980	0.3270	1.1433E-3	0.244	0.177	19.012
7000000	0.2728	1.1901	0.2345	0.3092	3.1015	0.8918	0.8561	0.2952	0.1861	0.1915	0.3272	1.349E-3	0.451	0.157	16.437
8000000	0.2849	1.1745	0.1891	0.2489	3.2606	0.8420	0.8550	0.2993	0.1804	0.1930	0.3273	1.4957E-3	0.550	0.162	15.299
9000000	0.3392	1.2443	0.1866	0.2810	2.9512	0.9977	0.8470	0.2977	0.1796	0.1963	0.3264	1.6503E-3	0.205	0.157	13.731
10000000	0.3793	1.2549	0.2376	0.2133	3.0526	0.8622	0.7868	0.2985	0.1847	0.1972	0.3196	1.2333E-3	1.000	0.208	16.616
11000000	0.2506	1.4633	0.2168	0.3790	2.9509	0.7393	0.8661	0.3016	0.1810	0.1943	0.3231	1.231E-3	0.225	0.156	18.464
12000000	0.3583	1.0884	0.1568	0.3141	3.1477	0.9347	0.8422	0.2975	0.1837	0.1949	0.3239	1.1226E-3	0.807	0.200	18.353
13000000	0.2649	1.2368	0.2211	0.2801	3.0070	0.9900	0.8546	0.3024	0.1780	0.1946	0.3250	1.28E-3	0.304	0.165	16.370
14000000	0.3449	1.2120	0.2395	0.2737	2.9693	0.9606	0.8271	0.2944	0.1808	0.1974	0.3274	1.2859E-3	0.276	0.195	16.053
15000000	0.3343	1.2201	0.2468	0.1449	3.1630	0.8909	0.8432	0.2980	0.1834	0.1964	0.3222	1.2684E-3	0.422	0.190	17.075
16000000	0.2998	1.2603	0.2843	0.3043	3.0543	0.7969	0.8209	0.2951	0.1839	0.1954	0.3257	1.3584E-3	1.188	0.207	16.042
17000000	0.4148	1.3478	0.2080	0.1899	2.9475	0.8921	0.8650	0.2955	0.1781	0.1975	0.3289	1.3317E-3	0.350	0.201	17.146
18000000	0.3410	1.4463	0.2068	0.1741	2.8670	0.9647	0.8205	0.2988	0.1858	0.1939	0.3216	1.2899E-3	0.084	0.159	16.752
19000000	0.2749	1.2833	0.2148	0.3028	2.9699	0.9543	0.8683	0.2996	0.1842	0.1915	0.3247	1.4869E-3	0.336	0.182	16.015
20000000	0.2303	1.3128	0.1706	0.2600	3.1860	0.8403	0.8354	0.2996	0.1813	0.1958	0.3233	1.2418E-3	0.982	0.216	18.233
21000000	0.2354	1.1708	0.2267	0.3262	3.1393	0.9016	0.8218	0.3018	0.1801	0.1923	0.3257	1.3248E-3	0.153	0.175	16.696
22000000	0.2228	1.1901	0.2068	0.3777	3.0275	0.9751	0.8373	0.2905	0.1810	0.1977	0.3308	1.4857E-3	0.923	0.177	14.841
23000000	0.4023	1.3530	0.1476	0.2883	3.0671	0.7416	0.8694	0.2978	0.1773	0.1975	0.3273	1.2752E-3	0.596	0.177	18.538
24000000	0.3560	1.0966	0.2207	0.3949	3.0026	0.9293	0.8848	0.2972	0.1819	0.1935	0.3274	1.2208E-3	0.167	0.273	17.161
25000000	0.3078	1.1905	0.2025	0.2103	2.9876	1.1014	0.8223	0.2982	0.1814	0.1948	0.3257	1.1098E-3	0.180	0.161	20.069
26000000	0.2379	1.0493	0.1974	0.3003	3.2856	0.9296	0.8362	0.3017	0.1776	0.1946	0.3261	1.3523E-3	0.756	0.172	17.027
27000000	0.2958	1.2960	0.1715	0.2993	3.0973	0.8401	0.8492	0.2947	0.1819	0.1959	0.3274	1.3667E-3	1.204	0.169	16.840
28000000	0.3573	1.1634	0.2416	0.2337	3.0614	0.9426	0.8689	0.2983	0.1818	0.1950	0.3249	1.4613E-3	0.559	0.181	16.032
29000000	0.3031	1.2499	0.2344	0.2539	3.0238	0.9350	0.8551	0.2983	0.1833	0.1980	0.3205	1.4148E-3	0.071	0.157	17.154
30000000	0.2565	1.1490	0.2762	0.2188	3.1590	0.9404	0.8235	0.2964	0.1805	0.1972	0.3258	1.3539E-3	0.486	0.162	16.916
31000000	0.3151	1.5053	0.2168	0.2307	2.9617	0.7704	0.8656	0.2971	0.1836	0.1953	0.3240	1.3354E-3	0.032	0.157	16.482
32000000	0.2652	1.1688	0.2601	0.2515	3.2529	0.8014	0.8372	0.2942	0.1810	0.1958	0.3290	1.135E-3	0.215	0.164	18.670
33000000	0.3374	1.1261	0.2503	0.3060	3.0890	0.8912	0.8389	0.2938	0.1833	0.1967	0.3262	1.103E-3	0.398	0.174	20.771
34000000	0.4049	1.1769	0.2365	0.3361	2.9476	0.8981	0.8785	0.3010	0.1794	0.1945	0.3250	1.3982E-3	0.693	0.171	17.045
35000000	0.3321	1.1829	0.2425	0.2699	3.1596	0.8130	0.8504	0.3012	0.1832	0.1918	0.3237	1.4919E-3	0.828	0.161	14.249
36000000	0.2963	1.4622	0.2107	0.2524	2.8865	0.8919	0.8395	0.2969	0.1817	0.1923	0.3291	1.3232E-3	0.101	0.162	16.169
37000000	0.2940	1.1468	0.2248	0.3517	3.0814	0.9015	0.8176	0.2999	0.1794	0.1950	0.3257	1.6308E-3	0.386	0.177	15.144
38000000	0.3043	1.3244	0.1456	0.2368	3.1030	0.8858	0.8550	0.2982	0.1810	0.1955	0.3252	1.5201E-3	0.429	0.177	14.459
39000000	0.2109	1.1355	0.2383	0.3445	3.1755	0.8952	0.8671	0.2987	0.1817	0.1939	0.3258	1.3405E-3	0.218	0.172	16.456
40000000	0.2815	1.3869	0.2091	0.1854	3.1862	0.7509	0.8449	0.2940	0.1801	0.1959	0.3301	1.3597E-3	1.008	0.196	17.170
41000000	0.3130	1.1207	0.2357	0.2864	3.2246	0.8196	0.8231	0.3005	0.1832	0.1919	0.3244	1.3352E-3	0.206	0.199	18.141
42000000	0.3297	1.2649	0.1847	0.2943	3.0890	0.8374	0.8174	0.2966	0.1814	0.1978	0.3242	1.3571E-3	0.265	0.177	16.452
43000000	0.2818	0.9839	0.2367	0.2767	3.2870	0.9338	0.8422	0.2961	0.1806	0.1972	0.3261	1.5059E-3	0.531	0.182	15.373
44000000	0.2299	1.2322	0.2286	0.2107	3.2107	0.8880	0.8524	0.2988	0.1781	0.1972	0.3259	1.4753E-3	0.403	0.167	14.960
45000000	0.2797	1.2410	0.2086	0.2704	3.0568	0.9435	0.8425	0.3010	0.1820	0.1900	0.3270	1.6243E-3	0.738	0.184	13.686
46000000	0.2766	1.1923	0.2417	0.3248	3.0877	0.8768	0.8415	0.2924	0.1826	0.1969	0.3280	1.3869E-3	0.573	0.184	16.723
47000000	0.2942	1.1895	0.2106	0.3592	3.1366	0.8099	0.8292	0.2971	0.1822	0.1945	0.3262	1.1815E-3	0.496	0.202	18.059
48000000	0.3297	1.3040	0.1931	0.2860	3.0383	0.8489	0.8111	0.2992	0.1819	0.1911	0.3278	1.2611E-3	0.983	0.186	17.074
