state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
352000000	-0.625	1.156	1.196	0.925	-1.038	-3.582	-2.786	-2.156	-5.217	-5.053	-5.743	-5.761	-7.461	-4.489	-1.803	-3.169	-4.278	-1.093	-0.748	0.980
353000000	-0.379	0.865	1.635	1.013	-1.388	-1.949	-1.703	-2.586	-3.260	-3.931	-2.740	-3.236	-3.942	-2.297	-3.013	-6.023	-6.563	-7.658	-7.154	-6.806
354000000	0.058	1.232	1.508	1.081	-1.128	-1.995	-2.023	-3.492	-3.279	-2.989	-0.605	-1.000	-0.742	0.113	0.010	-0.000	3.939	1.641	0.050	1.782
355000000	-0.100	1.193	1.448	1.190	-0.730	-1.590	-2.387	-3.489	-1.440	-2.816	-2.976	-3.632	-5.657	-5.521	-2.106	-3.083	-3.172	-1.046	0.123	0.058
356000000	-0.223	0.434	1.571	1.011	-1.697	-1.663	-2.585	-1.873	-5.052	-4.235	-5.930	-6.571	-7.420	-9.161	-6.124	-4.225	-2.279	-1.487	-0.420	1.601
357000000	-0.276	0.867	1.277	0.963	-1.371	-3.047	0.631	-1.718	-5.298	-4.719	-3.514	-3.356	-4.730	-4.734	-4.173	-5.354	-6.862	-4.510	-4.345	-7.013
358000000	0.086	0.676	1.579	1.111	-0.516	-2.915	-2.125	-2.861	-3.345	-5.113	-4.231	-3.660	-6.531	-4.796	-1.757	-1.395	-6.054	-6.278	-6.454	-8.320
359000000	-0.277	0.708	1.399	1.483	-1.638	-2.084	-2.886	-5.010	-3.578	-3.649	-3.913	-3.076	-3.714	-2.514	-4.156	-4.144	-5.323	-6.161	-6.157	-6.161
360000000	0.713	0.554	1.302	0.931	-2.233	-1.844	-2.396	-1.045	-1.633	-5.815	-4.716	-5.435	-5.493	-3.598	-5.309	-7.972	-9.335	-6.785	-6.503	-3.774
361000000	0.505	0.791	1.226	1.390	-0.758	-2.089	-3.148	-3.129	-4.186	-8.697	-7.237	-6.968	-5.018	-7.923	-8.095	-5.823	-6.405	-6.365	-5.605	-5.938
362000000	0.661	0.683	1.551	1.471	-0.184	-2.452	-1.104	-0.879	-3.811	-3.957	-4.593	-4.385	-7.699	-10.725	-10.021	-10.926	-9.835	-9.569	-10.619	-7.285
363000000	-0.228	1.025	1.354	1.658	-1.446	-2.139	-2.349	1.018	-7.341	-7.827	-8.064	-14.301	-16.392	-14.735	-13.782	-13.111	-13.748	-13.034	-13.352	-20.895
364000000	-0.493	0.704	1.301	2.014	-1.280	-1.046	-3.233	-3.567	-3.350	-2.177	-0.096	0.436	-0.185	0.755	1.887	1.607	0.241	2.065	2.829	3.305
365000000	0.024	0.973	1.437	1.475	-1.763	-2.959	-3.051	-4.635	-3.165	-2.513	-3.610	-3.275	-6.582	-6.608	-8.800	-11.419	-10.907	-11.658	-12.702	-15.772
366000000	-0.048	1.003	1.363	1.547	-1.315	-3.208	-2.302	-2.586	-4.306	-3.680	-1.883	-1.381	-2.293	0.998	-0.610	0.729	1.637	1.419	0.841	1.868
367000000	0.753	1.121	1.804	1.310	-1.510	-1.543	-2.133	-0.738	-8.289	-8.460	-7.660	-9.650	-12.483	-12.166	-7.775	-13.069	-16.800	-14.371	-14.706	-13.816
368000000	0.226	0.590	1.597	1.393	-1.090	-1.678	-2.132	-3.561	-8.206	-6.119	-8.633	-5.728	-5.103	-4.391	-3.981	-2.613	-5.700	-5.978	-2.977	-2.503
