state	posterior	prior	likelihood	skygrid
420000000	-68080.136	-2011.578	-66068.558	-2026.113
421000000	-68110.011	-2043.894	-66066.117	-2058.870
422000000	-68020.069	-1959.133	-66060.936	-1971.097
423000000	-68102.867	-2025.159	-66077.708	-2038.985
424000000	-68018.908	-1934.894	-66084.014	-1945.902
425000000	-68048.548	-1981.399	-66067.150	-1993.752
426000000	-68018.521	-1951.950	-66066.571	-1963.102
427000000	-68084.052	-2008.056	-66075.996	-2021.067
428000000	-68026.178	-1934.357	-66091.821	-1945.311
429000000	-68052.811	-1984.461	-66068.350	-1996.938
430000000	-68062.450	-1993.988	-66068.462	-2007.555
431000000	-68057.470	-1972.035	-66085.435	-1984.103
432000000	-68045.515	-1959.627	-66085.888	-1971.524
433000000	-68062.174	-1973.149	-66089.025	-1986.174
434000000	-68011.806	-1954.466	-66057.340	-1966.601
435000000	-68053.045	-1946.284	-66106.760	-1956.397
436000000	-68082.204	-1989.544	-66092.660	-2001.285
437000000	-68074.023	-2013.370	-66060.653	-2027.684
438000000	-68040.527	-1964.538	-66075.988	-1976.444
439000000	-68079.445	-2013.826	-66065.619	-2026.886
440000000	-68083.468	-2005.965	-66077.504	-2020.915
441000000	-68044.169	-1973.984	-66070.185	-1986.967
442000000	-68036.236	-1988.661	-66047.575	-2000.744
443000000	-68050.299	-1983.198	-66067.101	-1996.254
444000000	-68056.960	-1991.657	-66065.303	-2004.789
445000000	-68052.438	-1972.748	-66079.689	-1985.710
446000000	-68071.438	-1981.765	-66089.673	-1994.796
447000000	-68074.715	-1996.972	-66077.743	-2011.168
448000000	-68076.253	-1985.653	-66090.599	-1998.000
449000000	-68063.536	-1991.064	-66072.472	-2004.050
450000000	-68075.087	-1998.967	-66076.120	-2013.028
451000000	-68012.404	-1953.547	-66058.857	-1964.993
452000000	-68042.603	-1980.361	-66062.241	-1994.222
453000000	-68006.905	-1940.841	-66066.063	-1951.495
454000000	-68060.400	-1986.624	-66073.776	-1998.736
455000000	-68052.158	-1970.903	-66081.255	-1983.621
456000000	-68066.005	-1995.286	-66070.719	-2008.930
457000000	-68057.591	-1994.566	-66063.025	-2007.760
458000000	-68065.704	-1984.628	-66081.076	-1998.249
459000000	-68009.531	-1942.147	-66067.384	-1953.973
460000000	-68082.099	-1995.341	-66086.758	-2009.407
461000000	-68060.677	-1988.627	-66072.050	-2001.142
462000000	-68010.455	-1958.765	-66051.690	-1969.784
463000000	-68039.690	-1966.591	-66073.099	-1979.316
464000000	-68031.090	-1969.275	-66061.815	-1981.256
465000000	-68091.557	-1981.650	-66109.907	-1992.574
466000000	-68078.486	-2005.445	-66073.041	-2019.215
467000000	-68061.645	-1988.111	-66073.534	-2002.158
468000000	-68034.929	-1963.463	-66071.466	-1975.756
469000000	-68019.221	-1959.965	-66059.257	-1971.988
470000000	-68049.813	-1975.489	-66074.324	-1988.333
471000000	-68036.548	-1956.567	-66079.982	-1969.346
472000000	-68062.336	-1965.891	-66096.445	-1978.039
473000000	-68031.740	-1958.477	-66073.263	-1971.314
474000000	-68054.669	-1982.840	-66071.829	-1995.334
475000000	-68057.018	-1982.665	-66074.353	-1997.345
476000000	-68089.613	-1994.625	-66094.988	-2007.703
477000000	-68060.846	-1958.902	-66101.944	-1970.895
478000000	-68076.600	-2003.172	-66073.428	-2016.144
479000000	-68015.193	-1948.556	-66066.638	-1960.847
480000000	-68022.096	-1962.533	-66059.563	-1974.972
481000000	-68089.394	-1995.235	-66094.159	-2008.285
482000000	-68042.271	-1969.286	-66072.985	-1981.237
483000000	-67983.442	-1928.040	-66055.402	-1937.951
484000000	-68081.155	-2019.759	-66061.396	-2033.151
485000000	-68055.947	-1962.193	-66093.755	-1975.290
486000000	-68049.680	-1970.980	-66078.701	-1983.470
487000000	-68050.813	-1971.863	-66078.950	-1983.414
488000000	-68089.448	-1978.658	-66110.789	-1991.617
489000000	-68027.713	-1962.777	-66064.935	-1975.379
490000000	-68057.949	-1975.998	-66081.951	-1988.437
491000000	-68060.130	-1971.913	-66088.217	-1984.181
492000000	-68087.379	-1980.843	-66106.536	-1993.685
493000000	-68079.888	-1997.067	-66082.821	-2010.458
494000000	-68045.652	-1996.043	-66049.609	-2009.592
495000000	-68040.253	-1977.328	-66062.925	-1990.853
496000000	-68050.386	-1942.278	-66108.109	-1954.093
497000000	-68047.145	-1966.743	-66080.403	-1977.894
498000000	-68015.154	-1937.695	-66077.459	-1947.896
499000000	-68034.251	-1941.382	-66092.868	-1953.142
500000000	-68057.317	-2006.534	-66050.782	-2018.888
501000000	-68039.993	-1976.018	-66063.975	-1988.815
502000000	-68033.154	-1960.770	-66072.384	-1971.958
503000000	-68071.201	-1989.109	-66082.092	-2002.140
504000000	-68070.004	-2012.829	-66057.175	-2025.778
505000000	-68046.851	-1981.683	-66065.168	-1994.562
506000000	-68081.887	-2006.885	-66075.002	-2020.400
507000000	-68057.903	-1994.277	-66063.625	-2007.287
508000000	-68075.926	-1993.654	-66082.272	-2007.237
509000000	-68039.578	-1970.011	-66069.568	-1983.139
510000000	-68054.300	-1983.356	-66070.944	-1995.841
511000000	-68073.423	-2004.637	-66068.786	-2018.364
512000000	-68030.946	-1970.890	-66060.057	-1983.759
513000000	-67990.794	-1923.297	-66067.496	-1932.076
514000000	-68081.283	-1989.989	-66091.294	-2004.304
