state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
111000000	8.475	16.432	0.2202	1.1488	0.3922	2.2157	0.3469	0.2445	0.1904	0.2182	0.3754	0.1997	0.1808	0.2441	2.1201E-3	1.5125E-3	2.8908E-3	1.8374E-3	2.8855E-3	2.2489E-3	2.0669E-3	2.638E-3	27.326	883.962	4274.546	50.614	66.383	18.080	82.559	48.198	83.873	31.541	13.500
112000000	7.590	15.782	0.2370	1.2221	0.3980	2.2039	0.3763	0.2283	0.1782	0.2172	0.3769	0.1922	0.1796	0.2514	2.1237E-3	1.4956E-3	2.5979E-3	1.8425E-3	3.0593E-3	2.4419E-3	2.5829E-3	2.3475E-3	66.182	801.568	4150.365	52.669	69.439	18.119	83.420	51.390	83.941	31.032	15.310
113000000	7.456	15.998	0.2169	1.3929	0.3759	2.2482	0.3451	0.2476	0.1841	0.2231	0.3737	0.1900	0.1837	0.2526	2.2641E-3	1.5667E-3	3.169E-3	1.8106E-3	3.2708E-3	2.4984E-3	2.7859E-3	2.3534E-3	1561.834	929.748	4327.647	51.033	69.346	17.673	84.903	48.016	83.121	31.160	14.851
114000000	8.460	15.645	0.2207	1.2444	0.3851	2.2299	0.3536	0.2504	0.1830	0.2131	0.3731	0.1910	0.1899	0.2459	2.1377E-3	1.3618E-3	3.2057E-3	1.8256E-3	3.3918E-3	2.5138E-3	2.6243E-3	2.3919E-3	850.412	834.345	4194.187	52.557	67.613	18.094	82.389	47.827	82.954	31.425	14.672
115000000	8.178	16.613	0.2324	1.2711	0.3964	2.2072	0.3408	0.2408	0.1800	0.2385	0.3863	0.1921	0.1782	0.2434	2.24E-3	1.4373E-3	2.8489E-3	1.8754E-3	3.0921E-3	2.448E-3	2.3064E-3	2.22E-3	38.974	973.365	4417.885	51.254	68.848	18.079	82.275	49.315	83.400	30.559	15.612
116000000	7.754	16.943	0.2208	1.2235	0.4103	2.1794	0.3393	0.2476	0.1934	0.2198	0.3668	0.2004	0.1776	0.2552	2.0613E-3	1.4402E-3	2.8523E-3	1.6355E-3	3.1878E-3	2.2803E-3	2.4347E-3	2.5598E-3	128.402	799.152	4106.312	50.506	72.646	18.435	83.178	49.771	84.618	31.711	14.090
117000000	7.450	16.362	0.2153	1.1322	0.3957	2.2087	0.3590	0.2412	0.1810	0.2188	0.3707	0.1978	0.1800	0.2515	2.1776E-3	1.4542E-3	2.664E-3	1.7949E-3	3.3561E-3	2.3342E-3	2.7552E-3	3.0146E-3	49.163	799.199	4091.172	52.772	66.062	17.937	82.797	47.590	83.759	31.008	14.093
118000000	8.710	15.949	0.2325	1.2467	0.3950	2.2100	0.3443	0.2486	0.1862	0.2210	0.3701	0.1943	0.1833	0.2523	2.2584E-3	1.7799E-3	2.9632E-3	1.7836E-3	3.1576E-3	2.5359E-3	2.5561E-3	2.4224E-3	50.001	956.762	4381.963	50.863	64.095	17.752	83.697	48.803	84.182	31.267	14.864
119000000	8.076	16.258	0.2135	1.1439	0.4144	2.1711	0.3530	0.2457	0.1786	0.2227	0.3832	0.1855	0.1834	0.2480	2.1313E-3	1.4649E-3	2.9473E-3	1.981E-3	3.1275E-3	2.5037E-3	2.5275E-3	2.5263E-3	40.158	728.940	3903.655	51.493	65.673	17.776	81.457	46.740	83.382	30.820	15.328
120000000	8.312	17.234	0.2197	1.2207	0.4199	2.1602	0.3469	0.2404	0.1936	0.2192	0.3824	0.1886	0.1805	0.2485	2.0934E-3	1.3969E-3	2.6646E-3	1.8556E-3	3.1839E-3	2.3777E-3	2.3586E-3	2.4181E-3	35.467	945.962	4451.722	51.103	65.708	18.008	82.379	50.343	83.153	31.261	13.829
121000000	8.782	16.967	0.2153	1.3370	0.3783	2.2435	0.3698	0.2522	0.1733	0.2047	0.3722	0.1939	0.1820	0.2519	2.1919E-3	1.3046E-3	3.0102E-3	1.8195E-3	3.2059E-3	2.2751E-3	2.16E-3	2.834E-3	29.265	950.744	4377.763	53.701	67.550	18.296	81.830	46.448	83.979	31.974	14.216
122000000	8.043	16.902	0.2229	1.1507	0.4232	2.1536	0.3355	0.2450	0.1978	0.2216	0.3673	0.1992	0.1841	0.2493	2.1357E-3	1.4789E-3	3.1588E-3	1.839E-3	3.2285E-3	2.3298E-3	2.5889E-3	2.2853E-3	38.661	908.662	4386.162	51.958	68.262	17.437	82.504	49.436	84.388	31.245	14.747
