state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
1000000	8.495	15.919	0.2259	1.2723	0.4041	2.1919	0.3495	0.2353	0.1877	0.2275	0.3773	0.1900	0.1842	0.2486	2.1192E-3	1.4784E-3	2.9535E-3	1.6937E-3	2.8577E-3	2.6623E-3	2.3889E-3	2.1024E-3	116.220	844.668	4234.767	51.700	69.198	17.738	83.232	50.436	82.822	31.684	15.305
2000000	8.139	16.758	0.2132	1.3297	0.4067	2.1865	0.3528	0.2477	0.1909	0.2086	0.3689	0.2000	0.1814	0.2497	2.1884E-3	1.7195E-3	2.6049E-3	1.9299E-3	2.9685E-3	2.4217E-3	3.0632E-3	2.3436E-3	11.491	1064.909	4657.278	51.631	65.182	17.998	82.001	49.905	84.310	31.017	15.134
3000000	8.314	17.924	0.2238	1.2225	0.3973	2.2053	0.3525	0.2369	0.1955	0.2151	0.3709	0.1904	0.1848	0.2539	2.1997E-3	1.7016E-3	2.8426E-3	1.7932E-3	2.9735E-3	2.4491E-3	2.4691E-3	2.5818E-3	36.009	1109.953	4701.583	50.733	65.107	18.069	83.309	48.658	83.644	31.564	14.248
4000000	8.624	16.418	0.2186	1.1285	0.4128	2.1744	0.3477	0.2482	0.1820	0.2221	0.3813	0.1903	0.1829	0.2455	2.1335E-3	1.4348E-3	2.9316E-3	1.8222E-3	2.8579E-3	2.5835E-3	2.1045E-3	2.7444E-3	22.626	994.441	4519.416	52.772	67.394	18.050	82.366	48.580	83.794	31.444	14.396
5000000	8.120	16.048	0.2204	1.2138	0.4116	2.1768	0.3432	0.2534	0.1836	0.2198	0.3757	0.1906	0.1817	0.2520	2.3458E-3	1.4734E-3	3.2167E-3	1.7868E-3	3.2705E-3	2.4768E-3	2.3339E-3	2.5705E-3	145.000	865.743	4184.492	52.531	67.079	17.478	82.463	49.034	83.670	32.085	14.697
6000000	8.366	17.550	0.2214	1.2789	0.4096	2.1809	0.3618	0.2336	0.1869	0.2176	0.3726	0.1969	0.1844	0.2461	2.2283E-3	1.3207E-3	3.28E-3	1.8382E-3	3.0725E-3	2.5083E-3	2.5263E-3	2.8679E-3	659.041	940.382	4402.853	52.236	72.857	17.507	83.604	48.727	82.807	31.310	14.459
7000000	7.777	15.799	0.1973	1.2322	0.3817	2.2366	0.3540	0.2287	0.1954	0.2219	0.3777	0.1964	0.1830	0.2429	2.171E-3	1.5619E-3	2.5484E-3	1.7787E-3	3.3759E-3	2.2377E-3	2.218E-3	2.7457E-3	22.245	1091.459	4687.359	50.607	63.831	18.218	82.671	45.240	83.065	31.672	14.605
8000000	7.703	17.637	0.2157	1.3285	0.3813	2.2374	0.3447	0.2477	0.1932	0.2143	0.3802	0.1953	0.1809	0.2435	2.2241E-3	1.574E-3	2.9926E-3	1.7578E-3	3.3197E-3	2.6797E-3	2.0586E-3	2.8958E-3	61.385	1024.198	4484.179	51.812	67.066	17.334	83.512	49.277	83.943	31.770	14.246
9000000	7.499	16.757	0.2255	1.1295	0.4082	2.1837	0.3496	0.2481	0.1893	0.2130	0.3852	0.1865	0.1846	0.2437	2.1711E-3	1.4798E-3	3.0261E-3	1.8294E-3	3.2569E-3	2.455E-3	2.4862E-3	2.6282E-3	82.643	901.162	4317.113	52.064	66.075	17.685	83.067	48.862	83.728	31.860	13.991
10000000	8.535	16.528	0.2108	1.1402	0.4317	2.1366	0.3640	0.2402	0.1917	0.2041	0.3825	0.1920	0.1785	0.2470	2.1491E-3	1.2575E-3	2.6828E-3	1.7125E-3	3.0844E-3	2.3367E-3	2.0027E-3	2.7608E-3	51.661	1079.189	4695.676	51.879	75.676	17.753	82.855	48.027	83.353	31.609	13.991
