state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
1000000	7.809	15.819	0.2420	1.2489	0.4177	2.1645	0.3594	0.2348	0.1856	0.2203	0.3823	0.1900	0.1835	0.2441	2.3375E-3	1.7038E-3	3.061E-3	1.8363E-3	3.5183E-3	2.6065E-3	2.6672E-3	2.3439E-3	77.270	802.687	3970.313	51.959	63.092	18.024	82.712	47.626	83.028	31.362	14.786
2000000	9.196	16.487	0.2432	1.2599	0.3805	2.2390	0.3455	0.2508	0.1838	0.2200	0.3709	0.1998	0.1864	0.2428	2.1782E-3	1.345E-3	3.0741E-3	1.7832E-3	3.4656E-3	2.3376E-3	2.4597E-3	2.1638E-3	32.956	893.746	4284.737	53.120	68.780	17.762	82.759	46.658	83.704	30.977	15.005
3000000	7.137	16.868	0.2157	1.2289	0.4039	2.1922	0.3533	0.2476	0.1943	0.2047	0.3806	0.1906	0.1810	0.2478	2.2706E-3	1.51E-3	2.9792E-3	1.9054E-3	3.1441E-3	2.4493E-3	2.6223E-3	2.2434E-3	126.540	873.980	4217.521	51.825	65.066	17.652	82.522	47.986	84.093	32.130	14.344
4000000	8.406	16.563	0.2221	1.2950	0.4061	2.1879	0.3370	0.2518	0.1821	0.2292	0.3751	0.1943	0.1782	0.2524	2.2041E-3	1.3576E-3	3.1594E-3	1.7544E-3	3.0598E-3	2.3644E-3	2.55E-3	2.5441E-3	61.395	973.753	4469.654	52.510	68.535	17.932	83.132	49.668	83.531	30.866	14.318
5000000	8.827	16.551	0.2353	1.3121	0.4082	2.1836	0.3563	0.2515	0.1745	0.2177	0.3771	0.2018	0.1772	0.2439	2.1748E-3	1.6065E-3	3.246E-3	1.7691E-3	3.1458E-3	2.556E-3	2.4761E-3	2.6064E-3	13.840	1040.813	4559.751	51.067	66.250	18.101	83.755	48.352	83.019	30.372	14.624
6000000	8.655	16.526	0.2247	1.2705	0.4190	2.1620	0.3356	0.2514	0.1882	0.2248	0.3808	0.1956	0.1816	0.2421	2.1376E-3	1.5532E-3	3.2345E-3	1.9203E-3	3.1563E-3	2.397E-3	2.442E-3	2.6106E-3	17.272	1017.927	4587.383	50.499	67.028	18.142	82.849	48.877	83.759	31.237	14.247
7000000	8.723	16.555	0.2042	1.1885	0.4121	2.1757	0.3578	0.2423	0.1800	0.2199	0.3773	0.1994	0.1854	0.2379	2.1118E-3	1.5418E-3	3.0576E-3	1.8513E-3	3.4415E-3	2.1797E-3	2.5706E-3	2.723E-3	92.297	1093.279	4712.521	51.006	64.623	18.168	81.746	48.563	84.325	31.214	14.490
8000000	9.033	16.339	0.2262	1.1827	0.4166	2.1668	0.3340	0.2493	0.1997	0.2170	0.3683	0.1908	0.1783	0.2626	2.1023E-3	1.5273E-3	2.5537E-3	1.7369E-3	2.9263E-3	2.4411E-3	2.4389E-3	2.6931E-3	71.783	948.312	4412.679	50.987	64.043	17.224	82.927	48.186	83.335	31.441	14.874
9000000	8.595	16.950	0.2252	1.1909	0.4033	2.1934	0.3527	0.2454	0.1804	0.2214	0.3775	0.1970	0.1796	0.2459	2.137E-3	1.5062E-3	3.1061E-3	1.7945E-3	3.0084E-3	2.5015E-3	2.2541E-3	2.3246E-3	79.070	813.046	4116.771	51.193	67.440	17.814	83.586	47.826	83.865	30.944	14.702
10000000	7.881	15.959	0.2225	1.1525	0.3930	2.2139	0.3518	0.2445	0.1838	0.2199	0.3771	0.1948	0.1851	0.2430	2.1562E-3	1.4975E-3	2.8281E-3	1.81E-3	2.8669E-3	2.4998E-3	2.6471E-3	2.0725E-3	68.924	1010.869	4457.571	51.103	65.697	17.894	82.087	49.064	83.718	30.897	15.192
