state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
1000000	7.956	16.237	0.2390	1.2150	0.3957	2.2086	0.3428	0.2423	0.1853	0.2296	0.3831	0.1948	0.1796	0.2425	2.1557E-3	1.4345E-3	3.0239E-3	1.9401E-3	3.1271E-3	2.3855E-3	2.5153E-3	2.3006E-3	177.680	800.686	4117.866	50.872	67.721	17.631	82.389	49.193	84.111	31.790	14.699
2000000	8.418	17.308	0.2312	1.2613	0.4001	2.1997	0.3459	0.2555	0.1790	0.2196	0.3719	0.1877	0.1853	0.2551	2.1176E-3	1.6272E-3	3.3698E-3	1.8362E-3	2.7674E-3	2.5836E-3	2.3111E-3	2.4593E-3	75.449	1052.267	4625.609	51.156	64.629	17.721	82.393	49.945	83.536	31.253	15.022
3000000	8.223	17.082	0.2332	1.2085	0.4149	2.1703	0.3454	0.2371	0.2002	0.2173	0.3777	0.1981	0.1798	0.2445	2.11E-3	1.6024E-3	2.9106E-3	1.7284E-3	2.8925E-3	2.4157E-3	1.9905E-3	2.6384E-3	74.316	974.193	4482.053	50.991	64.655	18.119	82.916	47.820	83.362	31.386	14.922
4000000	8.312	16.299	0.2357	1.1804	0.4076	2.1847	0.3490	0.2453	0.1891	0.2165	0.3832	0.1969	0.1811	0.2388	2.1288E-3	1.6489E-3	3.4843E-3	1.7201E-3	3.0764E-3	2.4089E-3	2.6594E-3	2.3173E-3	76.917	816.265	4136.884	51.011	63.191	17.610	83.246	48.521	83.562	30.612	15.412
5000000	7.322	17.002	0.2310	1.2340	0.4134	2.1732	0.3405	0.2453	0.1946	0.2195	0.3771	0.1896	0.1832	0.2501	2.2404E-3	1.4339E-3	3.2727E-3	1.7721E-3	2.8467E-3	2.4688E-3	2.5535E-3	2.6476E-3	171.598	949.123	4389.200	53.352	67.716	17.449	82.425	47.781	84.045	31.474	14.521
6000000	8.505	16.763	0.2204	1.1474	0.3990	2.2020	0.3466	0.2466	0.1928	0.2140	0.3803	0.1882	0.1831	0.2484	2.1695E-3	1.5372E-3	2.7811E-3	1.6846E-3	2.8843E-3	2.2287E-3	2.5097E-3	2.2244E-3	333.682	780.488	4006.568	50.683	64.019	18.004	82.985	48.217	83.788	30.944	14.754
7000000	8.161	16.308	0.2267	1.2282	0.4016	2.1968	0.3364	0.2605	0.1847	0.2184	0.3790	0.1916	0.1839	0.2456	2.1654E-3	1.5684E-3	3.0862E-3	1.8326E-3	3.1637E-3	2.388E-3	2.5648E-3	2.4086E-3	31.925	888.215	4269.692	51.672	64.392	17.688	82.268	50.395	84.192	30.788	14.196
8000000	8.477	17.076	0.2153	1.2127	0.4255	2.1490	0.3572	0.2303	0.1995	0.2130	0.3752	0.1928	0.1857	0.2464	2.1079E-3	1.6195E-3	3.4809E-3	1.814E-3	3.1952E-3	2.4181E-3	2.7794E-3	2.5309E-3	21.097	930.560	4418.460	51.093	63.718	17.525	84.779	49.381	83.435	31.056	14.963
9000000	7.691	16.510	0.2226	1.0724	0.4304	2.1392	0.3505	0.2432	0.1859	0.2204	0.3773	0.1950	0.1769	0.2508	2.0299E-3	1.4976E-3	2.8982E-3	1.8879E-3	2.8039E-3	2.3911E-3	2.2723E-3	2.4188E-3	73.337	835.168	4239.647	51.076	67.369	17.624	83.366	50.080	83.272	31.093	15.416
10000000	8.792	16.311	0.2228	1.2707	0.4247	2.1506	0.3411	0.2514	0.1905	0.2171	0.3700	0.1903	0.1872	0.2525	2.1295E-3	1.5107E-3	2.9374E-3	1.7168E-3	3.0467E-3	2.6212E-3	2.5404E-3	2.4818E-3	71.882	961.355	4457.193	52.383	65.554	18.106	83.934	49.469	83.695	30.885	14.916
11000000	7.918	16.210	0.2317	1.2620	0.4051	2.1897	0.3412	0.2364	0.1855	0.2369	0.3799	0.1976	0.1778	0.2446	2.1406E-3	1.414E-3	2.924E-3	1.8614E-3	2.7957E-3	2.2937E-3	2.3578E-3	2.2659E-3	192.063	824.221	4165.693	51.359	68.056	17.487	82.261	49.525	83.532	31.887	15.464
12000000	8.049	17.396	0.2276	1.2637	0.3963	2.2074	0.3487	0.2595	0.1764	0.2154	0.3760	0.1967	0.1813	0.2460	2.1829E-3	1.5116E-3	3.0663E-3	1.9208E-3	3.3475E-3	2.5683E-3	2.7519E-3	2.4204E-3	635.943	898.439	4287.376	50.742	68.699	18.160	82.622	47.440	83.376	31.209	14.596
13000000	8.028	16.314	0.2144	1.1030	0.4214	2.1571	0.3448	0.2405	0.1925	0.2222	0.3845	0.1979	0.1756	0.2420	1.9908E-3	1.383E-3	2.5942E-3	1.7337E-3	3.0772E-3	2.3649E-3	2.4025E-3	2.1804E-3	70.844	961.124	4431.015	51.480	66.965	18.501	82.353	48.614	83.792	31.227	14.821
14000000	8.788	16.715	0.2333	1.2398	0.4033	2.1934	0.3439	0.2439	0.1891	0.2231	0.3752	0.1955	0.1829	0.2464	2.1712E-3	1.5294E-3	2.9339E-3	1.8353E-3	3.0739E-3	2.4189E-3	2.2651E-3	2.5408E-3	672.671	939.379	4379.228	51.134	66.716	17.739	82.164	50.584	83.550	32.076	15.414
15000000	7.113	16.613	0.2497	1.1763	0.3987	2.2025	0.3537	0.2412	0.1924	0.2126	0.3782	0.1979	0.1726	0.2513	2.2484E-3	1.4223E-3	3.6017E-3	1.9049E-3	3.3415E-3	2.5184E-3	2.7697E-3	2.6458E-3	15.336	718.057	3876.788	51.935	69.735	17.480	82.536	48.343	83.840	30.976	14.605
16000000	8.616	16.390	0.2160	1.2195	0.4258	2.1484	0.3601	0.2571	0.1778	0.2051	0.3726	0.1963	0.1773	0.2538	2.1041E-3	1.5723E-3	2.8979E-3	1.9133E-3	3.1976E-3	2.4527E-3	2.2615E-3	2.2083E-3	50.945	958.706	4376.290	50.514	66.488	18.047	82.261	49.964	83.523	31.280	14.595
17000000	8.301	16.410	0.2265	1.2741	0.3866	2.2269	0.3472	0.2487	0.1869	0.2172	0.3843	0.1895	0.1819	0.2443	2.0727E-3	1.5413E-3	2.6024E-3	1.8623E-3	3.1835E-3	2.5403E-3	2.2105E-3	2.186E-3	28.839	968.400	4426.007	50.657	65.588	18.379	81.610	49.098	83.028	31.290	14.957
18000000	7.692	16.875	0.2276	1.2898	0.4043	2.1914	0.3386	0.2574	0.1953	0.2086	0.3765	0.1952	0.1778	0.2504	2.1037E-3	1.539E-3	2.7589E-3	1.9295E-3	2.9324E-3	2.4662E-3	2.2329E-3	2.6137E-3	50.180	854.377	4221.265	51.743	68.831	17.861	82.668	48.844	83.627	32.095	14.328
19000000	7.803	16.731	0.2349	1.1872	0.4072	2.1856	0.3492	0.2371	0.2037	0.2100	0.3732	0.2035	0.1747	0.2486	2.12E-3	1.5694E-3	2.6038E-3	1.8591E-3	3.0099E-3	2.5741E-3	2.1799E-3	2.5522E-3	70.025	908.191	4365.577	51.238	67.927	17.944	82.160	50.448	83.504	32.119	14.241
20000000	8.835	16.513	0.2349	1.2039	0.3931	2.2137	0.3279	0.2476	0.2010	0.2235	0.3765	0.1948	0.1773	0.2514	2.1651E-3	1.6732E-3	3.4524E-3	1.6615E-3	3.283E-3	2.4442E-3	2.6171E-3	2.6611E-3	96.192	878.834	4225.710	50.794	63.473	17.550	83.637	48.046	83.243	30.785	14.121
21000000	8.510	16.239	0.2298	1.2102	0.3899	2.2201	0.3601	0.2373	0.1821	0.2205	0.3688	0.2011	0.1787	0.2514	2.0982E-3	1.3461E-3	2.8036E-3	1.8452E-3	2.9455E-3	2.4205E-3	2.345E-3	2.1646E-3	727.910	857.794	4244.295	51.206	69.932	17.792	81.604	49.672	83.474	31.252	15.655
22000000	8.390	16.773	0.2267	1.2735	0.4314	2.1373	0.3359	0.2600	0.1879	0.2163	0.3690	0.1965	0.1812	0.2533	2.2598E-3	1.4716E-3	2.847E-3	1.9417E-3	2.8684E-3	2.33E-3	2.0091E-3	2.5922E-3	99.756	738.898	3927.105	52.978	65.884	18.255	81.578	49.714	83.907	31.162	14.173
23000000	8.737	16.858	0.2112	1.3137	0.3898	2.2203	0.3436	0.2526	0.1872	0.2167	0.3688	0.1899	0.1803	0.2609	2.1361E-3	1.7045E-3	3.7743E-3	1.955E-3	2.9359E-3	2.4434E-3	2.6784E-3	2.3216E-3	73.005	968.399	4437.204	51.076	63.051	18.336	83.608	49.414	83.268	31.143	14.425
24000000	8.368	16.117	0.2203	1.0860	0.4088	2.1823	0.3502	0.2569	0.1850	0.2079	0.3729	0.1950	0.1809	0.2512	2.1126E-3	1.4841E-3	2.9803E-3	1.6774E-3	2.9099E-3	2.3887E-3	2.0664E-3	2.5065E-3	107.831	808.572	4189.036	52.267	67.313	17.655	83.396	50.445	83.528	31.246	14.078
25000000	8.416	16.441	0.2352	1.1952	0.4228	2.1545	0.3644	0.2410	0.1816	0.2130	0.3671	0.1954	0.1762	0.2613	2.2077E-3	1.5615E-3	2.5429E-3	1.8327E-3	2.9794E-3	2.5996E-3	2.1171E-3	2.4644E-3	92.779	962.934	4407.891	50.811	65.551	18.085	83.383	49.072	82.997	30.895	15.128
26000000	7.958	16.493	0.2134	1.2887	0.4041	2.1917	0.3351	0.2561	0.1860	0.2228	0.3630	0.2048	0.1816	0.2506	2.1157E-3	1.5509E-3	3.3299E-3	1.7831E-3	2.8801E-3	2.4147E-3	2.6144E-3	2.4291E-3	11.522	919.443	4419.525	50.894	67.103	17.926	82.918	49.449	83.508	31.106	14.740
27000000	9.403	16.987	0.2038	1.2136	0.3962	2.2075	0.3533	0.2468	0.1880	0.2120	0.3764	0.1976	0.1805	0.2455	2.3589E-3	1.545E-3	2.835E-3	1.9343E-3	3.4172E-3	2.4995E-3	2.3592E-3	2.1174E-3	182.803	1023.124	4517.775	50.964	66.219	18.418	83.444	47.662	82.974	31.685	15.792
28000000	8.398	16.897	0.2494	1.2983	0.4203	2.1594	0.3569	0.2438	0.1875	0.2119	0.3818	0.1934	0.1824	0.2424	2.2014E-3	1.6709E-3	2.6994E-3	1.8932E-3	3.0693E-3	2.2791E-3	2.4505E-3	2.3547E-3	464.670	924.770	4333.265	50.753	66.203	17.866	82.286	50.471	83.765	31.516	14.167
29000000	7.691	16.780	0.2294	1.2691	0.3960	2.2080	0.3551	0.2504	0.1767	0.2178	0.3772	0.1911	0.1817	0.2500	2.1978E-3	1.5084E-3	2.7438E-3	1.7829E-3	3.4147E-3	2.5608E-3	2.1337E-3	2.3138E-3	131.893	843.293	4155.634	52.759	64.475	17.515	83.413	50.141	83.420	31.885	14.874
30000000	8.571	17.752	0.2301	1.2989	0.3959	2.2082	0.3606	0.2306	0.1860	0.2229	0.3708	0.1952	0.1795	0.2545	2.2503E-3	1.5788E-3	3.1171E-3	1.8404E-3	3.4103E-3	2.5602E-3	2.6007E-3	2.7698E-3	245.753	892.046	4248.672	50.688	71.123	18.014	82.605	48.504	84.266	30.986	14.564
