state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
1000000	8.223	16.241	0.2298	1.2144	0.3856	2.2288	0.3667	0.2348	0.1820	0.2165	0.3802	0.1845	0.1868	0.2485	2.2626E-3	1.7017E-3	2.7525E-3	1.8883E-3	3.0885E-3	2.5261E-3	2.6011E-3	2.2577E-3	28.477	973.205	4415.489	51.003	65.242	17.884	82.123	49.417	83.906	31.534	15.317
2000000	8.474	15.860	0.2243	1.2812	0.3924	2.2152	0.3375	0.2581	0.1745	0.2298	0.3680	0.1964	0.1890	0.2466	2.0826E-3	1.3838E-3	2.8102E-3	1.7734E-3	3.0761E-3	2.3894E-3	2.4826E-3	2.3522E-3	32.956	798.747	4126.847	52.709	71.694	17.965	82.655	48.861	83.483	31.807	15.536
3000000	8.284	16.654	0.2286	1.2725	0.4209	2.1583	0.3388	0.2366	0.1931	0.2315	0.3799	0.1883	0.1876	0.2442	2.2571E-3	1.5291E-3	2.4708E-3	1.7967E-3	3.1449E-3	2.4557E-3	2.7349E-3	2.7042E-3	173.213	737.822	3985.914	51.955	67.003	17.690	83.364	47.536	83.124	30.788	14.252
4000000	8.026	16.822	0.2126	1.2426	0.4125	2.1750	0.3377	0.2581	0.1817	0.2224	0.3680	0.1991	0.1798	0.2531	2.1644E-3	1.45E-3	3.3603E-3	1.9077E-3	3.0117E-3	2.336E-3	2.2688E-3	2.472E-3	192.117	874.262	4234.036	52.745	69.544	17.729	82.232	49.676	84.123	31.065	14.479
5000000	8.594	15.927	0.2174	1.1484	0.4096	2.1809	0.3443	0.2440	0.1786	0.2331	0.3802	0.1947	0.1839	0.2412	2.1556E-3	1.5702E-3	3.5473E-3	1.779E-3	2.9569E-3	2.5575E-3	2.37E-3	2.2041E-3	36.764	887.376	4246.228	50.821	67.223	17.784	83.981	48.624	82.517	30.948	14.689
6000000	8.457	16.338	0.2150	1.1584	0.4232	2.1536	0.3441	0.2320	0.1965	0.2273	0.3796	0.1943	0.1756	0.2505	2.1555E-3	1.4715E-3	2.5205E-3	1.7463E-3	3.1983E-3	2.2826E-3	2.3118E-3	2.3191E-3	108.279	986.628	4481.273	52.043	66.389	18.068	83.023	47.640	83.538	31.341	14.784
7000000	8.566	16.976	0.2304	1.3138	0.3675	2.2651	0.3554	0.2457	0.1796	0.2192	0.3776	0.1905	0.1841	0.2477	2.1821E-3	1.3909E-3	2.7908E-3	1.7463E-3	3.3021E-3	2.4483E-3	2.1739E-3	2.8752E-3	93.199	931.775	4333.942	51.862	64.764	17.742	82.512	48.823	83.366	31.300	13.718
8000000	7.450	16.637	0.2335	1.2624	0.3917	2.2167	0.3457	0.2423	0.1900	0.2220	0.3774	0.1974	0.1794	0.2458	2.095E-3	1.461E-3	3.4178E-3	1.892E-3	3.0708E-3	2.4229E-3	2.4209E-3	2.0416E-3	100.709	718.375	3945.090	53.471	64.657	17.531	83.213	49.970	83.960	30.799	15.099
9000000	8.934	17.399	0.2321	1.2914	0.4049	2.1903	0.3556	0.2438	0.1888	0.2118	0.3780	0.1935	0.1810	0.2475	2.2974E-3	1.6617E-3	2.7606E-3	1.8485E-3	3.2876E-3	2.5614E-3	2.5109E-3	2.1788E-3	31.795	1131.492	4724.161	49.666	64.849	18.181	83.074	47.910	83.227	30.867	14.946
10000000	8.396	16.750	0.2089	1.2858	0.4001	2.1999	0.3532	0.2453	0.1839	0.2176	0.3733	0.1957	0.1775	0.2535	2.0887E-3	1.5055E-3	2.6571E-3	1.9052E-3	3.0571E-3	2.4009E-3	2.6551E-3	2.2071E-3	35.665	1026.398	4633.555	51.697	68.803	18.814	82.059	49.492	83.213	32.358	15.393
11000000	7.961	15.685	0.2311	1.2538	0.4093	2.1814	0.3408	0.2416	0.2011	0.2165	0.3737	0.1955	0.1839	0.2469	2.3067E-3	1.5912E-3	2.5573E-3	1.9685E-3	3.1993E-3	2.5748E-3	2.4536E-3	3.0746E-3	34.783	931.890	4350.232	51.450	67.890	18.907	81.912	48.893	84.401	31.346	14.624
12000000	8.245	16.548	0.2133	1.2276	0.4125	2.1751	0.3457	0.2448	0.1855	0.2240	0.3763	0.1971	0.1853	0.2413	2.1696E-3	1.4441E-3	3.7998E-3	1.8368E-3	2.8397E-3	2.3749E-3	2.5106E-3	2.8061E-3	93.153	1101.623	4722.724	51.842	66.425	17.478	82.210	47.822	83.726	31.167	13.875
13000000	7.885	15.800	0.2221	1.3277	0.4172	2.1656	0.3445	0.2445	0.1880	0.2230	0.3738	0.1905	0.1879	0.2478	2.2797E-3	1.448E-3	3.1575E-3	1.878E-3	3.4005E-3	2.8134E-3	2.5677E-3	2.8603E-3	41.170	879.876	4266.443	52.491	66.908	17.767	82.132	49.514	83.994	30.891	14.478
14000000	8.959	17.048	0.2151	1.2954	0.4156	2.1688	0.3401	0.2508	0.1841	0.2250	0.3783	0.1902	0.1774	0.2541	2.136E-3	1.6059E-3	2.7539E-3	1.8018E-3	2.7677E-3	2.5871E-3	2.3816E-3	2.4074E-3	62.957	1059.130	4650.544	50.784	66.260	18.186	83.687	48.931	82.822	31.165	14.416
15000000	8.686	16.155	0.2310	1.2168	0.4086	2.1828	0.3523	0.2500	0.1868	0.2109	0.3900	0.1880	0.1799	0.2421	2.0922E-3	1.6115E-3	2.8138E-3	1.7322E-3	3.2389E-3	2.3233E-3	2.3E-3	2.5717E-3	63.087	1008.753	4535.594	50.896	63.443	17.880	83.037	47.839	82.500	31.351	14.228
16000000	7.497	16.240	0.2201	1.2871	0.4010	2.1979	0.3478	0.2359	0.1940	0.2222	0.3837	0.1912	0.1824	0.2427	2.1855E-3	1.4593E-3	2.4996E-3	1.7785E-3	2.9219E-3	2.5516E-3	2.5401E-3	3.0198E-3	1132.685	838.361	4189.279	52.824	66.761	18.447	82.984	49.410	83.835	31.066	14.714
17000000	7.481	17.092	0.2363	1.1475	0.4231	2.1539	0.3452	0.2371	0.2007	0.2171	0.3798	0.1947	0.1789	0.2466	2.2434E-3	1.5504E-3	2.5588E-3	1.8359E-3	3.0153E-3	2.6096E-3	2.5023E-3	2.4839E-3	64.128	721.652	3920.290	51.625	69.403	18.292	82.038	48.857	82.898	32.095	15.049
