state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
1000000	8.407	16.772	0.2269	1.2385	0.3803	2.2395	0.3573	0.2367	0.1925	0.2135	0.3866	0.1881	0.1851	0.2401	2.1552E-3	1.4829E-3	3.6128E-3	1.7555E-3	3.1241E-3	2.4312E-3	2.5879E-3	2.2893E-3	75.917	1066.516	4642.591	50.392	68.634	17.389	83.882	50.544	83.434	31.172	14.848
2000000	8.765	16.844	0.2351	1.2495	0.4056	2.1887	0.3495	0.2475	0.1789	0.2241	0.3739	0.1966	0.1802	0.2493	2.1679E-3	1.5704E-3	2.6177E-3	1.8393E-3	2.9153E-3	2.328E-3	2.5032E-3	2.487E-3	25.424	926.100	4343.195	51.688	62.926	18.006	81.244	48.608	83.591	30.777	14.765
3000000	7.605	15.913	0.2321	1.2183	0.4246	2.1509	0.3446	0.2477	0.1921	0.2156	0.3878	0.1904	0.1745	0.2473	2.2502E-3	1.3684E-3	3.0364E-3	1.7738E-3	3.3675E-3	2.3345E-3	2.1795E-3	2.7365E-3	34.563	865.802	4146.583	51.117	64.913	17.971	82.057	46.924	84.122	31.338	13.947
4000000	8.122	16.670	0.2359	1.1991	0.4169	2.1663	0.3487	0.2376	0.1964	0.2173	0.3731	0.1969	0.1827	0.2473	2.0255E-3	1.333E-3	2.3783E-3	1.7788E-3	2.8068E-3	2.2288E-3	2.3889E-3	2.4925E-3	86.543	821.277	4149.986	52.894	65.932	18.138	82.224	50.184	82.833	31.267	14.684
5000000	7.972	16.223	0.2091	1.2693	0.4160	2.1679	0.3499	0.2471	0.1889	0.2141	0.3753	0.1929	0.1779	0.2539	2.0686E-3	1.4364E-3	2.5769E-3	1.786E-3	2.8871E-3	2.4905E-3	2.0685E-3	2.6499E-3	64.112	1001.082	4557.324	50.880	64.911	18.248	83.530	50.855	82.872	31.921	14.118
6000000	8.983	16.664	0.2279	1.1587	0.4084	2.1832	0.3760	0.2300	0.1828	0.2112	0.3700	0.1943	0.1874	0.2483	2.0404E-3	1.4172E-3	2.8497E-3	1.8738E-3	2.9214E-3	2.4548E-3	2.358E-3	2.2747E-3	923.822	950.870	4468.708	52.010	64.176	17.660	82.244	49.348	83.662	31.397	14.503
7000000	8.507	16.419	0.2111	1.2341	0.4083	2.1834	0.3420	0.2518	0.1883	0.2179	0.3707	0.1974	0.1864	0.2455	2.2441E-3	1.5878E-3	3.3759E-3	1.8329E-3	3.0799E-3	2.5855E-3	2.3871E-3	2.4885E-3	122.892	900.750	4319.925	50.291	65.003	17.935	83.741	47.213	82.272	30.972	14.496
8000000	7.656	17.399	0.2108	1.2788	0.3893	2.2213	0.3609	0.2459	0.1785	0.2147	0.3693	0.2002	0.1837	0.2467	2.1911E-3	1.449E-3	2.7151E-3	1.7532E-3	3.2298E-3	2.4805E-3	2.1434E-3	2.1541E-3	60.244	1049.722	4635.863	51.296	66.798	17.840	82.628	50.317	83.496	31.445	14.509
9000000	8.160	16.035	0.2158	1.3428	0.4070	2.1860	0.3625	0.2421	0.1861	0.2093	0.3756	0.2000	0.1850	0.2393	2.1324E-3	1.4396E-3	2.2428E-3	1.7728E-3	2.9817E-3	2.643E-3	2.7479E-3	2.5125E-3	35.206	988.583	4519.863	52.121	68.994	19.320	83.365	48.867	82.601	31.929	14.822
10000000	8.733	16.366	0.2315	1.2658	0.4024	2.1952	0.3655	0.2446	0.1869	0.2029	0.3824	0.1946	0.1822	0.2408	2.1339E-3	1.6091E-3	2.9761E-3	1.7425E-3	2.8191E-3	2.2157E-3	2.4918E-3	2.5635E-3	33.124	877.016	4254.072	50.335	66.073	18.012	83.069	49.085	83.731	31.580	14.053
