state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
1000000	8.302	15.515	0.2216	1.2234	0.4021	2.1958	0.3451	0.2439	0.1974	0.2137	0.3797	0.1934	0.1781	0.2488	2.0883E-3	1.5387E-3	3.3956E-3	1.7967E-3	3.015E-3	2.3668E-3	2.5505E-3	2.5616E-3	53.413	908.578	4348.047	50.792	68.057	18.143	83.634	48.924	83.621	31.155	14.467
2000000	7.758	16.307	0.2189	1.3371	0.4270	2.1460	0.3598	0.2424	0.1937	0.2041	0.3700	0.1983	0.1824	0.2493	2.1447E-3	1.5312E-3	3.1307E-3	1.7741E-3	3.283E-3	2.5466E-3	2.3764E-3	2.5041E-3	64.383	1046.255	4662.603	52.266	66.440	17.626	83.750	48.000	83.038	30.922	15.092
3000000	8.303	16.859	0.2122	1.1855	0.4057	2.1886	0.3550	0.2506	0.1863	0.2081	0.3814	0.1881	0.1777	0.2528	2.1017E-3	1.4055E-3	2.8651E-3	1.759E-3	3.2057E-3	2.5179E-3	2.366E-3	2.5642E-3	40.823	1080.048	4632.425	50.762	67.780	18.286	83.416	48.377	83.343	31.683	14.068
4000000	8.280	16.474	0.2290	1.2450	0.4093	2.1814	0.3446	0.2390	0.1938	0.2225	0.3689	0.1996	0.1803	0.2512	2.1487E-3	1.428E-3	2.761E-3	1.7035E-3	3.1744E-3	2.651E-3	2.2527E-3	2.1968E-3	379.412	940.949	4431.908	51.601	68.035	17.629	83.933	47.565	83.138	31.421	15.065
5000000	8.964	16.311	0.2352	1.1512	0.4232	2.1536	0.3491	0.2520	0.1942	0.2047	0.3779	0.1970	0.1828	0.2423	2.1759E-3	1.6157E-3	2.6896E-3	1.7146E-3	3.1267E-3	2.4372E-3	2.5493E-3	2.6908E-3	29.124	876.662	4211.738	49.847	67.278	17.818	82.516	48.497	83.521	30.523	14.234
6000000	8.269	17.033	0.2237	1.2873	0.3971	2.2057	0.3491	0.2410	0.1926	0.2173	0.3732	0.1961	0.1854	0.2453	2.1959E-3	1.4255E-3	3.1469E-3	1.9514E-3	3.1908E-3	2.6867E-3	2.1964E-3	2.3205E-3	37.026	1049.755	4619.393	52.270	67.622	17.605	82.531	49.571	83.154	31.344	14.515
7000000	7.819	15.810	0.2054	1.2890	0.4118	2.1764	0.3455	0.2464	0.1887	0.2195	0.3869	0.1914	0.1762	0.2455	2.2796E-3	1.6962E-3	2.5867E-3	1.9888E-3	3.3903E-3	2.5343E-3	2.221E-3	2.712E-3	37.713	852.000	4175.023	50.662	62.009	18.140	82.738	48.655	84.565	31.441	14.078
8000000	8.178	16.758	0.2125	1.1464	0.3958	2.2083	0.3544	0.2467	0.1829	0.2161	0.3937	0.1887	0.1757	0.2419	2.1685E-3	1.4081E-3	2.7355E-3	1.8122E-3	3.2906E-3	2.5684E-3	1.9452E-3	2.4377E-3	21.604	1057.404	4674.906	51.953	69.605	18.580	82.867	47.404	83.264	32.526	14.568
9000000	8.500	16.871	0.2178	1.1566	0.3675	2.2651	0.3527	0.2393	0.1844	0.2237	0.3792	0.1942	0.1843	0.2423	2.179E-3	1.2589E-3	2.7866E-3	1.6629E-3	2.9443E-3	2.3506E-3	2.5509E-3	2.3098E-3	162.660	807.908	4106.245	52.080	70.591	18.073	83.087	48.410	83.447	31.171	14.688
10000000	8.033	16.137	0.2227	1.2202	0.4096	2.1807	0.3375	0.2551	0.1949	0.2125	0.3830	0.1883	0.1829	0.2458	2.1166E-3	1.5402E-3	2.9716E-3	1.7726E-3	2.9997E-3	2.224E-3	2.1173E-3	2.5576E-3	39.661	778.251	4092.150	50.652	64.996	17.393	83.119	48.968	84.516	30.573	14.083
11000000	8.420	16.974	0.2072	1.2478	0.3923	2.2154	0.3482	0.2636	0.1834	0.2048	0.3682	0.1982	0.1851	0.2485	2.2481E-3	1.6229E-3	3.3782E-3	1.8348E-3	3.0608E-3	2.5166E-3	2.4E-3	2.3918E-3	24.724	847.110	4151.531	51.184	63.777	17.665	82.621	49.847	84.519	31.082	14.326
