pers0.025	pers0.05	pers0.1	pers0.2
run01	-86041.7854796078	-86054.1521196294	-86031.478	-86028.949
run02	-86048.9	-86049.793	-86023.511	-86023.573
run03	-86048.9981543212	-86017.562	-86022.97	-86032.3609709786
run04	-86036.878	-86039.701	-86026.675	-86022.474
run05	-86038.662	-86026.171846602	-86041.288	-86033.142
