state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
38000000	5.968	12.578	0.3218	0.1864	0.2514	0.2403	0.3863	0.1757	0.1388	0.2993	0.5194	1.9613	2.8034E-3	22.292	16.065	890.956
39000000	6.080	12.254	0.3500	0.1719	0.2331	0.2450	0.4187	0.1657	0.1316	0.2839	0.5024	1.9951	2.6492E-3	23.041	16.849	919.415
40000000	5.546	11.216	0.3134	0.1854	0.2516	0.2497	0.4101	0.1644	0.1309	0.2946	0.5191	1.9617	2.6532E-3	24.858	17.084	959.143
41000000	4.986	12.035	0.2998	0.2041	0.2466	0.2494	0.3922	0.1724	0.1175	0.3180	0.5261	1.9478	2.7308E-3	22.989	15.634	910.178
42000000	5.717	12.503	0.3111	0.2040	0.2411	0.2438	0.4028	0.1813	0.1207	0.2952	0.4936	2.0128	2.7134E-3	22.819	16.326	900.233
43000000	5.571	11.207	0.3414	0.1889	0.2434	0.2263	0.3984	0.1740	0.1305	0.2971	0.5111	1.9778	2.7685E-3	22.790	16.815	905.543
44000000	5.633	12.222	0.3344	0.1857	0.2513	0.2286	0.3952	0.1716	0.1348	0.2984	0.4907	2.0185	2.6562E-3	23.423	18.646	924.720
45000000	5.257	12.408	0.3234	0.1935	0.2448	0.2383	0.3907	0.1713	0.1376	0.3005	0.5251	1.9498	2.6424E-3	24.498	16.051	944.541
46000000	6.070	12.157	0.3125	0.1947	0.2414	0.2514	0.4149	0.1637	0.1210	0.3004	0.5106	1.9788	2.6139E-3	24.321	17.088	947.890
47000000	6.200	11.592	0.3178	0.1939	0.2385	0.2498	0.3917	0.1738	0.1308	0.3037	0.5170	1.9660	2.5724E-3	25.687	16.845	941.486
48000000	5.614	11.848	0.3210	0.1881	0.2505	0.2403	0.4012	0.1779	0.1309	0.2900	0.5131	1.9738	2.7546E-3	22.743	17.308	917.934
49000000	6.154	12.202	0.3286	0.1843	0.2408	0.2463	0.3962	0.1679	0.1380	0.2979	0.5064	1.9873	2.6705E-3	22.185	17.135	902.664
50000000	5.307	11.021	0.3319	0.1790	0.2429	0.2462	0.4069	0.1659	0.1387	0.2885	0.4986	2.0028	2.8404E-3	21.434	15.193	884.891
51000000	5.457	11.486	0.3235	0.1827	0.2583	0.2356	0.3985	0.1759	0.1294	0.2961	0.4913	2.0173	2.7235E-3	21.847	16.950	912.562
