state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
1000000	5.545	13.284	0.3156	0.1915	0.2324	0.2605	0.3889	0.1802	0.1328	0.2981	0.5087	1.9827	2.6338E-3	23.472	16.407	934.505
2000000	5.122	12.910	0.3199	0.1976	0.2564	0.2261	0.3810	0.1744	0.1404	0.3041	0.4876	2.0247	2.7311E-3	23.744	16.378	914.393
3000000	5.318	11.530	0.3257	0.1900	0.2385	0.2458	0.3892	0.1650	0.1365	0.3093	0.5329	1.9342	2.5944E-3	23.576	15.860	951.334
4000000	5.530	12.935	0.3200	0.2025	0.2428	0.2347	0.3922	0.1706	0.1457	0.2915	0.4996	2.0008	2.5404E-3	25.332	15.665	949.971
5000000	5.623	12.146	0.3239	0.1840	0.2574	0.2347	0.4074	0.1669	0.1329	0.2927	0.4921	2.0158	2.6392E-3	23.889	16.680	936.748
6000000	4.951	12.192	0.3182	0.1990	0.2387	0.2440	0.3975	0.1873	0.1273	0.2879	0.4822	2.0356	2.4387E-3	27.801	17.141	995.978
7000000	7.256	14.002	0.3201	0.2027	0.2409	0.2363	0.3939	0.1655	0.1307	0.3099	0.5059	1.9882	2.5582E-3	24.746	17.077	948.588
8000000	5.924	12.230	0.3107	0.1879	0.2563	0.2451	0.4004	0.1706	0.1319	0.2971	0.4970	2.0060	2.6095E-3	25.358	16.042	963.919
9000000	5.470	11.123	0.3354	0.1834	0.2494	0.2318	0.3895	0.1680	0.1280	0.3145	0.5149	1.9701	2.5566E-3	23.724	15.874	946.147
10000000	5.438	12.169	0.3167	0.1933	0.2461	0.2439	0.4105	0.1628	0.1279	0.2989	0.5210	1.9580	2.4987E-3	25.474	17.250	969.383
11000000	5.738	12.639	0.3304	0.1796	0.2548	0.2352	0.3792	0.1862	0.1367	0.2979	0.5100	1.9801	2.534E-3	26.582	16.463	975.575
12000000	6.579	12.801	0.3059	0.2015	0.2335	0.2590	0.4044	0.1623	0.1192	0.3140	0.4992	2.0016	2.6987E-3	22.840	16.497	916.397
13000000	6.468	12.268	0.3209	0.1947	0.2360	0.2483	0.4063	0.1716	0.1335	0.2886	0.5022	1.9956	2.5985E-3	24.148	16.498	953.815
14000000	6.488	11.451	0.3026	0.2030	0.2492	0.2451	0.3995	0.1699	0.1291	0.3014	0.4983	2.0034	2.4625E-3	25.261	17.375	982.580
15000000	5.407	11.364	0.3143	0.1960	0.2461	0.2436	0.3967	0.1749	0.1254	0.3030	0.5073	1.9855	2.4581E-3	27.515	18.431	975.644
16000000	5.887	12.316	0.3172	0.1914	0.2482	0.2432	0.4006	0.1626	0.1354	0.3014	0.5184	1.9633	2.5494E-3	26.989	16.802	975.829
17000000	6.262	12.211	0.3109	0.1925	0.2552	0.2414	0.3824	0.1655	0.1364	0.3157	0.5211	1.9579	2.5013E-3	24.401	16.984	955.601
18000000	5.535	12.518	0.3178	0.1927	0.2443	0.2452	0.3952	0.1584	0.1340	0.3125	0.5057	1.9887	2.5242E-3	24.091	16.996	934.088
19000000	5.167	13.053	0.3253	0.1911	0.2489	0.2347	0.3901	0.1757	0.1310	0.3032	0.4941	2.0117	2.5884E-3	24.213	16.841	966.074
20000000	6.418	11.635	0.3013	0.1909	0.2614	0.2464	0.4108	0.1664	0.1284	0.2944	0.4971	2.0057	2.483E-3	24.554	17.188	960.665
21000000	5.359	12.616	0.3190	0.1937	0.2453	0.2420	0.4079	0.1716	0.1346	0.2859	0.4908	2.0185	2.4892E-3	24.817	17.861	968.102
22000000	5.965	11.512	0.3258	0.2006	0.2299	0.2438	0.4018	0.1623	0.1395	0.2964	0.5132	1.9735	2.5403E-3	25.403	17.721	979.704
23000000	5.989	11.719	0.3209	0.2010	0.2451	0.2329	0.4038	0.1676	0.1278	0.3008	0.5158	1.9685	2.5368E-3	24.703	17.132	962.078
24000000	6.318	11.812	0.3300	0.2053	0.2370	0.2277	0.4189	0.1673	0.1224	0.2914	0.5218	1.9564	2.5478E-3	25.164	17.567	969.553
25000000	5.903	11.824	0.3133	0.2103	0.2471	0.2294	0.3914	0.1585	0.1353	0.3148	0.5135	1.9730	2.525E-3	24.492	16.586	944.237
26000000	5.841	12.840	0.3239	0.1968	0.2403	0.2390	0.3938	0.1723	0.1214	0.3125	0.5017	1.9967	2.4989E-3	25.039	16.903	964.613
27000000	5.120	12.092	0.3195	0.1813	0.2433	0.2558	0.3885	0.1735	0.1305	0.3075	0.4907	2.0186	2.5799E-3	23.529	15.607	935.163
28000000	5.826	13.006	0.3105	0.2071	0.2568	0.2256	0.4125	0.1560	0.1322	0.2993	0.5015	1.9971	2.5909E-3	24.294	17.818	948.783
29000000	5.542	13.898	0.3175	0.1890	0.2493	0.2442	0.4044	0.1761	0.1192	0.3003	0.5147	1.9706	2.512E-3	24.630	17.479	960.860
30000000	5.767	11.927	0.3180	0.1949	0.2568	0.2304	0.3911	0.1798	0.1295	0.2996	0.5241	1.9518	2.4994E-3	25.855	16.517	982.535
31000000	5.851	12.659	0.3026	0.1998	0.2563	0.2413	0.3753	0.1851	0.1343	0.3052	0.5092	1.9816	2.6139E-3	24.343	16.347	956.726
32000000	6.089	11.735	0.3184	0.1880	0.2505	0.2431	0.4013	0.1847	0.1331	0.2809	0.4874	2.0252	2.5417E-3	24.829	17.508	963.750
33000000	5.471	12.334	0.3237	0.1906	0.2421	0.2436	0.3967	0.1675	0.1299	0.3059	0.5203	1.9593	2.5474E-3	24.446	17.106	943.474
34000000	5.896	11.775	0.3076	0.1958	0.2516	0.2450	0.3982	0.1771	0.1358	0.2889	0.4795	2.0410	2.5596E-3	24.286	16.979	960.042
35000000	5.716	12.805	0.3143	0.1914	0.2431	0.2512	0.3923	0.1657	0.1284	0.3136	0.5073	1.9854	2.5683E-3	23.849	17.828	947.961
36000000	6.290	12.770	0.3340	0.1877	0.2512	0.2272	0.3959	0.1758	0.1268	0.3016	0.5047	1.9905	2.5777E-3	24.138	15.371	942.994
37000000	5.286	12.288	0.3307	0.1913	0.2451	0.2330	0.3967	0.1621	0.1371	0.3041	0.4991	2.0019	2.5682E-3	23.080	15.871	934.195
38000000	6.501	10.848	0.3113	0.2076	0.2332	0.2479	0.3930	0.1662	0.1236	0.3172	0.5208	1.9583	2.6951E-3	23.119	16.638	923.338
39000000	5.846	11.489	0.3172	0.1877	0.2470	0.2480	0.3935	0.1724	0.1361	0.2980	0.5028	1.9943	2.652E-3	24.014	16.504	950.142
40000000	6.058	11.702	0.3192	0.1975	0.2605	0.2228	0.3847	0.1755	0.1241	0.3158	0.5010	1.9980	2.7223E-3	23.914	15.957	936.522
41000000	6.139	11.195	0.3122	0.1990	0.2523	0.2366	0.3953	0.1700	0.1386	0.2961	0.5162	1.9677	2.6359E-3	23.062	16.349	911.888
42000000	5.624	12.662	0.3205	0.1994	0.2342	0.2459	0.3771	0.1763	0.1301	0.3165	0.5178	1.9644	2.5625E-3	23.533	17.069	942.958
43000000	6.189	13.740	0.3167	0.1916	0.2455	0.2463	0.4001	0.1680	0.1356	0.2963	0.5057	1.9886	2.7154E-3	23.368	15.984	935.339
44000000	5.490	11.679	0.3249	0.1958	0.2472	0.2320	0.3986	0.1687	0.1404	0.2924	0.4956	2.0089	2.5276E-3	25.514	16.677	977.786
45000000	5.521	11.687	0.3170	0.1890	0.2514	0.2426	0.3993	0.1699	0.1325	0.2983	0.4992	2.0015	2.5463E-3	24.298	15.941	947.304
46000000	5.590	12.951	0.3274	0.1961	0.2261	0.2503	0.3987	0.1689	0.1348	0.2976	0.5239	1.9522	2.5097E-3	25.277	16.512	969.877
47000000	5.758	11.644	0.3255	0.1974	0.2326	0.2445	0.4097	0.1672	0.1348	0.2883	0.5128	1.9744	2.5462E-3	24.836	16.587	956.326
48000000	5.563	12.386	0.3259	0.1924	0.2493	0.2325	0.3982	0.1703	0.1334	0.2981	0.5086	1.9829	2.3839E-3	28.275	16.994	1014.676
49000000	5.882	13.079	0.3100	0.1997	0.2496	0.2407	0.3954	0.1593	0.1404	0.3049	0.5061	1.9878	2.4557E-3	25.790	16.902	957.499
50000000	5.948	13.086	0.3278	0.1871	0.2364	0.2488	0.4101	0.1643	0.1182	0.3074	0.5147	1.9706	2.3925E-3	25.720	17.784	982.568
51000000	5.389	12.186	0.3262	0.1860	0.2372	0.2506	0.3713	0.1771	0.1360	0.3156	0.4948	2.0105	2.4888E-3	26.433	18.473	994.047
52000000	6.067	11.473	0.3116	0.1837	0.2305	0.2742	0.3948	0.1721	0.1338	0.2993	0.5241	1.9518	2.5917E-3	25.582	16.994	969.257
53000000	5.926	11.621	0.3267	0.1921	0.2355	0.2456	0.3969	0.1712	0.1287	0.3031	0.4842	2.0317	2.5867E-3	25.324	17.517	978.840
54000000	6.276	11.425	0.3283	0.1952	0.2290	0.2475	0.3817	0.1788	0.1310	0.3086	0.5229	1.9542	2.5951E-3	23.145	16.491	944.963
55000000	5.330	11.792	0.3307	0.1889	0.2406	0.2397	0.4050	0.1625	0.1325	0.2999	0.4969	2.0062	2.5925E-3	24.139	17.334	953.879
56000000	5.971	11.624	0.3179	0.1785	0.2645	0.2391	0.3904	0.1699	0.1319	0.3078	0.5198	1.9604	2.5578E-3	24.360	16.298	951.597
57000000	5.742	11.858	0.3077	0.1894	0.2554	0.2474	0.4017	0.1590	0.1329	0.3063	0.5022	1.9955	2.6765E-3	22.783	16.390	921.806
58000000	6.204	11.624	0.3206	0.2003	0.2448	0.2343	0.3961	0.1809	0.1263	0.2966	0.5181	1.9638	2.5933E-3	23.255	17.383	946.257
59000000	5.821	10.863	0.3043	0.1933	0.2464	0.2560	0.3720	0.1826	0.1342	0.3112	0.5045	1.9910	2.547E-3	24.573	16.553	945.894
60000000	6.532	12.934	0.3281	0.1806	0.2345	0.2568	0.3930	0.1729	0.1205	0.3136	0.4910	2.0179	2.6709E-3	22.337	16.712	897.597
61000000	5.722	11.786	0.3207	0.1812	0.2585	0.2396	0.3936	0.1639	0.1321	0.3104	0.5025	1.9951	2.5733E-3	25.646	15.780	966.571
62000000	6.422	11.309	0.3214	0.1958	0.2427	0.2401	0.3760	0.1725	0.1372	0.3143	0.5047	1.9906	2.5842E-3	24.449	16.432	952.041
63000000	5.621	12.535	0.3062	0.2031	0.2527	0.2379	0.3999	0.1677	0.1398	0.2926	0.4992	2.0017	2.5572E-3	24.462	16.482	966.124
64000000	5.803	11.197	0.3273	0.1875	0.2439	0.2413	0.3784	0.1773	0.1290	0.3153	0.5194	1.9612	2.5154E-3	23.971	16.522	950.223
65000000	5.772	12.150	0.3078	0.1944	0.2546	0.2432	0.3959	0.1769	0.1280	0.2992	0.5163	1.9675	2.6069E-3	24.778	16.577	937.483
66000000	6.201	10.261	0.3383	0.1987	0.2478	0.2152	0.4082	0.1686	0.1258	0.2973	0.4936	2.0127	2.5432E-3	24.359	16.423	960.656
67000000	5.528	12.970	0.3300	0.1922	0.2385	0.2393	0.3839	0.1752	0.1358	0.3051	0.5043	1.9914	2.627E-3	24.173	15.759	936.994
68000000	5.666	12.248	0.3115	0.2026	0.2508	0.2351	0.3875	0.1795	0.1405	0.2926	0.4818	2.0365	2.5418E-3	24.461	16.648	971.769
69000000	6.150	12.024	0.3036	0.1914	0.2546	0.2504	0.3742	0.1851	0.1307	0.3099	0.4965	2.0070	2.5929E-3	24.730	16.613	934.218
70000000	6.277	11.184	0.3115	0.2035	0.2457	0.2392	0.3865	0.1719	0.1328	0.3088	0.5108	1.9783	2.7132E-3	22.906	16.039	913.511
71000000	6.448	12.730	0.3254	0.1832	0.2463	0.2451	0.3858	0.1738	0.1420	0.2983	0.5121	1.9757	2.6953E-3	22.918	16.597	927.310
72000000	6.568	12.048	0.3119	0.2061	0.2360	0.2461	0.3932	0.1777	0.1296	0.2995	0.5142	1.9717	2.6285E-3	24.279	15.403	946.908
73000000	5.861	11.859	0.3153	0.1904	0.2478	0.2465	0.3870	0.1796	0.1235	0.3099	0.5130	1.9740	2.7181E-3	23.103	15.827	921.383
74000000	5.859	12.784	0.3146	0.1871	0.2662	0.2320	0.3870	0.1730	0.1257	0.3143	0.5020	1.9959	2.579E-3	24.732	16.592	942.997
75000000	5.725	12.335	0.3240	0.1967	0.2411	0.2382	0.3809	0.1679	0.1362	0.3150	0.5287	1.9426	2.6562E-3	23.143	17.242	928.777
76000000	5.383	13.037	0.3205	0.1988	0.2563	0.2244	0.4017	0.1571	0.1307	0.3105	0.5072	1.9857	2.6596E-3	24.773	16.630	941.930
77000000	6.149	11.672	0.3263	0.1936	0.2524	0.2277	0.4043	0.1662	0.1260	0.3035	0.5094	1.9812	2.6224E-3	24.829	16.508	958.350
78000000	6.324	12.818	0.3437	0.1840	0.2362	0.2361	0.4018	0.1665	0.1335	0.2981	0.5223	1.9553	2.6121E-3	23.817	16.593	938.303
79000000	5.773	12.106	0.3168	0.1942	0.2411	0.2479	0.3865	0.1839	0.1353	0.2943	0.4960	2.0080	2.5611E-3	24.436	17.736	941.579
80000000	5.380	12.389	0.3160	0.2040	0.2424	0.2376	0.3880	0.1622	0.1405	0.3092	0.5070	1.9859	2.6901E-3	22.371	17.304	929.146
81000000	6.483	12.970	0.3026	0.2007	0.2459	0.2507	0.4043	0.1706	0.1324	0.2926	0.5092	1.9816	2.6453E-3	23.559	16.279	921.550
82000000	5.473	11.793	0.3218	0.1887	0.2443	0.2452	0.3934	0.1736	0.1335	0.2995	0.4940	2.0120	2.6012E-3	23.634	16.308	935.307
83000000	6.048	11.584	0.2968	0.1847	0.2636	0.2549	0.3933	0.1742	0.1243	0.3081	0.5141	1.9718	2.5852E-3	23.800	17.026	940.224
84000000	5.711	10.734	0.3123	0.1816	0.2460	0.2601	0.3868	0.1742	0.1392	0.2998	0.5149	1.9703	2.6583E-3	22.971	16.102	920.589
85000000	5.688	12.758	0.3310	0.1820	0.2523	0.2347	0.3840	0.1710	0.1250	0.3200	0.5040	1.9919	2.672E-3	23.835	16.364	930.251
86000000	6.201	11.179	0.3275	0.1876	0.2342	0.2507	0.3960	0.1716	0.1395	0.2928	0.5076	1.9848	2.7053E-3	23.110	17.255	922.828
87000000	5.868	11.579	0.3075	0.1983	0.2536	0.2406	0.4014	0.1530	0.1390	0.3067	0.5254	1.9491	2.6177E-3	23.400	16.864	949.855
88000000	5.688	11.804	0.3225	0.1970	0.2395	0.2410	0.4095	0.1634	0.1259	0.3012	0.5140	1.9720	2.5413E-3	23.445	16.849	945.614
89000000	6.342	11.890	0.3050	0.2070	0.2492	0.2387	0.4024	0.1725	0.1307	0.2944	0.5114	1.9772	2.6539E-3	22.813	17.441	924.999
90000000	5.845	11.325	0.3528	0.1802	0.2500	0.2170	0.3947	0.1701	0.1243	0.3109	0.5246	1.9509	2.5744E-3	25.007	15.856	947.075
91000000	6.607	11.144	0.3088	0.1940	0.2422	0.2550	0.3919	0.1648	0.1371	0.3063	0.5247	1.9505	2.6047E-3	22.254	16.932	912.880
92000000	6.254	12.135	0.3241	0.1931	0.2413	0.2416	0.3998	0.1861	0.1241	0.2900	0.5294	1.9411	2.6333E-3	23.064	16.981	926.513
93000000	5.585	11.632	0.3286	0.1881	0.2522	0.2312	0.3933	0.1708	0.1319	0.3040	0.5001	1.9999	2.5414E-3	24.787	16.523	947.822
94000000	5.696	11.464	0.3227	0.1912	0.2451	0.2410	0.4150	0.1675	0.1241	0.2933	0.4966	2.0068	2.5178E-3	23.401	17.062	953.424
95000000	5.864	12.177	0.3265	0.1924	0.2337	0.2474	0.3957	0.1614	0.1388	0.3041	0.5181	1.9638	2.6156E-3	24.676	16.232	950.897
96000000	6.283	11.706	0.3136	0.2021	0.2460	0.2382	0.3941	0.1747	0.1323	0.2989	0.5081	1.9837	2.6144E-3	25.638	16.181	956.709
97000000	5.223	10.988	0.3286	0.1942	0.2387	0.2385	0.3763	0.1783	0.1296	0.3158	0.5236	1.9527	2.5713E-3	24.985	15.206	946.020
98000000	5.139	12.247	0.3103	0.1882	0.2565	0.2450	0.4028	0.1663	0.1336	0.2973	0.4959	2.0081	2.481E-3	27.035	17.277	998.749
99000000	6.053	10.761	0.3110	0.1924	0.2421	0.2545	0.3845	0.1727	0.1295	0.3132	0.4907	2.0187	2.4931E-3	24.802	16.088	972.797
