state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
1000000	5.765	11.850	0.3159	0.2067	0.2370	0.2404	0.3863	0.1744	0.1423	0.2970	0.4899	2.0202	2.6552E-3	23.727	16.398	928.568
2000000	5.436	12.067	0.3458	0.1971	0.2262	0.2309	0.3905	0.1664	0.1429	0.3002	0.4953	2.0094	2.7223E-3	22.745	16.238	915.015
3000000	5.891	11.453	0.3115	0.2082	0.2417	0.2386	0.3831	0.1750	0.1368	0.3051	0.5092	1.9816	2.7537E-3	22.202	16.983	896.860
4000000	5.996	12.078	0.3217	0.2079	0.2325	0.2380	0.4046	0.1652	0.1294	0.3008	0.5110	1.9779	2.6186E-3	23.129	16.100	931.191
5000000	5.914	13.008	0.3345	0.1882	0.2369	0.2404	0.3819	0.1732	0.1336	0.3113	0.4942	2.0115	2.646E-3	22.441	16.384	919.617
6000000	5.319	11.884	0.3041	0.1925	0.2628	0.2406	0.3939	0.1746	0.1265	0.3050	0.5103	1.9794	2.6806E-3	22.927	15.575	918.688
7000000	6.142	11.358	0.3172	0.1885	0.2608	0.2335	0.3913	0.1724	0.1277	0.3086	0.5035	1.9930	2.7269E-3	21.367	16.630	909.881
8000000	5.210	11.518	0.3272	0.1793	0.2567	0.2367	0.3940	0.1681	0.1239	0.3141	0.5184	1.9633	2.676E-3	21.830	15.820	886.410
9000000	5.329	12.038	0.3000	0.1895	0.2577	0.2529	0.4040	0.1669	0.1216	0.3076	0.5055	1.9889	2.7175E-3	21.679	15.478	885.281
10000000	5.761	10.064	0.3129	0.1997	0.2469	0.2405	0.3931	0.1701	0.1407	0.2961	0.4996	2.0009	2.6057E-3	23.563	16.691	930.525
11000000	5.660	11.730	0.3194	0.1987	0.2307	0.2512	0.3942	0.1746	0.1372	0.2939	0.4963	2.0073	2.7377E-3	22.859	15.866	927.210
12000000	6.027	12.387	0.3033	0.1946	0.2486	0.2536	0.4029	0.1598	0.1304	0.3069	0.5387	1.9225	2.7059E-3	21.842	16.709	909.716
13000000	5.319	13.345	0.3334	0.1855	0.2326	0.2485	0.3997	0.1603	0.1269	0.3131	0.5012	1.9975	2.6207E-3	22.561	17.276	918.833
14000000	5.712	12.092	0.3311	0.1840	0.2393	0.2456	0.3975	0.1704	0.1296	0.3025	0.4973	2.0054	2.685E-3	22.855	17.830	928.865
15000000	5.902	11.519	0.3048	0.2024	0.2538	0.2390	0.4129	0.1672	0.1230	0.2968	0.4966	2.0068	2.6803E-3	21.800	17.361	900.170
16000000	6.098	11.668	0.3093	0.1953	0.2508	0.2446	0.4036	0.1798	0.1210	0.2957	0.5116	1.9768	2.7455E-3	23.113	17.568	924.078
17000000	5.676	12.750	0.3142	0.1875	0.2397	0.2587	0.3984	0.1762	0.1275	0.2979	0.5071	1.9858	2.6304E-3	23.038	16.102	927.655
18000000	5.397	10.805	0.3315	0.1833	0.2314	0.2538	0.4042	0.1675	0.1346	0.2937	0.5050	1.9900	2.6314E-3	23.917	16.653	925.574
19000000	5.611	12.329	0.2986	0.1996	0.2529	0.2489	0.4037	0.1728	0.1213	0.3023	0.5046	1.9908	2.7219E-3	23.219	16.416	909.080
20000000	6.016	11.814	0.3284	0.1839	0.2367	0.2510	0.3851	0.1647	0.1332	0.3170	0.5019	1.9962	2.6772E-3	22.934	16.228	906.992
21000000	5.466	12.530	0.3029	0.2083	0.2361	0.2527	0.3993	0.1783	0.1206	0.3018	0.5111	1.9779	2.659E-3	23.859	15.380	943.774
22000000	5.403	11.032	0.3218	0.1930	0.2420	0.2432	0.3796	0.1713	0.1396	0.3095	0.4734	2.0532	2.5779E-3	23.689	16.246	943.690
23000000	6.003	12.263	0.3009	0.1930	0.2605	0.2455	0.4081	0.1690	0.1200	0.3029	0.4883	2.0234	2.6736E-3	21.499	16.033	910.490
24000000	6.974	11.846	0.3315	0.2011	0.2332	0.2343	0.3944	0.1744	0.1251	0.3062	0.5183	1.9634	2.643E-3	24.997	16.698	953.785
25000000	6.233	12.906	0.3216	0.2002	0.2449	0.2332	0.3858	0.1580	0.1364	0.3198	0.5033	1.9935	2.6158E-3	24.005	16.847	914.716
26000000	6.288	12.848	0.3325	0.1835	0.2329	0.2511	0.3906	0.1736	0.1307	0.3051	0.5028	1.9945	2.5305E-3	25.906	16.376	981.499
27000000	5.703	11.439	0.3356	0.1810	0.2406	0.2429	0.3913	0.1656	0.1296	0.3136	0.5228	1.9544	2.5488E-3	24.676	15.793	958.603
28000000	5.994	12.046	0.3332	0.1782	0.2483	0.2403	0.3981	0.1781	0.1308	0.2930	0.5102	1.9796	2.684E-3	23.544	16.854	936.149
29000000	5.521	12.135	0.3025	0.1833	0.2498	0.2643	0.3945	0.1735	0.1297	0.3023	0.4864	2.0271	2.7693E-3	23.467	16.766	931.349
30000000	5.102	11.325	0.3173	0.2011	0.2552	0.2264	0.3856	0.1675	0.1414	0.3056	0.4812	2.0375	2.6523E-3	24.895	16.450	953.508
31000000	6.147	13.354	0.3134	0.1904	0.2453	0.2509	0.4085	0.1626	0.1335	0.2955	0.5128	1.9743	2.5193E-3	23.498	15.998	946.143
