state	posterior	prior	likelihood	coalescent
114000000	-37628.312	-8370.758	-29257.554	-8360.030
115000000	-37575.526	-8381.721	-29193.805	-8371.101
116000000	-37530.273	-8328.986	-29201.286	-8318.388
117000000	-37587.735	-8374.701	-29213.033	-8364.115
118000000	-37575.260	-8330.581	-29244.679	-8320.151
119000000	-37530.149	-8208.412	-29321.737	-8197.828
120000000	-37464.305	-8243.989	-29220.315	-8233.447
121000000	-37535.651	-8274.237	-29261.415	-8263.592
122000000	-37634.292	-8436.225	-29198.067	-8425.477
123000000	-37635.509	-8377.701	-29257.808	-8366.835
124000000	-37610.097	-8274.980	-29335.117	-8264.391
125000000	-37555.624	-8285.128	-29270.496	-8274.600
126000000	-37559.073	-8207.736	-29351.338	-8197.156
127000000	-37555.712	-8248.463	-29307.249	-8237.861
128000000	-37638.801	-8299.730	-29339.070	-8289.223
129000000	-37453.960	-8210.288	-29243.671	-8199.743
130000000	-37595.604	-8257.927	-29337.677	-8247.123
131000000	-37679.465	-8293.258	-29386.207	-8282.423
132000000	-37546.365	-8316.300	-29230.064	-8305.878
133000000	-37553.273	-8255.782	-29297.491	-8244.977
134000000	-37627.998	-8285.949	-29342.049	-8275.386
135000000	-37675.794	-8373.281	-29302.513	-8362.411
136000000	-37620.749	-8382.334	-29238.415	-8371.861
137000000	-37578.889	-8289.257	-29289.631	-8278.830
138000000	-37643.124	-8313.766	-29329.358	-8303.085
139000000	-37584.965	-8302.558	-29282.407	-8291.979
140000000	-37529.976	-8211.779	-29318.197	-8200.963
141000000	-37527.243	-8325.118	-29202.125	-8314.353
142000000	-37664.865	-8380.541	-29284.324	-8370.035
143000000	-37655.478	-8421.736	-29233.742	-8410.838
144000000	-37728.886	-8513.462	-29215.424	-8502.838
145000000	-37445.131	-8216.568	-29228.563	-8205.947
146000000	-37530.326	-8252.422	-29277.905	-8241.774
147000000	-37653.009	-8401.208	-29251.801	-8390.379
148000000	-37478.302	-8226.793	-29251.508	-8216.023
149000000	-37570.566	-8277.204	-29293.362	-8266.500
150000000	-37539.461	-8242.876	-29296.585	-8232.405
151000000	-37410.580	-8115.657	-29294.923	-8105.288
152000000	-37572.709	-8290.909	-29281.800	-8280.411
153000000	-37641.548	-8392.531	-29249.017	-8381.961
154000000	-37463.529	-8221.723	-29241.806	-8211.084
155000000	-37645.270	-8375.196	-29270.074	-8364.901
156000000	-37713.801	-8373.394	-29340.407	-8363.120
157000000	-37534.400	-8274.964	-29259.436	-8264.390
