state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
1000000	5.809	11.879	0.3209	0.1963	0.2385	0.2442	0.4016	0.1726	0.1311	0.2947	0.4881	2.0239	2.6647E-3	22.286	16.190	922.962
2000000	5.134	11.603	0.3133	0.1947	0.2616	0.2305	0.3683	0.1813	0.1480	0.3025	0.5228	1.9544	2.8249E-3	22.466	16.468	915.749
3000000	5.330	12.012	0.3298	0.1823	0.2544	0.2335	0.3959	0.1658	0.1262	0.3121	0.4931	2.0139	2.6358E-3	22.911	16.800	912.625
4000000	6.320	12.082	0.3223	0.2056	0.2356	0.2366	0.3890	0.1630	0.1318	0.3162	0.5098	1.9804	2.4742E-3	25.424	15.934	956.239
5000000	5.854	11.536	0.3310	0.1959	0.2369	0.2363	0.3992	0.1689	0.1415	0.2904	0.5084	1.9832	2.5758E-3	24.937	17.144	982.527
6000000	5.495	11.478	0.3219	0.2003	0.2415	0.2363	0.4028	0.1755	0.1215	0.3002	0.5165	1.9669	2.6395E-3	24.567	16.676	941.919
7000000	6.497	12.306	0.3166	0.1989	0.2288	0.2557	0.3769	0.1759	0.1327	0.3145	0.4997	2.0005	2.7051E-3	23.598	16.273	906.245
8000000	5.336	13.143	0.3325	0.2107	0.2291	0.2277	0.4038	0.1662	0.1311	0.2989	0.5213	1.9575	2.5749E-3	23.815	15.941	949.873
9000000	5.420	11.795	0.3166	0.2076	0.2381	0.2377	0.3938	0.1712	0.1314	0.3036	0.5109	1.9781	2.5759E-3	24.626	17.592	941.354
10000000	5.677	11.483	0.3264	0.1944	0.2526	0.2266	0.4043	0.1750	0.1262	0.2946	0.5021	1.9958	2.7024E-3	23.289	16.655	930.165
11000000	6.006	11.643	0.3229	0.1883	0.2356	0.2531	0.3888	0.1763	0.1304	0.3046	0.5156	1.9688	2.7883E-3	22.469	16.260	903.896
12000000	5.277	12.022	0.3091	0.2040	0.2451	0.2419	0.3910	0.1746	0.1311	0.3034	0.5055	1.9891	2.8769E-3	21.827	16.140	875.833
