posterior	prior	likelihood	skygrid
coda_point_long	1.00236900000286	1.10282083311697	1.14510907253331	1.1007296864294
coda_upper_long	1.00644251218087	1.2569990063942	1.35150710250121	1.25236269157464
coda_point_short	1.27510564708721	1.2646635411783	1.42921185031207	1.25800537648707
coda_upper_short	1.62422172090716	1.60280733788259	1.93086732430818	1.58917684952492
coda_point_trunc	1.13295922914094	1.14285264109921	1.26292147005419	1.13974000116526
coda_upper_trunc	1.26009249855193	1.27852919423568	1.49249109498862	1.27281613079172
rstan_long	1.00164628265097	1.0719373329566	1.09847434705547	1.07063005544912
rstan_short	1.17825485594986	1.17486332603319	1.27583561754164	1.17063016516125
rstan_trunc	1.10540092242666	1.11853277875033	1.21076394773125	1.11599671403774
