pers0.025	pers0.05	pers0.1	pers0.2
run01	-37023.356	-37035.989	-36967.664	-37041.422
run02	-37020.019	-36985.425	-36989.466	-37027.734
run03	-37009.961	-36985.207	-37015.894	-36989.678
run04	-37049.259	-37035.313	-36976.775	-36996.193
run05	-37009.459	-36989.443	-37016.55	-37004.969
